AR	ATK	ClassID	ClassName	DR	DefIP	DefaultItem	FireIP	IMP	IceIP	IncAGI	IncCHA	IncCON	IncDEX	IncINT	IncSTR	LgtIP	MHP	MSATK	MSP	Name	OptionItem	PCDef	Parent	PsyIP	SetItemGroup	ToolTip
0	0	1000	StrataSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>124373</>	Ear Neck Belt Glove Boots	0	None	0	1	None
0	0	1001	StrataSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>184163</>	None	0	StrataSet	1	1	<$>184164</>
0	0	1002	StrataSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>184165</>	None	0	StrataSet	2	1	<$>184164</>
0	0	1003	StrataSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>184166</>	None	0	StrataSet	3	1	<$>184164</>
0	0	1004	StrataSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>184167</>	None	0	StrataSet	4	1	<$>184164</>
1	0	1005	StrataSet_5	1	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>184168</>	None	0	StrataSet	5	1	<$>184169</>
0	0	2000	BristiaSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>81059</>	Ear Neck Belt Glove Boots	0	None	0	2	None
0	2	2001	BristiaSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>184163</>	None	0	BristiaSet	1	2	<$>184170</>
0	4	2002	BristiaSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>184165</>	None	0	BristiaSet	2	2	<$>184170</>
0	6	2003	BristiaSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>184166</>	None	0	BristiaSet	3	2	<$>184170</>
0	8	2004	BristiaSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>184167</>	None	0	BristiaSet	4	2	<$>184170</>
0	10	2005	BristiaSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>184168</>	None	0	BristiaSet	5	2	<$>184170</>
0	0	3000	ArmoniaSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>106355</>	Ear Neck Belt Glove Boots	0	None	0	4	None
0	0	3001	ArmoniaSet_1	0	2	None	2	0	2	0	0	0	0	0	0	2	1000	0	0	<$>184163</>	None	0	ArmoniaSet	2	4	<$>184171</>
0	0	3002	ArmoniaSet_2	0	4	None	4	0	4	0	0	0	0	0	0	4	2000	0	0	<$>184165</>	None	0	ArmoniaSet	4	4	<$>184171</>
0	0	3003	ArmoniaSet_3	0	6	None	6	0	6	0	0	0	0	0	0	6	3000	0	0	<$>184166</>	None	0	ArmoniaSet	6	4	<$>184171</>
0	0	3004	ArmoniaSet_4	0	8	None	8	0	8	0	0	0	0	0	0	8	4000	0	0	<$>184167</>	None	0	ArmoniaSet	8	4	<$>184171</>
0	0	3005	ArmoniaSet_5	0	10	None	10	0	10	0	0	0	0	0	0	10	5000	0	0	<$>184168</>	None	0	ArmoniaSet	10	4	<$>184171</>
0	0	4000	ZodiacSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>184172</>	Ear Neck Belt Glove Boots	0	None	0	7	None
0	2	4001	ZodiacSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	2	0	<$>184163</>	None	0	ZodiacSet	1	7	<$>193887</>
0	4	4002	ZodiacSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	4	0	<$>184165</>	None	0	ZodiacSet	2	7	<$>193887</>
0	6	4003	ZodiacSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	6	0	<$>184166</>	None	0	ZodiacSet	3	7	<$>193887</>
0	8	4004	ZodiacSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	8	0	<$>184167</>	None	0	ZodiacSet	4	7	<$>193887</>
0	10	4005	ZodiacSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	10	0	<$>184168</>	None	0	ZodiacSet	5	7	<$>193887</>
0	0	5000	EvilSet	0	0	Armor Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>195286</>	Ear Neck Belt Glove Boots	0	None	0	3	None
0	0	5001	EvilSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	0	0	<$>184163</>	None	0	EvilSet	1	3	<$>184164</>
0	0	5002	EvilSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	0	0	<$>184165</>	None	0	EvilSet	2	3	<$>184164</>
0	0	5003	EvilSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	0	0	<$>184166</>	None	0	EvilSet	3	3	<$>184164</>
0	0	5004	EvilSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	0	0	<$>184167</>	None	0	EvilSet	4	3	<$>184164</>
0	0	5005	EvilSet_5	1	5	None	5	5	5	0	0	0	0	0	0	5	5000	0	0	<$>184168</>	None	0	EvilSet	5	3	<$>214710</>
0	0	6001	ValeronSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>171806</>	Ear Neck Belt Glove Boots Armor	0	None	0	8	None
0	0	6002	ValeronSet_1	0	2	None	2	1	2	0	0	0	0	0	0	2	2500	0	0	<$>184163</>	None	0	ValeronSet	2	8	<$>203145</>
0	0	6003	ValeronSet_2	0	4	None	4	2	4	0	0	0	0	0	0	4	5000	0	0	<$>184165</>	None	0	ValeronSet	4	8	<$>203145</>
0	0	6004	ValeronSet_3	0	6	None	6	3	6	0	0	0	0	0	0	6	7500	0	0	<$>184166</>	None	0	ValeronSet	6	8	<$>203145</>
0	0	6005	ValeronSet_4	0	8	None	8	4	8	0	0	0	0	0	0	8	10000	0	0	<$>184167</>	None	0	ValeronSet	8	8	<$>203145</>
0	0	6006	ValeronSet_5	0	10	None	10	5	10	0	0	0	0	0	0	10	12500	0	0	<$>184168</>	None	0	ValeronSet	10	8	<$>203145</>
1	0	6007	ValeronSet_6	1	10	None	10	5	10	5	5	5	5	5	5	10	15000	0	0	<$>185638</>	None	0	ValeronSet	10	8	<$>209671</>
0	0	7001	DivinecSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>210512</>	Ear Neck Belt Glove Boots	0	None	0	9	None
0	1	7002	DivinecSet_1	0	1	None	1	1	1	0	0	0	0	0	0	1	1000	1	0	<$>184163</>	None	0	DivinecSet	1	9	<$>210513</>
0	2	7003	DivinecSet_2	0	2	None	2	2	2	0	0	0	0	0	0	2	2000	2	0	<$>184165</>	None	0	DivinecSet	2	9	<$>210513</>
0	3	7004	DivinecSet_3	0	3	None	3	3	3	0	0	0	0	0	0	3	3000	3	0	<$>184166</>	None	0	DivinecSet	3	9	<$>210513</>
0	4	7005	DivinecSet_4	0	4	None	4	4	4	0	0	0	0	0	0	4	4000	4	0	<$>184167</>	None	0	DivinecSet	4	9	<$>210513</>
0	5	7006	DivinecSet_5	0	5	None	5	5	5	0	0	0	0	0	0	5	5000	5	0	<$>184168</>	None	0	DivinecSet	5	9	<$>210513</>
0	0	9001	AbyssArmaSet	0	0	Weapon	0	0	0	0	0	0	0	0	0	0	0	0	0	<$>232242</>	Ear Neck Belt Glove Boots	0	None	0	11	None
0	0	9002	AbyssArmaSet_1	0	2	None	2	1	2	0	0	0	0	0	0	2	1000	0	0	<$>184163</>	None	0	AbyssArmaSet	2	11	<$>232243</>
0	0	9003	AbyssArmaSet_2	0	4	None	4	2	4	0	0	0	0	0	0	4	2000	0	0	<$>184165</>	None	0	AbyssArmaSet	4	11	<$>232243</>
0	0	9004	AbyssArmaSet_3	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>184166</>	None	0	AbyssArmaSet	6	11	<$>232244</>
0	0	9005	AbyssArmaSet_4	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>184167</>	None	0	AbyssArmaSet	6	11	<$>232245</>
0	0	9006	AbyssArmaSet_5	1	6	None	6	3	6	5	5	5	5	5	5	6	3000	0	0	<$>184168</>	None	0	AbyssArmaSet	6	11	<$>232245</>
