BlessItemID	BlessScp	ClassID	ClassName	Desc	DescFont	EquipBless	Value
40206	SCR_ITEM_BLESS_IncAR	1	Bless_ArmWep_AR	<$>202508</>	water_blue_14_ol	RH	1
40207	SCR_ITEM_BLESS_IncATK	2	Bless_ArmWep_ATK	<$>202509</>	water_blue_14_ol	RH	10
40208	SCR_ITEM_BLESS_IncFireATK	3	Bless_ArmWep_FireATK	<$>202510</>	water_blue_14_ol	RH	30
40209	SCR_ITEM_BLESS_IncIceATK	4	Bless_ArmWep_IceATK	<$>202511</>	water_blue_14_ol	RH	30
40210	SCR_ITEM_BLESS_IncLghtATK	5	Bless_ArmWep_LghtATK	<$>202512</>	water_blue_14_ol	RH	30
40211	SCR_ITEM_BLESS_IncPsyATK	6	Bless_ArmWep_PsyATK	<$>202513</>	water_blue_14_ol	RH	30
40212	SCR_ITEM_BLESS_IncIP	7	Bless_ArmWep_IP	<$>202514</>	water_blue_14_ol	RH	5
40213	SCR_ITEM_BLESS_IncDefIP	8	Bless_ArmWep_DefIP	<$>202515</>	water_blue_14_ol	RH	5
40214	SCR_ITEM_BLESS_IncFireIP	9	Bless_ArmWep_FireIP	<$>202516</>	water_blue_14_ol	RH	5
40215	SCR_ITEM_BLESS_IncIceIP	10	Bless_ArmWep_IceIP	<$>202517</>	water_blue_14_ol	RH	5
40216	SCR_ITEM_BLESS_IncLgtIP	11	Bless_ArmWep_LgtIP	<$>202518</>	water_blue_14_ol	RH	5
40217	SCR_ITEM_BLESS_IncPsyIP	12	Bless_ArmWep_PsyIP	<$>202519</>	water_blue_14_ol	RH	5
40218	SCR_ITEM_BLESS_IncCRT	13	Bless_ArmWep_CRT	<$>202520</>	water_blue_14_ol	RH	10
40219	SCR_ITEM_BLESS_IncASPD	14	Bless_ArmWep_ASPD	<$>202521</>	water_blue_14_ol	RH	10
40220	SCR_ITEM_BLESS_IncHR	15	Bless_ArmWep_HR	<$>202522</>	water_blue_14_ol	RH	10
40221	SCR_ITEM_BLESS_IncSTR	16	Bless_ArmWep_STR	<$>202523</>	water_blue_14_ol	RH	5
40222	SCR_ITEM_BLESS_IncAGI	17	Bless_ArmWep_AGI	<$>202524</>	water_blue_14_ol	RH	5
40223	SCR_ITEM_BLESS_IncCON	18	Bless_ArmWep_CON	<$>202525</>	water_blue_14_ol	RH	5
40224	SCR_ITEM_BLESS_IncDEX	19	Bless_ArmWep_DEX	<$>202526</>	water_blue_14_ol	RH	5
40225	SCR_ITEM_BLESS_IncINT	20	Bless_ArmWep_INT	<$>202527</>	water_blue_14_ol	RH	5
40226	SCR_ITEM_BLESS_IncCHA	21	Bless_ArmWep_CHA	<$>202528</>	water_blue_14_ol	RH	5
40227	SCR_ITEM_BLESS_IncDR	22	Bless_ArmWep_DR	<$>154430</>	water_blue_14_ol	BODY	1
40228	SCR_ITEM_BLESS_IncDEF	23	Bless_ArmWep_DEF	<$>202529</>	water_blue_14_ol	BODY	10
40229	SCR_ITEM_BLESS_IncRMEELE	24	Bless_ArmWep_RMEELE	<$>202530</>	water_blue_14_ol	BODY	10
40230	SCR_ITEM_BLESS_IncRSHOOT	25	Bless_ArmWep_RSHOOT	<$>202531</>	water_blue_14_ol	BODY	10
40231	SCR_ITEM_BLESS_IncRMAGIC	26	Bless_ArmWep_RMAGIC	<$>202532</>	water_blue_14_ol	BODY	10
40232	SCR_ITEM_BLESS_IncRALL	27	Bless_ArmWep_RALL	<$>202533</>	water_blue_14_ol	BODY	5
40233	SCR_ITEM_BLESS_IncIMP	28	Bless_ArmWep_IMP	<$>202534</>	water_blue_14_ol	BODY	5
