ClassID	ClassName	DefaultOptionID
1	ARMOR	18004
2	FIRE	15005
3	ETC	23001
4	ICE	16005
5	LGHT	17005
6	PSY	14005
7	CLOTHE	19005
8	SHIELD	20004
9	SHOOT	13007
10	MELEE	12007
11	BOOTS	22004
12	GLOVE	21004
13	ARMSLD	26003
14	Belt	26003
15	Ear	26003
16	LEGENDSHT	100001
17	LEGENDMEL	100015
18	LEGENDCON	100028
19	LEGENDRES	100031
20	LEGENDSUM	100039
21	LEGENDSHD	100042
22	LEGENDPSY	100054
23	LEGENDFIRE	100065
24	LEGENDICE	100076
25	LEGENDLGHT	100087
26	LEGENDCOAT	100098
27	LEGENDCOAT2	100107
28	LEGENDROBE	100116
29	LEGENDMETAL	100124
30	LEGENDLEATHER	100132
31	LEGENDLEATHER2	100141
32	LEGNEDEAR	100150
33	LEGENDNECK	100141
34	LEGENDGLOVE	100166
35	LEGNEDBELT	100171
36	LEGENDBOOT	100179
37	ROSARIO	43001
38	BOOK	90096
39	ETC1	23001
40	CUBE	90096
41	BST_MELEE	111002
42	BST_SHOOT	111019
43	BST_PSY	111037
44	BST_FIRE	111051
45	BST_ICE	111065
46	BST_LGHT	111079
48	JPN_MELEE	130001
49	JPN_SHOOT	130014
50	JPN_FIRE	130031
51	JPN_ICE	130041
52	JPN_LGHT	130051
53	JPN_PSY	130061
54	ARMOR_A	112004
55	CLOTHE_A	112015
56	ARM_MELEE	113001
57	ARM_SHOOT	113020
58	ARM_PSY	113040
59	ARM_FIRE	113056
60	ARM_ICE	113072
61	ARM_LGHT	113088
62	ARM_SHIELD	113104
63	ARM_EAR	113200
64	ARM_NECK	113208
65	ARM_GLOVE	113216
66	ARM_BELT	113221
67	ARM_BOOT	113229
68	JPN_NEWMELEE	130223
69	JPN_NEWSHOOT	130231
70	JPN_NEWMAGIC	130239
71	JPN_NEWSHIELD	130247
72	ELITECON_MELEE	114001
73	ELITECON_SHOOT	114020
74	ELITECON_PSY	114040
75	ELITECON_FIRE	114056
76	ELITECON_ICE	114072
77	ELITECON_LGHT	114088
78	ELITECON_SHIELD	114104
79	JPN_ROYALMELEE	130256
80	JPN_ROYALSHOOT	130262
81	JPN_ROYALMAGIC	130268
82	JPN_NEWEAR	130300
83	JPN_NEWNECK	130310
84	JPN_NEWBELT	130320
85	JPN1605ARMOR	13050
86	JPN_1607CHARMELEE	130400
87	JPN_1607CHARSHOOT	130410
88	JPN_1607CHARMAGIC	130420
89	JPN_1609AR	130430
90	EVILCOAT	100200
91	EVILROBE	100208
92	EVILMETAL	100215
93	EVILLEATHER	100222
94	EVILEAR	100230
95	EVILNECK	100238
96	EVILGLOVE	100246
97	EVILBELT	100251
98	EVILBOOT	100259
99	VALERON_MELEE	115001
100	VALERON_SHOOT	115020
101	VALERON_FIRE	115056
102	VALERON_LGHT	115088
103	VALERON_ICE	115072
104	VALERON_PSY	115040
105	VALERON_SHIELD	115104
106	VALERON_CON	115116
107	VALERON_SUM	115127
108	VALERON_RES	115119
109	VALARMOR_A	116001
110	VALCLOTHE_A	116012
111	VALELON_EAR	117001
112	VALELON_NECK	117009
113	VALELON_GLOVE	117017
114	VALELON_BELT	117022
115	VALELON_BOOT	117030
