AiRange	AutoCheck	AutoDuel	BgName	BgmPlayList	ChangeChannel	Channel	ChaseLimit	ClassID	ClassName	CliqueWar	ColBan	ColGenX	ColGenY	ColGenZ	ColonyEXP	ColonyX	ColonyY	ColonyZ	Continent	DefGenPosX	DefGenPosY	DefGenPosZ	Desc	DropItem1Freq	DropItem1ID	DropItem2Freq	DropItem2ID	DropItem3Freq	DropItem3ID	DropItem4Freq	DropItem4ID	DropItem5Freq	DropItem5ID	DropItem6Freq	DropItem6ID	DropItem7Freq	DropItem7ID	EnablePK	EngName	FlagCount	GetRestart	HeldWepn	HideEnemyPhrase	Info	IsAutoMission	ItemGroup	ItemPriorityTime	ItemViewDist	LeaveTime	LoadingImg	LockWarp	LockWarpCommLV	LockWarpSaveId	MapTitleFont1	MapTitleFont2	MinimapFile	MinimapLength	MinimapOffsetX	MinimapOffsetY	Mission	MonCache	MonViewDist	MonsterDropBlock	MovableZone	Name	NewPVPRule	NoMIC	Note	PartyBuff	PartyWar	PcCache	PcViewDist	QuestMission	QuestWarp	RecallRequestAble	RecallTakeAble	RewardEXPBM	RewardItemBM	SaveWarp	Thumbnail	TokName	TriggerViewDist	Tutorial	Type	UseAIAnyWhere	UseGlobalDrop	UseInitScp	UseItemCoolDown	UseReturnScroll	UseTeleportScroll	UserShop	ViewMiddleRange	ViewRange	WarGroup	WayPointX	WayPointY	WayPointZ	WorldMapName	ZoneItem	ZoneScript	vsMon	vsPC
35000	FALSE	FALSE	mission_jaq_treasure	Mission	FALSE	0	10	1	mission_2012santa	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	0	0	0	<$>106354</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Thiefs	5	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	14345.731	0	0	TRUE	TRUE	3200	FALSE	None	<$>106354</>	0	0	<$>106354</>	TRUE	FALSE	TRUE	3000	FALSE	FALSE	FALSE	FALSE	0.1	0	FALSE	thumb_dummy.jpg	mission_jaq_treasure	6000	FALSE	MISSION	NO	1	0	1	FALSE	FALSE	FALSE	4000	6000	0	0	0	0	None	None	None	TRUE	FALSE
3000	FALSE	FALSE	mission_cas_relic	Mission	FALSE	3	10	3	mission_event_lieday	FALSE	0	0	0	0	1	0	0	0	GranadoEspada	-25714	-16166	-207	<$>99265</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Linden Joined?!	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	TRUE	TRUE	3200	TRUE	None	<$>99265</>	0	0	<$>99264</>	TRUE	FALSE	TRUE	3000	FALSE	FALSE	FALSE	FALSE	0	0	FALSE	None	mission_cas_relic	6000	FALSE	MISSION	NO	1	0	1	FALSE	FALSE	FALSE	4000	6000	0	-25714	-16166	-207	None	None	None	TRUE	TRUE
250000	TRUE	FALSE	test_zone	Mission	TRUE	3	5	4	test_zone	FALSE	230	-654	110	0	1	2000	0	0	GranadoEspada	2000	0	0	<$>47308</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Test Zone	3	None	TRUE	1	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	FALSE	FALSE	3200	FALSE	None	<$>47308</>	0	0	<$>47307</>	TRUE	FALSE	FALSE	3000	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	thumb_reb_basic.jpg	test_zone	6000	FALSE	PARTYWAR	NO	0	0	1	TRUE	TRUE	TRUE	4000	6000	0	2000	0	0	None	None	None	TRUE	FALSE
2500	TRUE	FALSE	test_zone	Mission	TRUE	3	5	5	test_zone_bot	FALSE	0	0	0	0	1	2000	0	0	GranadoEspada	2000	0	0	<$>47308</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Test Zone	3	None	TRUE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	FALSE	FALSE	3200	FALSE	None	<$>47308</>	0	0	<$>47309</>	TRUE	FALSE	FALSE	3000	FALSE	FALSE	FALSE	FALSE	1	1	TRUE	thumb_reb_basic.jpg	test_zone	6000	FALSE	PARTYWAR	NO	0	0	1	TRUE	TRUE	TRUE	4000	6000	0	2000	0	0	None	None	None	TRUE	FALSE
250000	TRUE	FALSE	map_size_reference	Mission	TRUE	3	5	6	test_size	FALSE	230	0	0	0	1	0	0	0	GranadoEspada	2000	0	0	<$>171709</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Test Size	3	None	TRUE	1	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	FALSE	FALSE	3200	FALSE	None	<$>171709</>	0	0	<$>171709</>	TRUE	FALSE	FALSE	3000	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	thumb_reb_basic.jpg	map_size_reference	6000	FALSE	PARTYWAR	NO	0	0	1	TRUE	TRUE	TRUE	4000	6000	0	0	0	0	None	None	None	TRUE	FALSE
2500	FALSE	FALSE	barrack02	ImmigrantCenter	TRUE	3	5	8	reb_linden	FALSE	0	0	0	0	1	0	-427	0	GranadoEspada	0	-427	0	<$>47311</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Dept. of Pioneering the New Continent	3	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	FALSE	TRUE	3200	FALSE	None	<$>47311</>	0	0	<$>47310</>	TRUE	FALSE	TRUE	3000	FALSE	FALSE	TRUE	FALSE	1	1	TRUE	thumb_reb_basic.jpg	barrack02	6000	FALSE	CITY	NO	0	0	1	FALSE	FALSE	TRUE	4000	6000	0	0	-427	0	reb_basic_btn	None	None	FALSE	FALSE
1000	FALSE	FALSE	reb_basic	Reboldoeux	TRUE	3	5	10	reb_basic	FALSE	0	0	0	0	1	-2486	8458	-519	GranadoEspada	4953	0	256	<$>3976</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Cite de Reboldoeux	3	None	FALSE	0	None	FALSE	None	30000	1500	0	None	FALSE	0	0	white_38_ol	white_22_ol	reb_basic.jpg	46800	1520.846	502.007	FALSE	TRUE	4000	FALSE	office_reb,btl_reb01,fld_reb,party_hq,btl_ktv03,gig_basic,btl_reb03,btl_tbk01,fld_tor,fld_jaq,fld_ptv,fld_ttr,fld_alq,auch_basic,coim_basic	<$>3976</>	0	0	<$>47312</>	TRUE	FALSE	TRUE	4000	FALSE	TRUE	TRUE	TRUE	1	1	TRUE	thumb_reb_basic.jpg	reb_basic	4000	FALSE	CITY	NO	0	0	1	TRUE	TRUE	TRUE	2500	4000	0	4953	0	256	reb_basic_btn	None	None	FALSE	FALSE
2500	TRUE	FALSE	barrack	Barrack	TRUE	3	5	13	barrack	FALSE	0	0	0	0	1	0	-261	3	GranadoEspada	0	-261	3	Barrack	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TRUE	Barrack	3	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	None	0	0	0	FALSE	FALSE	3200	FALSE	None	<$>47314</>	0	0	<$>47313</>	TRUE	FALSE	FALSE	3000	FALSE	FALSE	FALSE	FALSE	1	1	TRUE	thumb_dummy.jpg	barrack	6000	FALSE	Barrack	NO	0	0	1	TRUE	TRUE	FALSE	4000	6000	0	0	-261	3	None	None	None	FALSE	FALSE
2500	FALSE	FALSE	coim_basic	Coimbra	TRUE	3	5	14	coim_basic_tuto	FALSE	0	0	0	0	1	-8178	5157	321	GranadoEspada	5351	15367	-1089	<$>1293</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Port of Coimbra (Tutorial)	3	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	coim_basic_tuto.jpg	26200	152.808	9907.191	FALSE	TRUE	4000	FALSE	None	<$>47316</>	0	0	<$>47315</>	TRUE	FALSE	TRUE	4000	FALSE	FALSE	FALSE	FALSE	1	1	FALSE	thumb_coim_basic.jpg	coim_basic_tuto	4000	FALSE	CITY	NO	0	0	1	FALSE	FALSE	TRUE	2500	4000	0	2289	16877	-1095	coim_basic_btn	None	None	FALSE	FALSE
2500	FALSE	FALSE	coim_basic	Coimbra	TRUE	3	5	15	coim_basic	FALSE	0	0	0	0	1	-8178	5157	321	GranadoEspada	2459	16773	-1088	<$>1293</>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE	Port of Coimbra	3	None	FALSE	0	None	FALSE	None	30000	6000	0	None	FALSE	0	0	white_38_ol	white_22_ol	coim_basic.jpg	26200	152.808	9907.191	FALSE	TRUE	4000	FALSE	fld_coim,office_coim,ust_basic,gig_basic,viron_basic,cas_basic,party_hq3,btl_ktv03,gig_basic,btl_reb03,btl_tbk01,fld_tor,fld_jaq,fld_ptv,fld_ttr,fld_alq,auch_basic,reb_basic	<$>1293</>	0	0	<$>47317</>	TRUE	FALSE	TRUE	4000	FALSE	TRUE	TRUE	TRUE	1	1	TRUE	thumb_coim_basic.jpg	coim_basic	4000	FALSE	CITY	NO	0	0	1	TRUE	TRUE	TRUE	2500	4000	0	2459	16773	-1088	coim_basic_btn	None	None	FALSE	FALSE
