Char1Con	Char1Prop	Char1Script	Char2Con	Char2Prop	Char2Script	Char3Con	Char3Prop	Char3Script	ClassID
ClassName	Soldier	Soldierspirit	ClassName	Trooper	Soldierspirit	ClassName	Infantry	Soldierspirit	1
ClassName	Garcia	Crosseddestiny	ClassName	Eduardo	Crosseddestiny	ClassName	Selva	Crosseddestiny	2
ClassName	Sharif	Gunsmith	ClassName	Grace	Gunsmith	ClassName	Lorch	Gunsmith	3
ClassName	Gurtrude	Muscleclub	ClassName	Gracielo	Muscleclub	ClassName	Soho	Muscleclub	4
ClassName	Grandma	Kntorescue	ClassName	Romina	Kntorescue	ClassName	RescueKnight	Kntorescue	5
ClassName	Ramiro	Juniorclub	ClassName	Tiburon	Juniorclub	ClassName	Clair	Juniorclub	6
ClassName	Adelina	Marineheros	ClassName	Alejandro	Marineheros	ClassName	Soho	Marineheros	7
ClassName	Andre	Rebmilitia	ClassName	Panfilo	Rebmilitia	ClassName	Brunie	Rebmilitia	8
ClassName	Grace	Giganticblaster	ClassName	Lorch	Giganticblaster	ClassName	Scout	Giganticblaster	9
ClassName	Soldier	DRup05	ClassName	None	None	ClassName	None	None	101
ClassName	Trooper	DRup05	ClassName	None	None	ClassName	None	None	102
ClassName	Infantry	DRup05	ClassName	None	None	ClassName	None	None	103
ClassName	Grcia	ATKup05	ClassName	None	None	ClassName	None	None	104
ClassName	Eduardo	ATKup05	ClassName	None	None	ClassName	None	None	105
ClassName	Selva	ATKup05	ClassName	None	None	ClassName	None	None	106
ClassName	Sharif	HRup05	ClassName	None	None	ClassName	None	None	107
ClassName	Grace	HRup05	ClassName	None	None	ClassName	None	None	108
ClassName	Lorch	HRup05	ClassName	None	None	ClassName	None	None	109
ClassName	Gurtrude	DRup05	ClassName	None	None	ClassName	None	None	110
ClassName	Gracielo	MHPup500	ClassName	None	None	ClassName	None	None	111
ClassName	Soho	DRup05	ClassName	None	None	ClassName	None	None	112
ClassName	Grandma	MSPDup05	ClassName	None	None	ClassName	None	None	113
ClassName	Romina	MSPDup05	ClassName	None	None	ClassName	None	None	114
ClassName	RescueKnight	MSPDup05	ClassName	None	None	ClassName	None	None	115
ClassName	Ramiro	DRup05	ClassName	None	None	ClassName	None	None	116
ClassName	Tiburon	DRup05	ClassName	None	None	ClassName	None	None	117
ClassName	Clair	MHPup1000	ClassName	None	None	ClassName	None	None	118
