ClassID	ClassName	CountCheck	DayCheck	DropMaxRatio	EnterItem	ItemCount	ItemUseCheck	Layer	Limits	MissionLobby	MissionName	Rank	ResetDay
1	mission_rafflesia	Raid_rafflesia_try	Raid_rafflesia	0	Live_Missionenterpoint	10	None	1	TRUE	mcrafflesia	<$>225883</>	1	1
2	mission_dun_alq_boss_v	try_alqboss	today_alqboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcalqbossv	<$>225896</>	1	1
3	mission_dun_jaq_boss_v	try_jaqboss	today_jaqboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcjaqbossv	<$>225890</>	1	1
4	mission_dun_ttr_boss_v	try_ttrboss	today_ttrboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcttrbossv	<$>225889</>	1	1
5	mission_dun_ust_boss	try_Dunustboss	Mission_Dunustboss	0	Live_Missionenterpoint	10	None	1	TRUE	mcdunustboss	<$>225869</>	1	1
101	mission_griffon	Raid_griffon_try	Raid_griffon	0	Live_Missionenterpoint	15	None	1	TRUE	mcgriffon	<$>225886</>	2	1
102	mission_private_jaq_under	private_jaq_under	today_private_jaq_under	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatejaqunder	<$>225895</>	2	1
103	mission_phobitan_boss	phobitan_boss	today_phobitan_boss	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatephobitanboss	<$>225872</>	2	1
104	mission_chainrush	try_chainrush	today_chainrush	0	Live_Missionenterpoint	15	None	1	TRUE	mcchainrush	<$>225884</>	2	1
105	mission_PasiarCaptain	private_PasiarCaptain	today_PasiarCaptain	0	Live_Missionenterpoint	15	None	1	TRUE	mcprivatepasiarcaptain	<$>225873</>	2	1
201	mission_uraeus	Raid_uraeus_try	Raid_uraeus	0	Live_Missionenterpoint	20	None	1	TRUE	mcuraeus	<$>225885</>	3	1
202	mission_sharffen	Raid_sharffen_try	Raid_sharffen	0	Live_Missionenterpoint	20	None	1	TRUE	mcsharffen	<$>225882</>	3	1
203	raid_hellvally	Hellgate_try	Hellgate_Today	0	Live_Missionenterpoint	20	None	1	TRUE	mchellvally	<$>225880</>	3	1
204	mission_hellbreaker	try_hellbreaker	today_hellbreaker	0	Live_Missionenterpoint	20	None	1	TRUE	mchellbreaker	<$>225887</>	3	1
205	mission_Nechroshaman	private_Nechroshaman	today_private__Nechroshaman	0	Live_Missionenterpoint	20	None	1	TRUE	mcprivatenechroshaman	<$>225874</>	3	1
301	mission_btl_bah06	Bah_Try	Bah_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcbah06	<$>225897</>	4	1
302	mission_erc_boss	Mission_Erc_Try	Mission_Erc_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcercboss	<$>225881</>	4	1
303	mission_dun_sil_boss	Mission_Elec_Try	Mission_Elec_Day	0	Live_Missionenterpoint	25	None	1	TRUE	mcsilboss	<$>225891</>	4	1
304	mission_Chimera	private_Chimera	today_private_Chimera	0	Live_Missionenterpoint	25	None	1	TRUE	mcprivatechimera	<$>225876</>	4	1
