Child	ClassID	ClassName	CompletedType	Context	GaugeText	Title	ToolTip	Type
2 3 4	1	mission_bedel_party	Mission	None	None	None	None	Mission
None	2	mission_bedel_party_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>190548</>	<$>190549</>	Mission_Combat
None	3	mission_bedel_party_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>190550</>	<$>190551</>	Mission_Combat
None	4	mission_bedel_party_3	Mission_NPC_Complete	None	None	<$>190552</>	<$>190553</>	Mission_NPC
12 13 14	11	mission_selvaorden04	Mission	None	None	None	None	Mission
None	12	mission_selvaorden04_1	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
None	13	mission_selvaorden04_2	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>190557</>	<$>190558</>	Mission_Clock
None	14	mission_selvaorden04_3	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
22 23	21	mission_tree_party	Mission	None	None	None	None	Mission
None	22	mission_tree_party_1	Mission_Percentage_Complete	None	FORMULA_GAUGETEXT_PERCENTAGE	<$>190559</>	<$>190560</>	Mission_Percentage
None	23	mission_tree_party_2	Mission_NPC_Complete	None	None	<$>190552</>	<$>190553</>	Mission_NPC
32 33 34	31	mission_orden1_main30	Mission	None	None	None	None	Mission
None	32	mission_orden1_main30_1	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
None	33	mission_orden1_main30_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>190561</>	<$>190562</>	Mission_Combat
None	34	mission_orden1_main30_3	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
36 37 38 39	35	mission_orden1_main31	Mission	None	None	None	None	Mission
None	36	mission_orden1_main31_1	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
None	37	mission_orden1_main31_2	Mission_Clock_Complete	None	FORMULA_GAUGETEXT_STOPWATCH_REVERSE	<$>190563</>	<$>190564</>	Mission_Clock
None	38	mission_orden1_main31_3	Mission_ETC_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>190565</>	<$>190566</>	Mission_ETC
None	39	mission_orden1_main31_4	Mission_NPC_Complete	None	None	<$>190556</>	None	Mission_NPC
42 43 44 45 46 47	41	mission_clocktower_b01	Mission	None	None	None	None	Mission
None	42	mission_clocktower_b01_1	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191699</>	<$>191700</>	Mission_Combat
None	43	mission_clocktower_b01_2	Mission_Combat_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191701</>	<$>191702</>	Mission_Combat
None	44	mission_clocktower_b01_3	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191703</>	<$>191704</>	Mission_MSkill
None	45	mission_clocktower_b01_4	Mission_MSkill_Complete	None	FORMULA_GAUGETEXT_REMAINING	<$>191705</>	<$>191706</>	Mission_MSkill
None	46	mission_clocktower_b01_5	Mission_NPC_Complete	None	None	<$>190552</>	None	Mission_NPC
