ClassID	Desc	Image	ItemID	MonsterID
1	<$>203410</>	PetGrabber.bmp	21373	200
2	<$>203411</>	PetBuppet.bmp	21376	100
3	<$>203410</>	PetPigling.bmp	21421	300
4	<$>203412</>	PetPanPan.bmp	21422	400
5	<$>203413</>	PetRudolph.bmp	21423	700
6	<$>203410</>	PetNyato.bmp	21424	500
7	<$>203414</>	PetNyato.bmp	21425	800
8	<$>203410</>	PetChick.bmp	21426	900
9	<$>203410</>	PetSantagraber.bmp	21445	1000
10	<$>203415</>	PetTiger_Y.bmp	21447	1100
11	<$>203415</>	PetTiger_B.bmp	21448	1200
12	<$>203415</>	PetTiger_W.bmp	21449	1300
13	<$>203415</>	PetTiger_R.bmp	21455	1400
14	<$>171810</>	PetSavertiger.bmp	189022	5200
15	<$>203416</>	PetTcapyleader.bmp	189015	1600
16	<$>203416</>	PetCockatries.bmp	189016	1700
17	<$>203417</>	PetAcorchado.bmp	21466	2500
18	<$>203418</>	icewolf.bmp	21467	2600
19	<$>203419</>	PetSnowGolem.bmp	24115	3100
20	<$>171810</>	PetSavertiger.bmp	24116	5200
21	<$>203416</>	PetPhobitan.bmp	189021	2200
22	<$>203420</>	PetJormongand.bmp	189138	2400
23	<$>203410</>	PetReydeavaricia.bmp	189014	1500
24	<$>203410</>	PetPigling.bmp	189206	300
25	<$>203410</>	Gigantosnail.bmp	24117	3000
30	<$>203421</>	PetSavertiger.bmp	189212	2301
35	<$>203422</>	blacksabertiger.bmp	189285	2700
36	<$>203423</>	blacksabertiger.bmp	24101	2900
37	<$>203410</>	Gigantosnail.bmp	24102	3000
38	<$>203424</>	PetNyato.bmp	189301	2800
39	<$>203410</>	PetNyato.bmp	189017	1800
40	<$>203410</>	PetNyato.bmp	189020	2100
41	<$>203419</>	PetSnowGolem.bmp	24103	3100
42	<$>203410</>	PetSantagraber.bmp	24104	1000
43	<$>203425</>	PetSantagraber.bmp	189281	3200
44	<$>203426</>	PetBlueHorse.bmp	189282	3300
45	<$>203427</>	PetRedHorse.bmp	189283	3400
46	<$>203428</>	PetDiablo.bmp	189346	3500
47	<$>203429</>	PetRedBall.bmp	24111	3600
48	<$>203430</>	PetRhinoceur.bmp	157119	3700
49	<$>203412</>	PetRabbit.bmp	24112	3800
50	<$>203431</>	PetChito.bmp	189352	3900
