ClassID	ClassName	Max	Name	ToolTip
1	LikeCommToCas	50	<$>53400</>	<$>139678</>
2	LikeLisaToAdel	500	<$>11196</>	<$>139679</>
3	LikeAdelToLisa	500	<$>11182</>	<$>139679</>
4	Viron_JuneCount	4800	<$>53404</>	<$>53405</>
5	Los_Info	100	<$>11103</>	<$>139680</>
6	Viron_M3_Result	2000	<$>53407</>	<$>53408</>
7	Farm_JoinContinue	30	<$>48005</>	<$>53409</>
8	Mary_HelpPoint	100	<$>47094</>	<$>139681</>
9	Panfilo_HelpPoint	100	<$>11192</>	<$>139682</>
10	Bst_PortGuild	100000	<$>88986</>	<$>88987</>
11	Bst_Merchant	100000	<$>88988</>	<$>88989</>
12	Bst_Slum	100000	<$>88990</>	<$>88991</>
13	Bst_Governor	100000	<$>88992</>	<$>88993</>
14	Bst_Labo	100000	<$>88994</>	<$>88995</>
15	BerroniffDiaryNum	7	<$>11118</>	<$>139683</>
16	BStick_Count	7	<$>4903</>	<$>139684</>
17	Selvaarm_Count	15	<$>49403</>	<$>190671</>
18	PartJobCount_Reb	10	<$>107108</>	<$>139686</>
19	PartJobCount_Coim	10	<$>107105</>	<$>139687</>
20	PartJobCount_Auch	10	<$>107092</>	<$>139688</>
21	PartJobCount_Ust	10	<$>107109</>	<$>139689</>
22	PartJobCount_Bah	10	<$>107095</>	<$>139690</>
23	PartJobCount_Erc	10	<$>107106</>	<$>139691</>
24	PartJobCount_Viron	10	<$>107110</>	<$>139692</>
25	PartJobCount_Bst	10	<$>107096</>	<$>139693</>
26	Bedel_Evora	100000	<$>173848</>	<$>176020</>
27	Bedel_Patrikyon	100000	<$>176021</>	<$>176022</>
28	IleQuestCount	3200	<$>205531</>	<$>205532</>
29	AltQuestCount	5200	<$>223762</>	<$>223763</>
