ClassID	ClassName	Count	Day	ItemID	ItemName
1	SoulCrystal	10	1	20084	<$>30393</>
2	LTreasureBox	1	2	20899	<$>33591</>
3	TriumphFiller_1	7	3	20716	<$>30419</>
4	SSteroid1	4	3	20545	<$>30411</>
5	sthhma	30	4	88018	<$>30525</>
6	SocketProtect	1	4	88099	<$>30527</>
7	Melee_Crystal_28	3	5	75504	<$>36885</>
8	Shoot_Crystal_28	3	5	75505	<$>36886</>
9	Magic_Crystal_28	3	5	75506	<$>36887</>
10	Metal_Crystal_28	3	5	75555	<$>36916</>
11	Leather_Crystal_28	3	5	75556	<$>36917</>
12	Coat_Crystal_28	3	5	75557	<$>36918</>
13	Robe_Crystal_28	3	5	75558	<$>36919</>
14	ArcAngelWingBlack_7day	1	6	41114	<$>30258</>
15	DevilWing_7day	1	6	41115	<$>30259</>
16	RedPhoenix_7day	1	6	41136	<$>30260</>
17	RedPhoenix_Gold_7days	1	6	41206	<$>30276</>
18	ShylphWing_7days	1	6	41179	<$>30267</>
19	FairyWing_7days	1	6	41184	<$>30268</>
20	New_RingBox_A	2	0	23498	<$>98296</>
21	New_RingBox_B	2	0	23499	<$>98297</>
22	New_RingBox_C	2	0	23500	<$>98298</>
23	New_RingBox_D	2	0	23501	<$>98299</>
24	New_RingBox_E	2	0	23502	<$>98300</>
25	GlassesBox_B	5	0	20742	<$>30429</>
