ClassID	ClassName	ImgName	Name
1	human_red	quickequip_icon_human_r.bmp	<$>181937</>
2	human_yellow	quickequip_icon_human_y.bmp	<$>181938</>
3	human_blue	quickequip_icon_human_b.bmp	<$>181939</>
4	creature_red	quickequip_icon_creature_r.bmp	<$>181940</>
5	creature_yellow	quickequip_icon_creature_y.bmp	<$>181941</>
6	creature_blue	quickequip_icon_creature_b.bmp	<$>181942</>
7	undead_red	quickequip_icon_undead_r.bmp	<$>181943</>
8	undead_yellow	quickequip_icon_undead_y.bmp	<$>181944</>
9	undead_blue	quickequip_icon_undead_b.bmp	<$>181945</>
10	demon_red	quickequip_icon_demon_r.bmp	<$>181946</>
11	demon_yellow	quickequip_icon_demon_y.bmp	<$>181947</>
12	demon_blue	quickequip_icon_demon_b.bmp	<$>181948</>
13	golem_red	quickequip_icon_golem_r.bmp	<$>181949</>
14	golem_yellow	quickequip_icon_golem_y.bmp	<$>181950</>
15	golem_blue	quickequip_icon_golem_b.bmp	<$>181951</>
16	ring_red	quickequip_icon_ring_r.bmp	<$>181952</>
17	ring_yellow	quickequip_icon_ring_y.bmp	<$>181953</>
18	ring_blue	quickequip_icon_ring_b.bmp	<$>181954</>
19	ring_green	quickequip_icon_ring_g.bmp	<$>184394</>
20	ring_white	quickequip_icon_ring_w.bmp	<$>184395</>
