ChipCount	ChipType	ClassID	ClassName	Down	Grade	Rank	Stay	Up
3	21927 21926	1	Ear_g3r0	5	3	0	40	55
3	21927 21926	2	Ear_g3r1	10	3	1	40	50
4	21927 21926	3	Ear_g3r2	15	3	2	40	45
4	21927 21926	4	Ear_g3r3	20	3	3	40	40
5	21927 21926	5	Ear_g3r4	25	3	4	40	35
5	21927 21926	6	Ear_g3r5	30	3	5	40	30
6	21927 21926	7	Ear_g3r6	35	3	6	40	25
6	21927 21926	8	Ear_g3r7	40	3	7	40	20
7	21927 21926	9	Ear_g3r8	45	3	8	40	15
0	21927 21926	10	Ear_g3r9	0	3	9	100	0
0	21927 21926	11	Ear_g3r10	0	3	10	100	0
4	21927 21926	12	Ear_g4r0	0	4	0	40	60
4	21927 21926	13	Ear_g4r1	5	4	1	40	55
5	21927 21926	14	Ear_g4r2	10	4	2	40	50
5	21927 21926	15	Ear_g4r3	15	4	3	40	45
6	21927 21926	16	Ear_g4r4	20	4	4	40	40
6	21927 21926	17	Ear_g4r5	25	4	5	40	35
7	21927 21926	18	Ear_g4r6	30	4	6	40	30
7	21927 21926	19	Ear_g4r7	35	4	7	40	25
8	21927 21926	20	Ear_g4r8	40	4	8	40	20
8	21927 21926	21	Ear_g4r9	45	4	9	40	15
0	21927 21926	22	Ear_g4r10	0	4	10	100	0
2	21931 21928	23	Ear_g5r0	0	5	0	40	60
2	21931 21928	24	Ear_g5r1	5	5	1	40	55
3	21931 21928	25	Ear_g5r2	10	5	2	40	50
3	21931 21928	26	Ear_g5r3	15	5	3	40	45
3	21931 21928	27	Ear_g5r4	20	5	4	40	40
3	21931 21928	28	Ear_g5r5	25	5	5	40	35
4	21931 21928	29	Ear_g5r6	30	5	6	40	30
4	21931 21928	30	Ear_g5r7	35	5	7	40	25
4	21931 21928	31	Ear_g5r8	40	5	8	40	20
4	21931 21928	32	Ear_g5r9	45	5	9	40	15
0	21931 21928	33	Ear_g5r10	0	5	10	100	0
3	21931 21928	34	Ear_g6r0	0	6	0	40	60
3	21931 21928	35	Ear_g6r1	5	6	1	40	55
3	21931 21928	36	Ear_g6r2	10	6	2	40	50
3	21931 21928	37	Ear_g6r3	15	6	3	40	45
4	21931 21928	38	Ear_g6r4	20	6	4	40	40
4	21931 21928	39	Ear_g6r5	25	6	5	40	35
4	21931 21928	40	Ear_g6r6	30	6	6	40	30
4	21931 21928	41	Ear_g6r7	35	6	7	40	25
5	21931 21928	42	Ear_g6r8	40	6	8	40	20
5	21931 21928	43	Ear_g6r9	45	6	9	40	15
0	21931 21928	44	Ear_g6r10	0	6	10	100	0
3	21927 21926	45	Ear_g7r0	0	7	0	40	60
3	21927 21926	46	Ear_g7r1	5	7	1	40	55
3	21927 21926	47	Ear_g7r2	10	7	2	40	50
3	21927 21926	48	Ear_g7r3	15	7	3	40	45
4	21927 21926	49	Ear_g7r4	20	7	4	40	40
4	21927 21926	50	Ear_g7r5	25	7	5	40	35
4	21927 21926	51	Ear_g7r6	30	7	6	40	30
4	21927 21926	52	Ear_g7r7	35	7	7	40	25
5	21927 21926	53	Ear_g7r8	40	7	8	40	20
5	21927 21926	54	Ear_g7r9	45	7	9	40	15
0	21927 21926	55	Ear_g7r10	0	7	10	100	0
3	24110 24109	56	Ear_g8r0	0	8	0	40	60
3	24110 24109	57	Ear_g8r1	5	8	1	40	55
3	24110 24109	58	Ear_g8r2	10	8	2	40	50
3	24110 24109	59	Ear_g8r3	15	8	3	40	45
4	24110 24109	60	Ear_g8r4	20	8	4	40	40
4	24110 24109	61	Ear_g8r5	25	8	5	40	35
4	24110 24109	62	Ear_g8r6	30	8	6	40	30
4	24110 24109	63	Ear_g8r7	35	8	7	40	25
5	24110 24109	64	Ear_g8r8	40	8	8	40	20
5	24110 24109	65	Ear_g8r9	45	8	9	40	15
0	24110 24109	66	Ear_g8r10	0	8	10	100	0
3	21927 21926	67	Ear_g9r0	0	9	0	40	60
3	21927 21926	68	Ear_g9r1	5	9	1	40	55
3	21927 21926	69	Ear_g9r2	10	9	2	40	50
3	21927 21926	70	Ear_g9r3	15	9	3	40	45
4	21927 21926	71	Ear_g9r4	20	9	4	40	40
4	21927 21926	72	Ear_g9r5	25	9	5	40	35
4	21927 21926	73	Ear_g9r6	30	9	6	40	30
4	21927 21926	74	Ear_g9r7	35	9	7	40	25
5	21927 21926	75	Ear_g9r8	40	9	8	40	20
5	21927 21926	76	Ear_g9r9	45	9	9	40	15
0	21927 21926	77	Ear_g9r10	0	9	10	100	0
1	210060	78	Ear_g10r0	0	10	0	40	60
2	210060	79	Ear_g10r1	5	10	1	40	55
3	210060	80	Ear_g10r2	10	10	2	40	50
4	210060	81	Ear_g10r3	15	10	3	40	45
5	210060	82	Ear_g10r4	20	10	4	40	40
6	210060	83	Ear_g10r5	25	10	5	40	35
7	210060	84	Ear_g10r6	30	10	6	40	30
8	210060	85	Ear_g10r7	35	10	7	40	25
9	210060	86	Ear_g10r8	40	10	8	40	20
10	210060	87	Ear_g10r9	45	10	9	40	15
0	210060	88	Ear_g10r10	0	10	10	100	0
3	21927 21926	101	Belt_g13r0	5	13	0	40	55
3	21927 21926	102	Belt_g13r1	10	13	1	40	50
4	21927 21926	103	Belt_g13r2	15	13	2	40	45
4	21927 21926	104	Belt_g13r3	20	13	3	40	40
5	21927 21926	105	Belt_g13r4	25	13	4	40	35
5	21927 21926	106	Belt_g13r5	30	13	5	40	30
6	21927 21926	107	Belt_g13r6	35	13	6	40	25
6	21927 21926	108	Belt_g13r7	40	13	7	40	20
7	21927 21926	109	Belt_g13r8	45	13	8	40	15
0	21927 21926	110	Belt_g13r9	0	13	9	100	0
0	21927 21926	111	Belt_g13r10	0	13	10	100	0
4	21927 21926	112	Belt_g14r0	0	14	0	40	60
4	21927 21926	113	Belt_g14r1	5	14	1	40	55
5	21927 21926	114	Belt_g14r2	10	14	2	40	50
5	21927 21926	115	Belt_g14r3	15	14	3	40	45
6	21927 21926	116	Belt_g14r4	20	14	4	40	40
6	21927 21926	117	Belt_g14r5	25	14	5	40	35
7	21927 21926	118	Belt_g14r6	30	14	6	40	30
7	21927 21926	119	Belt_g14r7	35	14	7	40	25
8	21927 21926	120	Belt_g14r8	40	14	8	40	20
8	21927 21926	121	Belt_g14r9	45	14	9	40	15
0	21927 21926	122	Belt_g14r10	0	14	10	100	0
2	21931 21928	123	Belt_g15r0	0	15	0	40	60
2	21931 21928	124	Belt_g15r1	5	15	1	40	55
3	21931 21928	125	Belt_g15r2	10	15	2	40	50
3	21931 21928	126	Belt_g15r3	15	15	3	40	45
3	21931 21928	127	Belt_g15r4	20	15	4	40	40
3	21931 21928	128	Belt_g15r5	25	15	5	40	35
4	21931 21928	129	Belt_g15r6	30	15	6	40	30
4	21931 21928	130	Belt_g15r7	35	15	7	40	25
4	21931 21928	131	Belt_g15r8	40	15	8	40	20
4	21931 21928	132	Belt_g15r9	45	15	9	40	15
0	21931 21928	133	Belt_g15r10	0	15	10	100	0
3	21931 21928	134	Belt_g16r0	0	16	0	40	60
3	21931 21928	135	Belt_g16r1	5	16	1	40	55
3	21931 21928	136	Belt_g16r2	10	16	2	40	50
3	21931 21928	137	Belt_g16r3	15	16	3	40	45
4	21931 21928	138	Belt_g16r4	20	16	4	40	40
4	21931 21928	139	Belt_g16r5	25	16	5	40	35
4	21931 21928	140	Belt_g16r6	30	16	6	40	30
4	21931 21928	141	Belt_g16r7	35	16	7	40	25
5	21931 21928	142	Belt_g16r8	40	16	8	40	20
5	21931 21928	143	Belt_g16r9	45	16	9	40	15
0	21931 21928	144	Belt_g16r10	0	16	10	100	0
3	21927 21926	145	Belt_g17r0	0	17	0	40	60
3	21927 21926	146	Belt_g17r1	5	17	1	40	55
3	21927 21926	147	Belt_g17r2	10	17	2	40	50
3	21927 21926	148	Belt_g17r3	15	17	3	40	45
4	21927 21926	149	Belt_g17r4	20	17	4	40	40
4	21927 21926	150	Belt_g17r5	25	17	5	40	35
4	21927 21926	151	Belt_g17r6	30	17	6	40	30
4	21927 21926	152	Belt_g17r7	35	17	7	40	25
5	21927 21926	153	Belt_g17r8	40	17	8	40	20
5	21927 21926	154	Belt_g17r9	45	17	9	40	15
0	21927 21926	155	Belt_g17r10	0	17	10	100	0
3	24110 24109	156	Belt_g18r0	0	18	0	40	60
3	24110 24109	157	Belt_g18r1	5	18	1	40	55
3	24110 24109	158	Belt_g18r2	10	18	2	40	50
3	24110 24109	159	Belt_g18r3	15	18	3	40	45
4	24110 24109	160	Belt_g18r4	20	18	4	40	40
4	24110 24109	161	Belt_g18r5	25	18	5	40	35
4	24110 24109	162	Belt_g18r6	30	18	6	40	30
4	24110 24109	163	Belt_g18r7	35	18	7	40	25
5	24110 24109	164	Belt_g18r8	40	18	8	40	20
5	24110 24109	165	Belt_g18r9	45	18	9	40	15
0	24110 24109	166	Belt_g18r10	0	18	10	100	0
3	21927 21926	167	Belt_g19r0	0	19	0	40	60
3	21927 21926	168	Belt_g19r1	5	19	1	40	55
3	21927 21926	169	Belt_g19r2	10	19	2	40	50
3	21927 21926	170	Belt_g19r3	15	19	3	40	45
4	21927 21926	171	Belt_g19r4	20	19	4	40	40
4	21927 21926	172	Belt_g19r5	25	19	5	40	35
4	21927 21926	173	Belt_g19r6	30	19	6	40	30
4	21927 21926	174	Belt_g19r7	35	19	7	40	25
5	21927 21926	175	Belt_g19r8	40	19	8	40	20
5	21927 21926	176	Belt_g19r9	45	19	9	40	15
