BookName	ClassID	ClassName	Desc	FileName	ImgLeftPage	ImgRightPage	MaxPage	PageItemID	Tab	Tip	Writer
<$>13438</>	1	NoBook	None	None	image\LeftPage.jpg	image\RightPage.jpg	1	0	0	<$>13438</>	<$>13438</>
<$>117812</>	2	firstcontractor	<$>148332</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	20	23562	0	<$>152104</>	<$>117813</>
<$>117815</>	3	priestofdeath	<$>117817</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	20	23563	0	<$>152105</>	<$>117816</>
<$>124704</>	4	holysword	<$>125676</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	39	40600	1	<$>152106</>	<$>117816</>
<$>124707</>	5	Sisterconstans	<$>125864</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	37	40601	1	<$>152106</>	<$>117816</>
<$>124710</>	6	HolyspearLena	<$>125865</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	27	40602	1	<$>152107</>	<$>117816</>
<$>128878</>	7	ComebackSir	<$>148334</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	19	40603	1	<$>152108</>	<$>129032</>
<$>132447</>	8	BertheBlindStory	<$>132448</>	icon_b_armhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	33	40608	1	<$>152109</>	<$>117816</>
<$>138852</>	9	Ornellaletter	<$>140264</>	icon_b_letter.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40598	1	<$>152110</>	<$>117816</>
<$>138855</>	10	VigilarStory	<$>148335</>	icon_b_bahhistory.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40599	1	<$>152111</>	<$>117816</>
<$>148336</>	11	Armonium	<$>148337</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	8	40597	2	<$>152112</>	<$>117816</>
<$>152113</>	12	JewelMenual	<$>182074</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	3	40597	2	<$>152115</>	<$>117816</>
<$>152116</>	13	Lynn	<$>226141</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	40	40595	1	<$>152120</>	<$>117816</>
<$>154720</>	14	evilandkevin	<$>226142</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	30	40594	1	<$>155365</>	<$>117816</>
<$>159991</>	15	Vernieduke	<$>226143</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	32	40593	1	<$>160900</>	<$>117816</>
<$>182075</>	16	Costertown	<$>226144</>	icon_Databook.bmp	image\LeftPage.jpg	image\RightPage.jpg	28	40591	2	<$>182078</>	<$>117816</>
<$>99215</>	17	SpyOlivia	<$>226145</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	22	40592	1	<$>182081</>	<$>117816</>
<$>199352</>	18	LaPucelle	<$>199353</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	46	40590	1	<$>199354</>	<$>117816</>
<$>197451</>	19	Sanquines1	<$>197452</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	38	40589	1	<$>197453</>	<$>117816</>
<$>199355</>	20	Sanquines2	<$>199356</>	icon_Vironbooks.bmp	image\LeftPage.jpg	image\RightPage.jpg	38	40589	1	<$>197453</>	<$>117816</>
