ClassID	ClassName	DistributeCount	TargetJob
1	Rapier_33_1	1	1 29 34 43 67 82
2	Rapier_33_2	2	R 53
3	Dagger_33_1	1	1 40 95 102
4	Dagger_33_2	2	3 34 57
5	THSword_33_1	1	1 7 8 22 34 42 58 82
6	Sword_33_1	1	1 10 11 12 28 31 64 70 72 82
7	Sword_33_2	2	8 14 17 38 34 42
8	Rifle_33_1	1	4 6 33 71 89
9	Sabre_33_1	1	1 17 38 51 52 82
10	Sabre_33_2	2	8 25 34 64
11	Polearm_33_1	1	1 13 31
12	Javelin_33_1	1	1 8 22
13	Pistol_33_1	1	34 53 68
14	Pistol_33_2	2	1 6 19 35 39 51 52 89 98
15	Shield_33_1	1	1 10 31 34 42 101
16	Staff_33_1	1	2 78 130
17	MainG_33_1	1	16 34 51 52 72 80
18	Blunt_33_1	1	1 8 10 31 34 82
19	Blunt_33_2	2	59 60
20	FireBrc_33_2	2	5 20 36 61 93
21	LghtBrc_33_2	2	5 36 55 61
22	IceBrc_33_2	2	5 36 61 118
23	Rod_33_1	1	24 41 63 83 114
24	Rosario_1	1	21 37 40 47 69 78
25	Shotgun_33_1	1	R 35
26	Knuckle_33_1	1	R 115
