ClassID	Division	PosX	PosY	PosZ
1	0	4417	20553	-199
2	0	3675	20365	-205
3	0	2891	20141	-348
4	0	2011	19978	-399
5	0	2145	18741	-399
6	0	2593	18280	-399
7	0	3818	18895	-210
8	0	4186	18385	-199
9	0	4695	18681	-199
10	0	4952	17941	-199
11	0	5247	18401	-199
12	0	4785	17536	-199
13	0	4639	16453	-199
14	0	-4054	20220	-199
15	0	-3607	20176	-272
16	0	-2833	20098	-399
17	0	-4303	20462	-199
18	0	-4643	20593	-199
19	0	-4129	20732	-199
20	0	-3108	20851	-298
21	0	-2728	20895	-355
22	0	-2680	21315	-329
23	0	-2797	22046	-252
24	0	-3411	22280	-199
25	0	-2635	21803	-297
26	0	-745	20957	-399
27	0	4067	16571	-199
28	0	2845	16096	-336
29	0	2850	15516	-289
30	0	3158	15037	-201
31	0	3077	14339	-199
32	0	2567	14604	-261
33	0	1729	15040	-399
34	0	1044	15416	-399
35	0	580	15174	-399
36	0	643	14218	-221
37	0	911	13686	-199
38	0	-91	13813	-199
39	0	-441	14328	-250
40	0	-661	21342	-399
41	0	-689	21724	-363
42	0	-870	22317	-205
43	0	-212	22426	-199
44	0	93	22126	-256
45	0	406	21493	-399
46	0	631	21036	-399
47	0	327	20942	-399
48	0	1097	22385	-199
49	0	1342	22698	-199
50	0	1785	22440	-199
51	0	2445	22416	-199
52	0	1878	21624	-390
53	0	-492	14679	-344
54	0	-567	15180	-399
55	0	-1431	15685	-399
56	0	-1826	15208	-399
57	0	-2081	14907	-399
58	0	-2510	14367	-261
59	0	-2636	14211	-219
60	0	-2769	14046	-199
61	0	-3375	14487	-199
62	0	-3166	14817	-224
63	0	-2807	15227	-314
64	0	-1422	15668	-399
65	0	-2070	16070	-399
66	0	1641	21192	-399
67	0	1421	20790	-399
68	0	2002	20379	-399
69	0	1783	19978	-399
70	0	2173	19923	-399
71	0	2454	20343	-399
72	0	2780	20405	-345
73	0	3093	20598	-279
74	0	3193	20992	-231
75	0	3547	20726	-199
76	0	3742	20066	-218
77	0	4269	20747	-199
78	0	4386	20762	-199
79	0	-2261	17008	-399
80	0	-2647	16819	-399
81	0	-3147	16658	-374
82	0	-4143	16689	-219
83	0	-4647	16705	-199
84	0	-4571	17592	-199
85	0	-4169	17875	-199
86	0	-4169	17875	-199
87	0	-3467	18064	-332
88	0	-2948	18273	-399
89	0	-2480	18461	-399
90	0	-2993	18780	-399
91	0	-3527	19113	-320
92	0	-4784	19222	-199
93	0	-5006	19377	-199
94	0	4268	21129	-199
95	0	3762	21294	-199
96	0	4345	20008	-199
97	0	4634	19524	-199
98	0	4799	19247	-199
99	1	-17303	17396	0
100	1	-16780	17663	-12
101	1	-16088	18679	-49
102	1	-16839	18931	0
103	1	-18753	18898	0
104	1	-19016	18240	-49
105	1	-18577	17402	0
106	1	-19570	17656	-20
107	1	-20483	17977	-49
108	1	-20779	18368	0
109	1	-21018	17060	0
110	1	-20267	16295	-49
111	1	-19601	16029	-35
112	1	-19712	14849	-49
113	1	-20516	10462	-49
114	1	-19785	10447	-49
115	1	-19404	9494	0
116	1	-19809	9787	-49
117	1	-20493	8992	-49
118	1	-20868	9418	0
119	1	-20530	13268	-49
120	1	-19603	13118	-36
121	1	-19382	11914	0
122	1	-20257	11742	-49
123	1	-20974	11686	0
124	1	-20959	10644	0
125	1	-20292	14252	-49
126	1	-20862	13674	0
