ClassID	Division	PosX	PosY	PosZ
1	0	9648	-16508	-2952
2	0	7152	-21983	-2338
3	0	-528	-28431	-2876
4	0	-13163	-27815	-3040
5	0	-18143	-26035	-3753
6	0	-2157	-12640	-4860
7	0	-29587	-27935	-3147
8	0	-25312	-26664	-3874
9	0	-3154	-25557	-3552
10	0	10468	-19620	-2003
11	0	8779	-20004	-2325
12	0	8758	-22280	-1920
13	0	10106	-21552	-1659
14	0	9793	-34079	-2514
15	0	8860	-36520	-2018
16	0	7993	-24627	-2063
17	0	10544	-16305	-2750
18	0	10927	-13932	-2760
19	0	8981	-10429	-2823
20	0	-3754	-14817	-4943
21	0	1519	-32661	-2651
22	0	1276	-30690	-2849
23	0	7276	-30446	-2504
24	0	4496	-35383	-2780
25	0	5386	-36765	-2127
26	0	-498	-32838	-2218
27	0	-565	-34840	-2176
28	0	5819	-25704	-2314
29	0	5273	-28125	-2701
30	0	5380	-29540	-2829
31	0	5788	-30904	-2879
32	0	7389	-31931	-2817
33	0	9228	-32599	-2646
34	0	7905	-26076	-1961
35	0	8803	-27747	-1810
36	0	7681	-28572	-2110
37	0	9479	-31949	-2600
38	0	9255	-42625	-217
39	0	9276	-41367	-507
40	0	9384	-39988	-1038
41	0	8087	-39381	-1308
42	0	8813	-38048	-1618
43	0	7384	-36969	-2036
44	0	7804	-35356	-2547
45	0	6176	-35682	-2586
46	0	3969	-32020	-2970
47	0	875	-33863	-2488
48	1	783	-35438	-2406
49	0	-525	-31595	-2394
50	0	-1919	-20931	-4221
51	0	7038	-33653	-2896
52	0	2904	-33254	-2821
53	0	4908	-33299	-2985
54	0	6398	-22947	-2364
55	0	3556	-26326	-2936
56	0	3848	-24514	-2943
57	0	4975	-24851	-2563
58	0	6883	-27924	-2208
59	0	3656	-28795	-3227
60	1	3423	-30639	-3092
61	0	2523	-29342	-3168
62	0	2643	-26522	-3278
63	0	691	-27340	-3147
64	0	-1428	-30182	-2520
65	0	4452	-23458	-2890
66	0	2082	-19157	-3896
67	0	-124	-20431	-4043
68	0	1537	-21099	-3796
69	0	-216	-25052	-3613
70	0	255	-23305	-3824
71	0	-2761	-23778	-3944
72	0	-5263	-24850	-3791
73	0	-6124	-22225	-4047
74	0	-4754	-23084	-4118
75	0	-4549	-21152	-4297
76	0	-3351	-22099	-4274
77	0	-3315	-20353	-4355
78	0	-2055	-24625	-3774
79	0	-2150	-26633	-3132
80	0	-2296	-28452	-2737
81	0	-6332	-26718	-3555
82	0	-4832	-26154	-3542
83	0	-9794	-29252	-2975
84	0	-11155	-27504	-3245
85	0	-9680	-28322	-3135
86	0	-9934	-27166	-3383
87	0	-8480	-26512	-3558
88	0	-9085	-25282	-3723
89	0	-11714	-21879	-4478
90	0	-10256	-22691	-4098
91	0	-10485	-23881	-3914
92	0	-12086	-25054	-3749
93	0	-13684	-24868	-3874
94	0	-23913	-18206	-4561
95	0	-23170	-19902	-4313
96	0	-22750	-21622	-4152
97	0	-22255	-24116	-4299
98	0	-15591	-25301	-3621
99	0	-14704	-24389	-3974
100	0	-15794	-23845	-4071
101	0	-17261	-24697	-3932
102	0	-18465	-23822	-4263
103	0	-20371	-24074	-4249
104	0	-19622	-22449	-4249
105	0	-21416	-21153	-4321
106	0	-18693	-19641	-4576
107	0	-17627	-20794	-4532
108	0	-15509	-22093	-4407
109	0	-13932	-21019	-4796
110	0	-12548	-19740	-4991
111	0	-10120	-20535	-4631
112	0	-8178	-20620	-4473
113	0	-8422	-19440	-4697
114	0	-5155	-18456	-4584
115	0	-6476	-16664	-4781
116	0	-7688	-17661	-4759
117	0	-4977	-16482	-4744
118	0	-3545	-16406	-4721
119	0	-2226	-17652	-4549
120	0	-1242	-19181	-4280
121	0	5103	-19559	-3311
122	0	4226	-20706	-3261
123	0	3863	-18569	-3673
124	0	1892	-17305	-4161
125	0	617	-16915	-4261
126	0	-1048	-16998	-4434
127	0	-1390	-15340	-4611
128	0	-1331	-13798	-4717
129	0	-203	-14319	-4543
130	1	43	-12888	-4499
131	0	1052	-13443	-4383
132	0	2352	-14074	-4255
133	0	4261	-16127	-4013
134	0	5474	-16880	-3769
135	0	6177	-17695	-3538
136	0	6701	-18927	-3256
137	0	8321	-18120	-3122
138	0	9804	-17521	-2874
139	0	9563	-14643	-3156
140	0	7583	-15660	-3498
141	0	6312	-14653	-3736
142	0	6021	-11664	-3869
143	0	6130	-7037	-3730
144	0	7461	-6553	-3475
145	0	6056	-8618	-3737
146	0	5188	-10771	-4036
147	0	3698	-11993	-4187
148	0	1574	-10150	-4375
149	0	-327	-10859	-4572
150	0	-2347	-9530	-5000
151	0	-1001	-8830	-4908
152	0	382	-8404	-4733
153	0	1717	-8466	-4577
154	0	3006	-9211	-4330
155	0	4436	-8495	-4087
156	0	3891	-6853	-4262
157	0	3450	-5082	-4389
158	0	2006	-4205	-4570
159	0	1598	-2568	-4660
160	0	1946	1444	-4627
161	0	2015	3072	-4644
162	0	-13815	-24566	-3953
163	0	-10651	-22553	-4161
164	0	-8882	-20806	-4452
165	0	-5609	-20945	-4285
166	0	-5636	-22816	-4022
167	0	-2497	-23328	-4030
168	0	-218	-19858	-4094
169	0	2570	-19019	-3823
170	0	632	-15669	-4329
171	0	-1660	-13717	-4773
