ClassID	Division	PosX	PosY	PosZ
1	0	104	4570	2833
2	0	42	3594	2785
3	0	-1883	5155	2753
4	0	-2839	5266	2735
5	0	-3868	5132	2779
6	0	-3375	4237	2743
7	0	-2502	3852	2753
8	0	-3562	3301	2786
9	0	-2628	2928	2754
10	0	3070	5824	2737
11	0	2119	5317	2753
12	0	2809	4834	2731
13	0	3282	4143	2726
14	0	2377	3732	2742
15	0	1669	4334	2753
16	0	1513	3461	2763
17	0	1287	2570	2736
18	0	1253	1691	2733
19	0	-333	1202	2559
20	0	203	2224	2737
21	0	499	3138	2763
22	0	707	3967	2753
23	0	-1598	4152	2753
24	0	-1715	3290	2742
25	0	-1793	2293	2748
26	0	-701	2315	2733
27	0	-571	3223	2753
28	0	-493	3988	2753
100	100	2	3230	2777
