ClassID	Division	PosX	PosY	PosZ
1	0	-7889	3216	-3652
2	0	-9440	3293	-3322
3	0	-8130	4662	-3449
4	0	-8156	6752	-3570
5	0	-8040	8928	-3664
6	0	-6648	5467	-3594
7	0	-6345	4103	-3606
8	0	-6561	9411	-4069
9	0	-4030	12194	-5502
10	0	-3869	13991	-5904
11	0	-10918	4455	-2632
12	0	-11321	6065	-2651
13	0	-2054	3632	-5473
14	0	-687	-17818	-5578
15	0	-1392	-16156	-5007
16	0	-1860	-13824	-4368
17	0	-514	-12416	-4389
18	0	796	-11178	-4311
19	0	3966	-9966	-3207
20	0	8172	-9668	-3145
21	0	5608	-9515	-3178
22	0	-1680	-15104	-4559
23	0	2889	-10130	-3572
24	0	-1008	-7031	-3216
25	0	-2820	-10352	-3193
26	0	-3023	-12174	-2924
27	0	-3513	-13754	-2619
28	0	-4872	-14121	-2387
29	0	-8231	-14275	-1806
30	0	-11108	-15663	-1795
31	0	-9998	-16062	-1784
32	0	-9031	-16656	-1795
33	0	-7926	-16372	-1765
34	0	-9311	-14094	-1800
35	0	3876	-1667	-3147
36	0	1950	-3573	-3094
37	0	-836	-3977	-2784
38	0	4797	-855	-3215
39	0	4299	-1989	-3116
40	0	2774	-2225	-3120
41	0	1675	-3439	-3101
42	0	192	-3545	-2876
43	0	-7324	3872	-3585
44	0	-7498	5414	-3564
45	0	-7668	7251	-3591
