ClassID	Division	PosX	PosY	PosZ
1	0	1365	12852	-2387
2	0	422	10186	-1120
3	0	3152	10428	-1819
4	0	3422	12924	-2270
5	0	5818	12561	-1907
6	0	7969	12750	-1560
7	0	9394	13214	-1244
8	0	10954	13103	-1220
9	0	9885	14896	-1257
10	0	1481	16013	-1426
11	0	-738	16274	-1353
12	0	-2397	16524	-1419
13	0	-4	14215	-2325
14	0	-3571	14343	-1799
15	0	-4733	16168	-1488
16	0	-4708	13423	-1496
17	0	-4821	11549	-1303
18	0	-4073	5267	-253
19	0	-6643	7195	-122
20	0	-5239	7366	-148
21	0	-4581	8908	-422
22	0	-908	9769	-883
23	0	-254	7928	-913
24	0	2628	5288	-527
25	0	2421	7635	-946
26	0	5109	7707	-1053
27	0	7737	7410	-910
28	0	7541	4882	-691
29	0	7518	1215	-226
30	0	5132	1317	-222
31	0	-2478	-4839	-610
32	0	-5533	-343	-222
33	0	-7863	-820	-226
34	0	-7510	-2572	-530
35	0	-7554	-3618	-692
36	0	-7617	-5066	-784
37	0	-7572	-6761	-977
38	0	-5884	-6772	-1002
39	0	-4353	-6973	-1053
40	0	-2508	-6961	-985
41	0	-840	-6957	-945
42	0	-9542	-12973	-1252
43	0	-9589	-14098	-1271
44	0	-10231	-12396	-1232
45	0	-8282	-11773	-1444
46	0	-5658	-11636	-1891
47	0	-2922	-9616	-1833
48	0	-3146	-11926	-2271
49	0	-947	-11715	-2381
50	0	155	-13389	-2338
51	0	2062	-13335	-2246
52	0	823	-15286	-1358
53	0	-984	-14989	-1421
54	0	4995	-15262	-1474
55	0	4877	-12433	-1509
56	0	4816	-8311	-538
57	0	1289	-7900	-896
58	0	4252	-4209	-265
59	0	6091	-5901	-131
60	0	2815	946	-243
61	0	2300	2997	-248
62	0	396	3035	-248
63	0	-1776	2691	-255
64	0	-1987	686	-242
65	0	-1778	-1249	-242
66	0	-231	-1523	-242
67	0	1155	-1537	-242
68	0	2535	-1034	-245
