ClassID	Division	PosX	PosY	PosZ
1	0	-4401	-97530	-4236
2	0	-4330	-96678	-3917
3	0	-4028	-95715	-3692
4	0	-4093	-94610	-3412
5	0	-2828	-95114	-3441
6	0	-3613	-93791	-3243
7	0	-2666	-94349	-3258
8	0	-1702	-94869	-3227
9	0	-1204	-94327	-3103
10	0	-2370	-93478	-3160
11	0	-3557	-93022	-3130
12	0	-4431	-93337	-3143
13	0	-2987	-92441	-3066
14	0	-1817	-92628	-3074
15	0	-1006	-93440	-3020
16	0	426	-92812	-2912
17	0	-607	-92346	-2945
18	0	1329	-92299	-2917
19	0	197	-91777	-2873
20	0	2114	-93242	-2784
21	0	3480	-93622	-2905
22	0	-5840	-88047	-2447
23	0	-5162	-88817	-2569
24	0	-3859	-89974	-2837
25	0	-5219	-89840	-2728
26	0	-4365	-91949	-2984
27	0	-4424	-90938	-2923
28	0	-2976	-91197	-2967
29	0	-1493	-91348	-2937
30	0	7326	-94458	-2954
31	0	6813	-93368	-2852
32	0	5444	-95212	-2954
33	0	6103	-94265	-2918
34	0	4401	-94766	-2926
35	0	5087	-93548	-2923
36	0	5900	-92773	-2842
37	0	4807	-92223	-2938
38	0	3083	-92451	-2885
39	1	-13557	-85475	-1425
40	1	-12338	-85590	-1408
41	1	-12607	-86375	-1406
42	1	-11542	-86562	-1382
43	1	-11284	-85659	-1354
44	1	-10566	-86446	-1388
45	1	-10021	-85631	-1400
46	1	-8977	-85684	-1532
47	1	-8083	-86025	-1741
48	1	-14885	-88786	-1412
49	1	-13610	-88876	-1403
50	1	-12487	-88976	-1392
51	1	-11181	-88877	-1402
52	1	-11416	-88093	-1363
53	1	-12776	-87856	-1393
54	1	-14004	-87687	-1407
55	1	-15244	-87638	-1413
56	1	-14968	-86613	-1420
57	1	-14593	-85597	-1432
58	1	-13688	-86472	-1416
59	2	66415	-60738	-19
60	2	66645	-61803	-54
61	2	65473	-61484	-48
62	2	65438	-62587	-51
63	2	66409	-62844	-71
64	2	65853	-63809	-26
65	2	65984	-55035	1550
66	2	65536	-54358	1566
67	2	65115	-53563	1538
68	2	65751	-59805	216
69	2	65259	-59090	487
70	2	64834	-58450	664
71	2	64078	-57870	929
72	2	63393	-57430	1164
73	2	63099	-56456	1316
74	2	63297	-55688	1472
75	2	63917	-55242	1519
76	2	64835	-54965	1565
77	2	64279	-54240	1586
78	2	71850	-65660	-259
79	2	70703	-65476	-300
80	2	71334	-64567	-262
81	2	72123	-63885	-170
82	2	69516	-65495	-307
83	2	68511	-65576	-231
84	2	67331	-65266	-148
85	2	68887	-64587	-219
86	2	70067	-64313	-255
87	2	69422	-63446	-218
88	2	70505	-63434	-187
89	2	71594	-63576	-156
90	2	71224	-62500	-172
91	2	69844	-62397	-212
92	2	70267	-61510	-143
93	2	68817	-61161	-83
94	2	68808	-62188	-141
95	2	67663	-61727	-59
96	3	75697	-51535	2489
97	3	75864	-52351	2606
98	3	74693	-51397	2590
99	3	74778	-52588	2695
100	3	73915	-51880	2673
101	3	73120	-50965	2458
102	3	76117	-50367	2468
103	3	76681	-51480	2478
104	3	77194	-50028	2474
105	3	77549	-51135	2490
106	3	77941	-52343	2561
107	3	77053	-52324	2481
108	3	76366	-53091	2634
109	3	77459	-53369	2592
110	3	76503	-53970	2676
111	3	66089	-52943	1556
112	3	66714	-53812	1555
113	3	67069	-52518	1550
114	3	67689	-53363	1550
115	3	68421	-52319	1551
116	3	68824	-53196	1561
117	3	69169	-54334	1489
118	3	68012	-54399	1524
119	3	67148	-54931	1532
120	3	69322	-49005	1917
121	3	70188	-48139	1985
122	3	71268	-48142	2138
123	3	72179	-48830	2240
124	3	72670	-49952	2395
125	4	56793	25616	-1386
126	4	57737	26244	-1387
127	4	56247	26316	-1385
128	4	57102	26936	-1395
129	4	56483	27750	-1381
130	4	55613	27065	-1363
131	4	55186	27993	-1377
132	4	55953	28638	-1389
133	4	57111	29191	-1392
134	4	57494	28299	-1395
135	4	58100	27412	-1396
136	4	58976	27993	-1398
137	4	58455	28733	-1394
138	4	57946	29528	-1384
139	4	58341	16990	-449
140	4	57996	17986	-457
141	4	57215	16997	-435
142	4	56962	17954	-446
143	4	55697	18234	-450
144	4	56344	19132	-460
145	4	57477	18880	-461
146	4	56978	19820	-468
147	4	57933	19790	-461
148	4	56907	20797	-485
149	4	57936	20948	-481
150	4	57914	22121	-635
151	5	57406	30528	-1390
152	5	58395	30922	-1387
153	5	58970	30016	-1384
154	5	59319	29140	-1393
155	5	49222	31062	-3074
156	5	49797	30167	-3056
157	5	50767	30312	-2971
158	5	50384	29270	-3002
159	5	49292	28737	-3086
160	5	48846	29522	-3101
161	5	48373	30486	-3130
162	5	48048	31361	-3151
163	5	46491	31554	-3258
164	5	47126	30732	-3220
165	5	47596	29947	-3189
166	5	48092	29000	-3147
167	5	48475	28402	-3118
168	5	47317	28364	-3184
169	5	46867	29180	-3217
170	5	46420	30072	-3245
171	5	45824	29155	-3265
172	5	46390	28252	-3213
173	5	45440	28287	-3259
174	5	60006	30009	-1394
175	5	59515	30946	-1469
176	5	58890	31767	-1419
177	5	59708	31989	-1393
178	5	57962	32239	-1376
