ClassID	Division	PosX	PosY	PosZ
1	0	1431	-38767	0
2	0	2741	-37228	5
3	0	741	-19892	46
4	0	-3202	-15203	332
5	0	-1751	-15073	343
6	0	-452	-14015	412
7	0	2885	-16838	280
8	0	2131	-15026	392
9	0	1107	-14077	422
10	0	-459	-12575	525
11	0	-2145	-11214	627
12	0	-3662	-10098	691
13	0	-5218	-8692	821
14	0	-6818	-7428	906
15	0	-4869	-4744	1126
16	0	-3317	-8078	878
17	0	-5131	-6931	956
18	0	-6636	-5820	1032
19	0	-8436	-4422	1160
20	0	-12796	-1162	1434
21	0	-9797	-2376	1331
22	0	-11230	125	1555
23	0	-10086	-612	1486
24	0	-10768	1585	1665
25	0	-9478	1707	1667
26	0	-5916	3898	2127
27	0	-9752	3206	1787
28	0	-7803	4114	2207
29	0	-9549	4644	1915
30	0	-7309	6288	2015
31	0	-6748	8802	2173
32	0	-7359	10261	2287
33	0	-6070	10522	2289
34	0	-4716	10324	2254
35	0	-5623	11413	2298
36	0	-7299	11441	2352
37	0	-8328	12495	2420
38	0	-6848	12694	2420
39	0	21314	-19553	113
40	0	20574	-18635	145
41	0	18421	-17215	293
42	0	15756	-14000	401
43	0	11645	-15929	282
44	0	3195	-13517	473
45	0	4333	-14566	439
46	0	5910	-12832	522
47	0	6852	-14278	431
48	0	5993	-15378	397
49	0	8767	-14921	366
50	0	7310	-15806	361
51	0	9983	-16082	304
52	0	8378	-16926	273
53	0	10304	-17450	219
54	0	9374	-17996	204
55	0	10942	-18312	165
56	0	9929	-19248	147
57	0	11332	-19297	136
58	0	10742	-20405	107
59	0	12200	-19903	107
60	0	11672	-21539	63
61	0	12804	-24077	29
62	0	11511	-26011	20
63	0	12674	-25608	32
64	0	12495	-27963	9
65	0	14117	-29022	13
66	0	14352	-27225	8
67	0	14944	-25880	29
68	0	15782	-27069	9
69	0	15961	-28690	1
70	0	18314	-27264	-34
71	0	17505	-25812	0
72	0	19138	-25566	146
73	0	20163	-23978	0
74	0	21715	-21119	58
75	0	20749	-22214	30
76	0	22037	-22196	31
77	0	24475	-20836	1057
78	0	24427	-22162	707
79	0	23419	-21809	225
80	0	23673	-23259	135
81	0	21922	-23444	25
82	0	21233	-25075	3
83	0	21496	-27844	77
84	0	20295	-28672	99
85	0	19146	-29359	83
86	0	18007	-30151	100
87	0	17147	-31183	52
88	0	15308	-31630	61
89	0	13178	-31499	5
90	0	9660	-29256	13
91	0	10792	-30833	37
92	0	12756	-29809	23
93	0	11456	-28862	18
94	0	10280	-27789	16
95	0	8121	-25733	-26
96	0	10354	-25870	-5
97	0	11283	-24333	15
98	0	9196	-23476	101
99	0	9733	-22263	348
100	0	8085	-22186	255
101	0	8085	-20981	303
102	0	6233	-20981	302
103	0	6750	-19511	288
104	0	5172	-19651	191
105	0	5091	-17130	283
106	0	4604	-18428	190
107	0	2394	-17382	241
108	0	782	-15888	336
109	0	-2345	-13262	482
110	0	-4164	-11817	594
111	0	-7274	-9378	753
112	0	-9058	-8439	823
113	0	-6099	-11697	570
114	0	-5599	-13030	517
115	0	-4742	-13405	487
116	0	-4362	-14543	378
117	0	-4019	-15599	305
118	0	-1781	-16549	274
119	0	-3530	-17065	231
120	0	-351	-16760	282
121	0	-1542	-17768	203
122	0	1048	-18264	189
123	0	-689	-18957	130
124	0	3130	-19381	120
125	0	1950	-20194	67
126	0	3359	-21134	43
127	0	3923	-22361	39
128	0	5140	-23575	-3
129	0	5357	-25169	-54
130	0	6536	-25892	-38
131	0	7392	-27466	-40
132	0	5316	-27020	-67
133	0	5968	-28343	-73
134	0	8225	-28783	0
135	0	8632	-30181	23
136	0	6949	-30073	24
137	0	5505	-29708	-123
138	0	8229	-31725	49
139	0	11659	-32523	14
140	0	9725	-32665	37
141	0	11103	-34070	2
142	0	10310	-36217	23
143	0	9727	-34605	6
144	0	7941	-34341	11
145	0	8975	-35634	3
146	0	7089	-35705	4
147	0	5536	-36413	0
148	0	4015	-40982	0
149	0	4583	-39879	0
150	0	2457	-39978	0
151	0	3075	-38462	3
152	0	1603	-37383	0
153	0	4020	-37497	0
154	0	2802	-36080	31
155	0	1372	-35950	0
156	0	3882	-35644	0
157	0	1677	-34976	6
158	0	3274	-34489	0
159	0	2427	-33450	6
160	0	4783	-33840	50
161	0	2901	-32187	27
162	0	4654	-32264	119
163	0	4566	-31261	66
164	0	2975	-31213	5
165	0	3621	-30226	-25
166	0	3114	-28615	-8
167	0	941	-25888	-1
168	0	2460	-26882	55
169	0	1882	-24872	154
170	0	1699	-23670	209
171	0	478	-24807	1
172	0	260	-22723	117
173	0	-683	-23998	-2
174	0	-1231	-22344	52
175	0	-2411	-22322	61
176	0	-2015	-21152	219
177	0	-3094	-20421	144
