ClassID	Division	PosX	PosY	PosZ
1	1	2388	-2824	-2254
2	1	-9816	6650	-2367
3	1	-11264	8380	-2393
4	1	-7460	11845	-2398
5	1	-10475	9898	-2401
6	0	13240	11767	-1577
7	0	13334	10677	-1632
8	0	13778	10068	-1664
9	0	14069	9215	-1791
10	0	14301	8438	-1914
11	0	14422	7531	-2066
12	0	14551	6479	-2229
13	0	14350	5379	-2370
14	0	14666	4345	-2513
15	0	14624	3028	-2584
16	0	13653	1992	-2579
17	0	12544	1172	-2579
18	0	11316	706	-2544
19	0	9955	486	-2479
20	0	8526	-252	-2370
21	0	6876	-660	-2255
22	0	5689	-1171	-2198
23	0	4472	-1737	-2189
24	0	-11660	9948	-2413
25	0	-12333	18239	-2267
26	0	-12277	19372	-2396
27	0	-11474	18325	-2311
28	0	-10202	18542	-2377
29	0	-9163	18026	-2390
30	0	-8784	16935	-2412
31	0	-8273	15843	-2435
32	0	-7285	13114	-2408
33	0	-8133	13821	-2416
34	0	-7460	14623	-2432
35	0	-6328	13902	-2414
36	0	-5017	13324	-2402
37	0	-6345	12688	-2400
38	0	-7548	12433	-2404
39	0	-6826	11595	-2395
40	0	-7083	10375	-2398
41	0	-7817	11207	-2394
42	0	-8676	11877	-2401
43	0	-8943	12928	-2410
44	0	-9719	12163	-2405
45	0	-10533	11450	-2410
46	0	-8867	10880	-2396
47	0	-8471	10046	-2388
48	0	-9625	7942	-2377
49	0	-9700	10236	-2399
50	0	-10261	9225	-2393
51	0	-10963	10476	-2411
52	0	-12577	9621	-2420
53	0	-11503	9058	-2402
54	0	-10683	8001	-2384
55	0	-11691	7752	-2338
56	0	-10762	6742	-2369
57	0	-10990	5485	-2343
58	0	-9075	7012	-2371
59	0	-9825	5891	-2356
60	0	-8204	5999	-2366
61	0	-9134	4845	-2352
62	0	-10287	4467	-2342
63	0	-8225	3656	-2354
64	0	-6991	2732	-2375
65	0	-5873	1934	-2368
66	0	-4688	1175	-2438
67	0	-3210	345	-2433
68	0	-1829	-105	-2381
69	0	-379	-514	-2344
70	0	982	-1246	-2279
71	0	3360	-2225	-2184
72	0	1842	-1961	-2248
73	0	2104	-4083	-2290
74	0	1992	-6668	-2439
75	0	1945	-8302	-2431
76	0	2072	-9922	-2400
77	0	2747	-11003	-2392
78	0	872	-11721	-2165
79	0	-463	-12432	-1935
80	0	-1369	-13517	-1755
81	0	-2304	-14194	-1637
82	0	-3405	-15048	-1619
83	0	-4878	-15158	-1702
