ClassID	Division	PosX	PosY	PosZ
1	7	24379	-165	-646
2	6	36304	-11670	-2039
3	4	33065	1308	-1583
4	4	32677	543	-1695
5	4	33302	712	-1803
6	4	33430	134	-1948
7	4	32518	-192	-1846
8	4	32830	-673	-2004
9	4	33469	2099	-1463
10	3	33856	2814	-1256
11	2	34150	2443	-1571
12	3	33696	1662	-1670
13	3	34076	1132	-1943
14	3	34396	1975	-1872
15	2	34794	1470	-2194
16	3	34143	471	-2077
17	3	33608	-387	-2085
18	3	34837	448	-2266
19	2	34243	-309	-2191
20	3	35422	624	-2413
21	3	35007	-302	-2344
22	3	35949	164	-2530
23	3	35569	-694	-2490
24	2	34623	-1157	-2308
25	3	33614	-1057	-2185
26	3	32614	-1301	-2120
27	3	33257	-1714	-2277
28	3	32377	-1949	-2261
29	2	32424	-2633	-2435
30	3	33977	-1709	-2327
31	3	33395	-2490	-2420
32	2	34292	-2576	-2389
33	3	34946	-1889	-2402
34	2	35870	-1350	-2561
35	2	36547	-547	-2663
36	2	34503	-3040	-2570
37	2	33065	-3183	-2595
38	2	33812	-3449	-2686
39	0	33081	-3844	-2745
40	1	34198	-3966	-2801
41	1	33614	-4363	-2828
42	1	33939	-6449	-2900
43	1	33635	-5762	-2940
44	1	34097	-4972	-2917
45	1	34472	-5785	-2943
46	1	35017	-5026	-2861
47	1	34850	-4376	-2874
48	1	34754	-3520	-2730
49	1	35181	-2556	-2504
50	1	36772	-1463	-2681
51	1	36058	-2094	-2596
52	1	35521	-3857	-2767
53	1	36041	-2962	-2622
54	1	36784	-2488	-2621
55	1	36677	-3565	-2598
56	1	36195	-4165	-2672
57	1	35821	-4973	-2746
58	2	35399	-5656	-2810
59	2	35063	-6416	-2825
60	2	34449	-7000	-2824
61	1	35493	-7151	-2573
62	1	35895	-6265	-2657
63	1	36365	-5470	-2648
64	1	36842	-4679	-2573
65	1	37357	-4043	-2488
66	0	37581	-4821	-2515
67	0	37166	-5551	-2499
68	0	36692	-6227	-2499
69	0	36292	-6974	-2410
70	0	37055	-7184	-2248
71	0	37470	-6467	-2320
72	0	38071	-5557	-2454
73	0	39054	-5762	-2616
74	0	38320	-6569	-2317
75	0	38420	-7631	-2122
76	0	37824	-7178	-2203
77	0	38863	-7056	-2248
78	0	38804	-8220	-1870
79	0	38142	-8233	-2070
