ClassID	Division	PosX	PosY	PosZ
1	0	14031	14994	399
2	0	12320	15034	399
3	0	11761	14028	399
4	0	12690	13970	399
5	0	13850	14028	399
6	0	15112	14059	399
7	0	14936	15972	399
8	0	13952	15964	399
9	0	12942	16003	399
10	0	11954	16024	399
11	0	4089	14044	399
12	0	-2075	1256	0
13	0	1788	948	0
14	0	2180	2684	0
15	0	1150	2478	0
16	0	-993	2451	0
17	0	-1940	2500	0
18	0	-1387	138	29
19	0	-1518	-765	0
20	0	1537	-576	0
21	0	1903	-1835	0
22	0	845	-1818	0
23	0	-739	-1823	0
24	0	-2075	-1816	0
25	0	-1264	-12446	0
26	0	50	-12195	0
27	0	-104	-13280	0
28	0	-1618	-13552	0
29	0	-1518	-14877	0
30	0	-68	-14447	0
31	0	1061	-14193	0
32	0	1180	-13114	0
33	0	1162	-12093	0
34	0	-5862	-7063	0
35	0	-7699	-7217	0
36	0	-7888	-8259	0
37	0	-6443	-8158	0
38	0	-5379	-8119	0
39	0	-5618	-5911	0
40	0	-7001	-6004	0
41	0	-8352	-6063	0
42	0	-9536	-6265	0
43	0	-9658	-7231	0
44	0	-9806	-8237	0
45	0	-7911	-13491	-60
46	0	-9703	-13830	-79
47	0	-9694	-15182	-60
48	0	-7658	-15595	-59
49	0	-6831	-14906	-40
50	0	-6874	-13715	-60
51	0	-6721	-12610	-20
52	0	-7713	-11617	-59
53	0	-9382	-11753	-60
54	0	-10695	-12199	-59
55	0	-10807	-13312	-60
56	0	-10836	-14395	-60
57	0	-10853	-15467	-60
58	0	-19350	-18865	0
59	0	-21021	-20049	0
60	0	-19483	-21345	0
61	0	-20957	-22108	0
62	0	-20048	-23130	0
63	0	-21812	-23232	0
64	0	-22078	-21128	0
65	0	-21989	-20022	0
66	0	-22299	-18908	0
67	0	-22236	-18086	0
68	0	-20187	-17170	0
69	0	-21684	-17212	0
70	0	-21572	-16215	0
71	0	-20368	-16272	0
72	0	-19338	-10620	0
73	0	-20191	-10676	0
74	0	-21163	-10672	0
75	0	-22309	-10698	0
76	0	-22322	-9134	0
77	0	-21253	-9147	0
78	0	-20161	-9127	0
79	0	-19055	-9109	0
80	0	-19252	6062	0
81	0	-19375	5071	0
82	0	-19345	4012	0
83	0	-19332	2795	0
84	0	-20973	2838	0
85	0	-20971	4164	0
86	0	-20994	5005	0
87	0	-21054	6017	0
88	0	-18402	12769	0
89	0	-21713	12545	0
90	0	-20884	11759	0
91	0	-19217	11954	0
92	0	-20853	13533	0
93	0	-19312	13514	0
94	0	-19210	-1139	0
95	0	-21212	-1140	0
96	0	-21293	-2187	0
97	0	-19281	-1946	0
98	0	-19083	-2840	0
99	0	-21112	-2912	0
100	0	-21170	-3850	0
101	0	-19243	-3888	0
102	0	-21452	-4857	0
103	0	-12911	-19994	0
104	0	-9898	-19986	-12
105	0	-4296	-13583	0
106	0	41	-10042	0
107	0	0	-7178	0
108	0	79	5156	0
109	0	-1891	8997	0
110	0	-94	8937	0
111	0	1469	8913	0
112	0	94	14691	399
113	0	4009	16118	399
114	0	4885	13804	399
115	0	4917	16183	399
116	0	5884	16250	399
117	0	5903	13995	399
118	0	6891	14978	399
119	0	17331	15039	399
120	0	731	9824	0
