ClassID	Division	PosX	PosY	PosZ
1	0	-8476	-14361	50
2	0	-8358	-11978	43
3	0	-8347	-13494	43
4	0	-9079	-13004	36
5	0	-9276	-11246	50
6	0	-9447	-12040	50
7	0	-10014	-12896	50
8	0	-10725	-11815	50
9	0	-11415	-12687	50
10	0	-5467	-7160	50
11	0	-9340	-9058	50
12	0	-8112	-9937	36
13	0	1314	-32186	63
14	0	310	-32505	90
15	0	-1088	-32380	63
16	0	323	-31083	90
17	0	-133	-29993	90
18	0	180	-28821	90
19	0	-157	-27856	90
20	0	-159	-26477	90
21	0	569	-25696	66
22	0	-162	-25173	90
23	0	626	-24152	60
24	0	584	-22036	66
25	0	-160	-23758	90
26	0	-194	-22627	90
27	0	-175	-21440	90
28	0	-383	-20220	90
29	0	114	-19362	90
30	0	179	-18133	90
31	0	-280	-17160	90
32	0	-1984	-7275	60
33	0	-592	-8095	66
34	0	-1558	-8699	50
35	0	-491	-8959	78
36	0	-300	-9936	90
37	0	-156	-11608	101
38	0	-780	-10724	50
39	0	-1710	-10689	36
40	0	-2245	-12818	24
41	0	-505	-12558	78
42	0	-1296	-12829	36
43	0	-262	-13633	90
44	0	-561	-14768	66
45	0	-6	-15857	90
46	0	-1416	-14731	36
47	0	-1323	-16055	50
48	0	-3957	-15660	50
49	0	-2993	-15531	50
50	0	-3078	-13800	-27
51	0	-2626	-10707	-34
52	0	-2913	-12008	-27
53	0	-3362	-11458	-27
54	0	-3845	-12699	-34
55	0	-4346	-14766	36
56	0	-4756	-13857	50
57	0	-6451	-15168	50
58	0	-5588	-14602	36
59	0	-7484	-15042	50
60	0	-5056	-5988	237
61	0	-3782	-7197	60
62	0	-3083	-6442	269
63	0	-4499	-5064	333
64	0	-3865	-5952	333
65	0	-4660	-6848	60
66	0	-2927	-7208	60
67	0	-2585	-8947	-27
68	0	-3460	-8579	-27
69	0	-3199	-9966	-27
70	0	-3978	-10466	-1
71	0	-6368	-6484	60
72	0	-4778	-8061	50
73	0	-4446	-8750	50
74	0	-5304	-9937	50
75	0	-5942	-8220	36
76	0	-7327	-7772	50
77	0	-6124	-9377	36
78	0	-5037	-11812	50
79	0	-7127	-9778	50
80	0	-6813	-11330	36
81	0	-6053	-12232	50
82	0	-7137	-12249	36
83	0	-6697	-13450	50
84	0	-6867	-14308	43
85	1	-2587	1682	485
86	1	-5335	1787	485
87	1	-2828	2264	569
88	1	-1885	1778	484
89	1	-905	1743	480
90	1	-329	2532	664
91	1	-18	1809	480
92	1	716	1824	490
93	1	-42	-2976	490
94	1	521	-2130	480
95	1	4411	202	489
96	1	5084	597	485
97	1	4876	2006	485
98	1	3585	1144	485
99	1	3172	463	485
100	1	4317	977	489
101	1	4898	-537	485
102	1	3679	-363	489
103	1	4443	-2489	487
104	1	4481	-1267	485
105	1	3696	-1320	495
106	1	3694	-2158	485
107	1	5049	-1612	485
108	1	4723	-3068	485
109	1	3591	-2739	489
110	1	1810	-4295	485
111	1	2632	-4131	485
112	1	2646	-2632	480
113	1	2692	-1935	480
114	1	1020	-689	496
115	1	2420	-1087	480
116	1	2802	-36	480
117	1	1856	-298	480
118	1	219	1	480
119	1	977	629	475
120	1	-245	818	425
121	1	-1295	-768	493
122	1	-1156	263	480
123	1	-3004	543	476
124	1	-2061	-319	490
125	1	-3868	-551	489
126	1	-4938	-1470	485
127	1	-4081	-2049	489
128	1	-5484	-2153	485
129	1	-4784	-3067	485
130	1	-4002	-2893	485
131	1	-2778	-3121	473
132	1	-2662	-3899	485
133	1	-1725	-4121	485
134	1	-497	-1984	480
135	1	-557	-1045	491
136	1	-1290	-1647	480
137	1	-2284	-1245	473
138	1	-2956	-464	476
139	1	-3228	-1461	486
140	1	-3157	-2387	471
141	1	-1986	-2273	477
142	1	250	-1211	492
143	1	1112	-1546	483
144	1	1641	-1971	480
145	1	1394	-2649	480
146	1	920	-3406	481
147	1	-1205	-2577	480
148	1	-1143	-3207	480
149	1	80	-4405	485
150	1	-374	-3877	485
151	1	-1035	-5225	478
152	1	-1120	-4506	485
153	1	786	-4303	485
154	1	471	-5980	497
155	1	1661	-5670	485
156	1	1392	-5049	485
157	1	4	-5183	485
158	1	-1683	-5391	485
159	1	-1858	-6223	333
160	1	-510	-5909	497
161	1	313	-6487	338
162	2	12251	-4807	74
163	2	11638	-5711	41
164	2	11250	-6528	50
165	2	10877	-7439	41
166	2	10059	-8135	74
167	2	9642	-8878	29
168	2	3934	-6094	333
169	2	4152	-6689	166
170	2	5288	-6141	143
171	2	4282	-5294	333
172	2	2404	-8487	-27
173	2	6488	-11532	-181
174	2	6368	-14108	50
175	2	7236	-14723	36
176	2	7841	-13265	36
177	2	8044	-14216	43
178	2	8565	-12791	29
179	2	9383	-13488	50
180	2	12020	-12182	50
181	2	11158	-12940	50
182	2	9831	-12111	36
183	2	10346	-12483	29
184	2	10633	-11393	50
185	2	11106	-11602	50
186	2	9242	-11876	50
187	2	8031	-12277	36
188	2	8036	-11178	36
189	2	8726	-10382	36
190	2	9336	-11120	50
191	2	10213	-10083	50
192	2	9114	-9715	29
193	2	7481	-10631	36
194	2	7954	-9988	50
195	2	7883	-8869	50
196	2	8606	-8982	50
197	2	8029	-8090	50
198	2	7362	-7281	50
199	2	6299	-7279	50
200	2	5135	-7465	50
201	2	4132	-8823	-181
202	2	6501	-8970	-181
203	2	6594	-10594	-181
204	2	5324	-9998	-324
205	2	5681	-11377	-336
206	2	5957	-13027	-181
207	2	4949	-15263	50
208	2	4290	-14416	43
209	2	3423	-14287	36
210	2	3578	-15244	50
211	2	2639	-16179	50
212	2	2520	-14596	43
213	2	4075	-11794	-336
214	2	3870	-10839	-329
215	2	4735	-11497	-329
216	2	5063	-12946	-181
217	2	4236	-12991	-181
218	2	3399	-12869	-181
219	2	3194	-11742	-181
220	2	3454	-10512	-285
221	2	3132	-9668	-181
222	2	3253	-8956	-181
223	2	3214	-7811	50
224	2	2922	-6578	212
225	2	2625	-7256	60
226	2	1925	-6270	333
227	2	1713	-6954	60
228	2	1521	-7868	60
229	2	292	-7318	90
230	2	920	-8357	50
231	2	2484	-10468	-27
232	2	1389	-10272	36
233	2	920	-10951	50
234	2	2177	-12448	50
235	2	1551	-12973	36
236	2	710	-12214	50
237	2	463	-12948	78
238	2	1876	-14797	36
239	2	750	-14692	50
240	3	16540	1426	-9
241	3	14963	2949	36
242	3	16856	5905	135
243	3	15687	5795	135
244	3	14723	5546	135
245	3	14651	6240	135
246	3	14779	7178	135
247	3	13970	8017	135
248	3	13363	8848	135
249	3	10137	6428	84
250	3	11547	5164	114
251	3	8694	2744	204
252	3	10376	-1914	-70
253	3	9836	-1750	-70
254	3	10046	-667	-70
255	3	9479	598	-70
256	3	10600	156	-70
257	3	12238	639	35
258	3	11108	812	0
259	3	11749	1846	41
260	3	11974	2594	35
261	3	14199	3195	37
262	3	12722	3186	51
263	3	12079	3698	135
264	3	10392	3433	135
265	3	10745	2719	41
266	3	10687	1667	35
267	3	9763	1344	35
268	3	9899	2214	35
269	3	8706	1875	187
270	3	9448	3098	66
271	3	8675	3815	135
272	3	8898	4882	135
273	3	9555	5855	84
274	3	10252	6965	135
275	3	12790	7831	101
276	3	11754	7776	135
277	3	11090	6715	84
278	3	12121	6687	114
279	3	13010	6856	84
280	3	13532	5842	84
281	3	12704	5164	103
282	3	10240	4946	84
283	3	15325	4963	135
284	3	14084	5123	135
285	3	13781	4054	135
286	3	14994	4110	135
287	3	17104	4765	0
288	3	16947	2660	0
289	3	17638	3274	43
290	3	16532	3878	0
291	3	16191	2694	-9
292	3	17262	1808	0
293	3	12862	1884	35
294	3	13678	2195	35
295	3	14749	1980	40
296	3	15641	1533	35
297	3	13291	790	35
298	3	14573	797	35
299	3	15474	548	35
300	3	16097	-349	35
301	3	15673	-1336	35
302	3	14846	-662	35
303	3	14113	-165	35
304	3	12881	-236	35
305	3	11974	57	35
306	3	10979	-781	-70
307	3	12113	-1145	35
308	3	13237	-1156	35
309	3	14153	-1542	35
310	3	12830	-2261	39
311	3	13879	-2475	40
312	3	14907	-2006	35
313	3	15492	-2561	35
314	3	15353	-3491	35
315	3	14493	-3127	35
316	3	12241	-3024	35
317	3	12564	-3860	35
318	4	124	-789	480
319	5	13119	2390	37
