ClassID	Division	PosX	PosY	PosZ
1	4	5389	8483	-53
2	4	-5477	8246	-57
3	4	-5501	-5803	1089
4	4	5686	-7584	1149
5	3	5610	-3893	999
6	3	7051	-3913	1008
7	3	3432	-382	1004
8	3	3490	-1452	1000
9	3	5752	106	966
10	3	7096	10	966
11	3	5436	-1810	966
12	3	7262	-1801	966
13	3	10845	-1654	1000
14	3	9373	-1326	1000
15	3	9610	-153	1000
16	3	5755	2208	1000
17	3	7139	2208	1000
18	3	6422	-886	969
19	2	-7086	-4035	1000
20	2	-5711	-4003	1000
21	2	-10897	-30	1000
22	2	-9484	-391	1000
23	2	-9490	-1618	1000
24	2	-3255	-1492	1000
25	2	-3334	-170	1000
26	2	-6960	-1619	966
27	2	-5516	-1832	966
28	2	-7108	-124	971
29	2	-5637	-84	971
30	2	-7133	2187	999
31	2	-5721	2157	999
32	2	-6425	-880	969
33	1	-5	10456	-42
34	1	55	12212	-48
35	1	3108	9456	-43
36	1	1879	9487	-38
37	1	2358	10996	-56
38	1	3325	11908	-53
39	1	1459	11952	-53
40	1	2406	12778	-53
41	1	3208	13361	-56
42	1	1629	13379	-58
43	1	-1740	9416	-38
44	1	-3080	9450	-43
45	1	-2381	11046	-53
46	1	-1612	11879	-47
47	1	-3166	11846	-53
48	1	-2429	12776	-56
49	1	-1646	13396	-58
50	1	-3173	13377	-58
51	5	6434	-894	969
52	6	-6426	-888	969
