ClassID	Division	PosX	PosY	PosZ
1	0	-43401	16181	1392
2	0	-42285	17053	1250
3	0	-41750	18505	1208
4	0	-39783	21273	1197
5	0	-40546	19751	1199
6	0	-39342	20223	1241
7	0	-39321	18775	1243
8	0	-38314	18210	1235
9	0	-37196	18553	1203
10	0	-36171	18982	1214
11	0	-34929	19529	1203
12	0	-32651	20260	1316
13	1	23208	22095	1230
14	1	25873	-7979	1292
15	1	15921	-2250	1405
16	1	18342	4909	1230
17	1	22590	7639	1202
18	1	23874	6756	1228
19	1	23431	8829	1308
20	1	23099	11072	1277
21	1	22558	9816	1236
22	1	19409	7407	1285
23	1	18968	5974	1265
24	1	25102	17090	1278
25	1	24573	15893	1248
26	1	21594	15571	1206
27	1	23729	20788	1275
28	1	20969	21622	1270
29	1	22123	21473	1225
30	1	21789	23084	1214
31	1	25531	26857	1257
32	1	25547	25640	1231
33	1	26915	24689	1227
34	1	25405	24298	1243
35	1	26536	23434	1270
36	1	25811	22072	1347
37	1	26373	21031	1297
38	1	26673	19664	1336
39	1	26482	18420	1328
40	1	26814	17183	1248
41	1	27790	16048	1312
42	1	25039	14452	1362
43	1	27418	14351	1317
44	1	26580	13206	1206
45	1	25334	12013	1241
46	1	26507	12264	1216
47	1	27476	11400	1203
48	1	27959	6841	1234
49	1	25534	6058	1016
50	1	27016	5406	1229
51	1	19683	-7570	1213
52	1	21056	-6899	1204
53	1	22209	-6627	1230
54	1	22341	-8900	1202
55	1	24347	-8381	1203
56	1	23354	-6981	1247
57	1	26106	-6520	1201
58	1	26233	-5153	1320
59	1	27575	-3811	1566
60	1	28241	-2609	1599
61	1	27192	2033	1583
62	1	26466	3701	1348
63	1	25307	3292	1214
64	1	24023	3164	1268
65	1	23069	4465	1232
66	1	22678	3188	1278
67	1	21649	2559	1227
68	1	19356	2380	1251
69	1	19206	-2190	1232
70	1	19114	-3297	1272
71	1	17904	-2787	1268
72	1	16963	-3404	1204
73	1	16628	-1576	1215
74	1	17878	-1473	1250
75	1	17488	-121	1255
76	1	17037	1162	1208
77	1	18051	2075	1244
78	1	17668	3572	1298
79	1	16339	3528	1276
80	1	16107	7581	1261
81	1	17256	8550	1278
82	1	19578	12167	1209
83	1	20267	13153	1299
84	1	20791	14682	1341
85	1	22651	20079	1275
86	1	21670	17591	1267
87	1	20944	16698	1245
88	1	20547	17731	1226
89	1	21199	19249	1229
90	1	19960	19322	1215
91	1	16701	19562	1206
92	1	15818	18581	1306
93	1	11985	28039	1291
94	1	13375	28091	1230
95	1	14523	27185	1204
96	1	13463	27068	1214
97	1	13082	25763	1276
98	1	13258	24769	1299
99	1	12093	24498	1230
100	1	12581	22150	1210
101	1	12441	21260	1219
102	1	13137	20496	1263
103	1	13953	19615	1218
104	1	14624	18514	1289
105	1	16203	15785	1215
106	1	15551	17386	1245
107	1	14609	17269	1208
108	1	14851	16188	1263
109	1	15028	15180	1277
110	1	15370	13964	1207
111	1	15526	12873	1280
112	1	14881	11886	1302
113	1	13926	10631	1295
114	1	13638	8092	1303
115	1	14503	8006	1268
116	1	13763	7071	1231
117	1	14880	6987	1216
118	1	16114	1747	1242
119	1	15054	2824	1265
120	1	14941	4327	1258
121	1	14847	5693	1269
122	1	13788	5765	1267
123	1	13548	4443	1208
124	1	13777	3275	1233
125	1	13258	1162	1243
126	1	12580	445	1205
127	1	11968	-919	1212
128	1	13322	-2756	1200
129	1	14684	-3047	1302
130	1	15742	-3747	1447
131	1	16907	-5249	1351
132	1	18102	-4702	1201
