ClassID	Division	PosX	PosY	PosZ
1	0	-1245	-5851	-1707
2	0	-1208	-6745	-1700
3	0	-309	-5783	-1707
4	0	-318	-6706	-1702
5	0	588	-5895	-1707
6	0	612	-6818	-1707
7	0	1417	-6790	-1707
8	0	1518	-5901	-1707
9	0	2379	-5798	-1707
10	0	2336	-6767	-1707
11	0	3033	-6302	-1707
12	0	-2232	-5757	-1707
13	0	-2451	-6690	-1712
14	0	5386	-5528	-1706
15	1	4929	-6279	-1706
16	1	6058	-5265	-1704
17	1	6109	-4269	-1704
18	1	6942	-5565	-1703
19	1	7224	-6335	-1704
20	1	8238	-6323	-1704
21	1	6016	-7418	-1704
22	1	6891	-7073	-1704
23	1	6177	-8407	-1704
24	1	5300	-7042	-1704
25	1	9619	-6365	-1442
26	1	10309	-6363	-1197
27	1	10851	-5437	-1074
28	1	3961	-6313	-1704
29	2	10924	-3367	-817
30	2	10821	-2552	-817
31	2	10797	-1848	-807
32	2	10982	-870	-817
33	2	11750	-2196	-817
34	2	11763	-451	-816
35	2	11917	-1324	-815
36	2	11737	-3100	-817
37	2	12445	-3434	-812
38	2	12426	-2593	-817
39	2	12486	-1768	-817
40	2	12472	-683	-817
41	2	13352	-610	-817
42	2	13361	-1453	-817
43	2	13302	-2441	-817
44	2	13411	-3385	-817
45	2	14286	-3294	-817
46	2	14268	-2290	-817
47	2	14490	-1310	-817
48	2	14448	-427	-817
49	2	14956	-1914	-817
50	2	14827	-2894	-817
51	2	10857	-4369	-812
52	100	-2612	-6365	-1712
56	3	-3045	-2036	-1464
57	3	-2153	-1794	-1467
58	3	-2392	-1200	-1467
59	3	-2607	-943	-1474
60	3	-2711	-207	-1475
61	3	-2558	310	-1467
62	3	-1833	170	-1475
63	3	-1365	128	-1462
64	3	-1650	992	-1458
65	3	-1253	248	-1462
66	3	-1193	-1037	-1474
67	3	-1115	-1813	-1474
68	3	-637	-1676	-1474
69	3	-348	-1162	-1467
70	3	-790	-11	-1474
71	3	-847	192	-1474
72	3	-1114	-529	-1474
73	3	-453	177	-1474
74	3	-306	502	-1456
75	3	432	24	-1474
76	3	180	-1247	-1467
77	3	142	-1604	-1473
78	3	219	-1726	-1473
79	3	970	125	-1474
80	3	1285	277	-1462
81	3	1572	938	-1462
82	3	1796	626	-1471
83	3	2707	197	-1475
84	3	2934	-323	-1474
85	3	3003	-908	-1462
86	3	3034	-1665	-1469
87	3	1518	-1991	-1471
88	3	1052	-1805	-1474
89	3	1110	-1444	-1474
90	3	1656	-854	-1471
91	3	2175	-1609	-1467
92	3	2287	-971	-1467
93	3	2111	-494	-1467
94	3	1933	-20	-1475
95	3	1886	159	-1475
96	3	796	-683	-1474
97	3	-233	-345	-1467
98	3	0	711	-1456
99	3	-2191	7	-1467
100	3	128	-709	-1467
101	3	1706	-1523	-1474
102	3	-717	-814	-1467
103	3	-2343	-1075	-1467
104	3	-1882	-1247	-1474
105	3	-1459	-1560	-1463
106	4	651	-1025	-1474
107	4	577	-239	-1474
108	4	-2868	-1668	-1474
109	4	-3044	-802	-1462
110	4	-2998	-174	-1471
111	4	-2586	-23	-1467
112	4	-2213	-881	-1467
113	4	-1958	-1490	-1467
114	4	-1661	-320	-1474
115	4	-1880	718	-1463
116	4	-1734	923	-1462
117	4	-1274	-288	-1462
118	4	-1062	-1107	-1474
119	4	-555	-1653	-1474
120	4	-328	-1153	-1467
121	4	-753	-409	-1474
122	4	-150	487	-1456
123	4	19	1226	-1529
124	4	130	312	-1456
125	4	114	-820	-1467
126	4	-259	-1797	-1446
127	4	-221	-2213	-1390
128	4	102	-2072	-1390
129	4	898	-1281	-1474
130	4	861	-1338	-1474
131	4	600	-1884	-1428
132	4	2873	-1902	-1474
133	4	2885	-1288	-1474
134	4	2838	-959	-1474
135	4	2823	-770	-1474
136	4	2660	184	-1475
137	4	2334	344	-1467
138	4	1980	-413	-1467
139	4	1730	-91	-1474
140	4	1700	311	-1474
141	4	1650	330	-1474
142	4	2054	-1130	-1467
143	4	2369	-1403	-1467
144	4	2578	-1575	-1467
145	4	1211	-240	-1462
146	4	1297	-768	-1465
147	4	0	-291	-1467
148	4	-439	-816	-1467
149	4	-2409	483	-1474
150	4	-178	-1492	-1474
151	4	-2203	-425	-1467
152	4	-1566	-1014	-1463
153	4	1051	-187	-1474
154	4	3148	-97	-1462
155	5	862	1885	-883
156	6	-849	1886	-883
157	7	-4210	2805	-875
158	8	4208	2830	-875
159	9	-4716	2562	-883
160	9	-5736	3194	-880
161	9	-6657	2568	-880
162	9	-5697	2546	-880
163	9	-6685	3259	-880
164	9	-4726	3104	-883
165	9	-6040	4295	-883
166	9	-6723	4343	-883
167	9	-6057	5410	-883
168	9	-6698	5456	-883
169	9	-6053	6602	-883
170	9	-6719	6646	-883
171	9	-6062	7718	-883
172	9	-6685	7760	-883
173	9	-6059	8985	-883
174	9	-6699	9012	-883
175	9	-6061	10454	-883
176	9	-6711	10468	-880
177	9	-6376	9767	-880
178	10	5678	3127	-883
179	10	5695	2491	-880
180	10	4936	2852	-883
181	10	6351	2821	-880
182	10	6705	3523	-880
183	10	6079	3521	-880
184	10	6408	4232	-883
185	10	6055	5000	-883
186	10	6723	5036	-883
187	10	6369	5737	-883
188	10	6041	6446	-883
189	10	6721	6505	-883
190	10	6398	7308	-883
191	10	6061	8076	-883
192	10	6729	8076	-883
193	10	6388	8799	-883
194	10	6002	9668	-880
195	10	6797	9750	-880
196	10	6425	10493	-880
197	300	63	-6384	-1707
198	301	5679	-6326	-1704
199	302	12769	-1951	-812
