ClassID	Division	PosX	PosY	PosZ
1	0	-13369	6228	-241
2	0	-13560	3546	-268
3	0	-11771	5974	-315
4	0	-11524	3594	-315
5	0	-9665	5732	-315
6	0	-9567	3516	-315
7	0	-172	4631	0
8	0	1620	6171	0
9	0	1575	3296	0
10	0	3126	4689	0
11	0	5783	6007	0
12	0	5678	3553	0
13	0	7776	4655	0
14	0	9676	6069	0
15	0	9736	3475	0
16	0	13912	4653	0
17	0	15585	4718	0
18	0	17190	4721	0
19	0	19442	4704	0
20	0	20349	3100	0
21	0	20386	790	0
22	0	20486	-1325	0
23	0	20317	-3526	0
24	0	20401	-5451	0
25	0	19879	-7389	0
26	0	17894	-7389	0
27	0	16149	-7338	0
28	0	14344	-7344	0
29	0	12625	-7400	0
30	0	11005	-7355	0
31	0	9297	-7369	0
32	0	7924	-7400	0
33	0	6363	-7373	0
34	0	6337	-9004	0
35	0	6368	-10764	0
36	0	6373	-12465	0
37	0	6367	-14623	0
38	0	7698	-19354	0
39	0	5110	-19184	0
40	0	6310	-21361	0
41	0	7666	-23351	0
42	0	5088	-23475	0
43	0	521	18236	0
44	0	-311	17072	0
45	0	-2357	16939	0
46	0	-3925	16932	0
47	0	-5267	16975	0
48	0	-7173	17017	0
49	0	-8604	16827	0
50	0	-10174	16853	0
51	0	-11390	15414	0
52	0	-11364	13787	0
53	0	-11358	12496	0
54	0	-11359	11008	0
55	0	-11371	9445	0
101	1	1300	32049	0
102	1	622	32046	0
103	1	-81	31989	0
104	1	2116	30611	0
105	1	-679	30634	0
106	1	1298	29626	0
107	1	7	29614	0
108	1	636	29563	0
109	1	1287	28250	0
110	1	598	28231	0
111	1	-33	28201	0
112	1	2195	26834	0
113	1	-670	26801	0
114	1	1314	25605	0
115	1	659	25611	0
116	1	-7	25619	0
117	1	1764	23829	0
118	1	484	23846	0
119	1	-594	23834	0
120	1	1990	22541	0
121	1	-648	22502	0
122	1	1327	21745	0
123	1	668	21713	0
124	1	6	21707	0
125	1	1341	21068	0
126	1	617	21073	0
127	1	39	21067	0
901	9	-80	4359	0
902	9	-64	5257	0
903	9	600	5679	0
904	9	520	4912	0
905	9	594	4153	0
906	9	594	3314	0
907	9	1478	3747	0
908	9	1389	3103	0
909	9	2167	3166	0
910	9	1374	6147	0
911	9	1388	5407	0
912	9	1933	6235	0
913	9	1990	5444	0
914	9	2151	3814	0
915	9	2477	5959	0
916	9	2766	5234	0
917	9	2794	4408	0
918	9	2924	3742	0
919	9	6124	3847	0
920	9	6254	3102	0
921	9	5544	3792	0
922	9	5610	3017	0
923	9	4781	3381	0
924	9	4629	4205	0
925	9	4686	4828	0
926	9	4396	5591	0
927	9	5029	6264	0
928	9	5039	5468	0
929	9	5833	5551	0
930	9	5836	6396	0
931	9	6494	5864	0
932	9	6527	5208	0
933	9	6570	4380	0
934	9	6605	3655	0
935	9	8424	5673	0
936	9	8748	5098	0
937	9	8657	4366	0
938	9	8711	3362	0
939	9	9434	3108	0
940	9	9402	3908	0
941	9	10072	3833	0
942	9	10153	3142	0
943	9	10882	3748	0
944	9	9107	5660	0
945	9	9056	6283	0
946	9	9790	5629	0
947	9	9891	6338	0
948	9	10448	5829	0
949	9	10513	5103	0
950	9	10597	4271	0
951	9	11089	5419	0
952	9	11321	4819	0
953	9	11355	4235	0
1001	11	6927	-17327	0
1002	11	6298	-17313	0
1003	11	5718	-17339	0
1004	11	7799	-19769	0
1005	11	7962	-18838	0
1006	11	7259	-19059	0
1007	11	7351	-18204	0
1008	11	6537	-18238	0
1009	11	5814	-18221	0
1010	11	5038	-18203	0
1011	11	4828	-18897	0
1012	11	5603	-18921	0
1013	11	5622	-19520	0
1014	11	4751	-19561	0
1015	11	4968	-20167	0
1016	11	6882	-20183	0
1017	11	5797	-20230	0
1018	11	6841	-21066	0
1019	11	5796	-21037	0
1020	11	7157	-24766	0
1021	11	6333	-24860	0
1022	11	6347	-24072	0
1023	11	7102	-24055	0
1024	11	7893	-23950	0
1025	11	7884	-23414	0
1026	11	7167	-23093	0
1027	11	7763	-22618	0
1028	11	7494	-22026	0
1029	11	6899	-22431	0
1030	11	6171	-22411	0
1031	11	6705	-21828	0
1032	11	5987	-21780	0
1033	11	5319	-21820	0
1034	11	5486	-22503	0
1035	11	4786	-22504	0
1036	11	4859	-23045	0
1037	11	5496	-23023	0
1038	11	5458	-23672	0
1039	11	4808	-23750	0
1040	11	5023	-24264	0
1041	11	5575	-24233	0
1042	11	5619	-24759	0
1043	12	688	5866	0
1044	12	692	5169	0
1045	12	722	4550	0
1046	12	87	5563	0
1047	12	-30	4958	0
1048	12	-33	4360	0
1049	12	21	3674	0
1050	12	685	3786	0
1051	12	743	3078	0
1052	12	1359	3728	0
1053	12	1375	3108	0
1054	12	2126	3058	0
1055	12	2170	3878	0
1056	12	2237	4636	0
1057	12	1381	6231	0
1058	12	1303	5527	0
1059	12	2019	5512	0
1060	12	2178	6163	0
1061	12	2883	5629	0
1062	12	2955	4671	0
1063	12	3003	3819	0
1064	12	3815	5078	0
1065	12	3861	4077	0
1066	12	6113	3310	0
1067	12	5575	3848	0
1068	12	5513	3093	0
1069	12	4732	3476	0
1070	12	4608	4321	0
1071	12	4577	5154	0
1072	12	4501	5910	0
1073	12	5253	6229	0
1074	12	5339	5452	0
1075	12	6029	5438	0
1076	12	5877	6291	0
1077	12	6572	6048	0
1078	12	6650	5438	0
1079	12	6629	4781	0
1080	12	6637	4160	0
1081	12	6681	3500	0
1082	12	7341	4384	0
1083	12	7259	5214	0
1084	12	8085	5507	0
1085	12	8049	4830	0
1086	12	8067	3877	0
1087	12	9579	3802	0
1088	12	9670	3070	0
1089	12	8890	3077	0
1090	12	8776	3924	0
1091	12	8775	4753	0
1092	12	8855	5414	0
1093	12	8799	6200	0
1094	12	9428	6191	0
1095	12	9466	5456	0
1096	12	9981	5437	0
1097	12	9897	6244	0
1098	12	10363	6233	0
1099	12	10508	5810	0
1100	12	10477	5239	0
1101	12	10482	4730	0
1102	12	10472	4191	0
1103	12	10395	3613	0
1104	12	10480	3054	0
1105	12	10862	3511	0
1106	12	10972	4229	0
1107	12	10979	4788	0
1108	12	10998	5315	0
1109	12	11472	5268	0
1110	12	11367	4549	0
1111	12	11445	4123	0
