ClassID	PosX	PosY	PosZ
1	-69316	-12400	0
2	-68174	-12361	0
3	-63517	-12690	0
4	-62303	-12618	0
5	-65971	-12039	-500
6	-66026	-6008	-494
7	-69715	-5485	0
8	-68660	-5462	0
9	-63205	-5356	0
10	-62180	-5269	0
11	-65989	-2346	5
12	-66382	1506	99
13	-65760	1546	99
14	-65966	12321	-49
15	-66090	7487	-49
16	-65990	18416	0
17	-65932	23539	-200
18	-66500	25358	-400
19	-65515	25592	-400
20	-61494	28765	-200
21	-63080	28898	-400
22	-68702	29155	-400
23	-70562	29847	-200
24	-66235	33313	-200
25	-65596	33461	-200
26	-66039	44512	-49
27	-60512	47979	-49
28	-54311	48227	100
29	-54430	47405	100
30	-48431	47936	-49
31	-41871	48051	-49
32	-39755	42409	100
33	-40439	42434	100
34	-40110	36282	-50
35	-40111	27803	-50
36	-33989	28001	-49
37	-28400	28190	100
38	-28399	27599	100
39	-18755	28001	-49
40	-14054	24449	-49
41	-13980	19864	-50
42	-8626	19955	100
43	-6627	19982	-50
44	456	20021	99
45	3391	18694	0
46	3334	21243	0
47	7379	19958	-4
48	5505	16790	-4
49	5363	23551	-5
50	7601	17821	0
51	7618	22096	0
52	12970	15712	0
53	13319	23972	0
54	14611	22415	0
55	14604	17789	0
56	14778	19939	-4
57	17188	16836	-4
58	17240	15922	-4
59	17387	22615	-5
60	17224	23597	-5
61	21630	20176	99
62	21570	19622	100
63	27425	19978	-49
64	30052	19397	-50
65	29977	13838	-49
66	30328	8461	100
67	29560	8432	100
68	29884	-1569	-50
69	30084	-5652	-50
70	36027	-5976	-49
71	46009	-6016	-49
72	41569	-5614	100
73	41539	-6554	100
74	53013	-6056	-49
75	56132	-5870	-50
76	55902	-6930	-49
77	56004	-10185	-49
78	56108	-14089	-50
79	65402	-13866	-50
80	61564	-13702	100
81	61508	-14305	100
82	70020	-14273	-50
83	70131	-15156	-50
84	70011	-20113	-49
85	70427	-25584	100
86	69597	-25628	100
87	70057	-31043	-49
88	69863	-35225	-50
89	70259	-40110	-50
90	69294	-40071	-50
91	55476	-40059	100
92	47659	-39796	-50
93	53232	-40021	-49
94	42633	-39803	0
95	42628	-40734	0
96	37036	-39826	-200
97	34314	-39834	-400
98	30624	-35544	-200
99	31384	-42877	-400
100	27213	-40047	-200
101	22020	-40586	10
102	21978	-39635	10
103	14996	-39926	-50
104	11643	-47946	-50
105	7028	-47955	-50
106	3388	-48283	100
107	3393	-47636	100
108	1055	-47952	-49
109	-1611	-48984	0
