ClassID	Division	PosX	PosY	PosZ
1	0	-32533	9497	2700
2	0	-30009	9995	2700
3	0	-29534	12650	2700
4	0	-31713	19642	2500
5	0	-27645	19670	2500
6	0	-28910	18709	2600
7	0	-30246	18744	2600
8	0	-30078	20276	2600
9	0	-28975	20274	2600
10	1	-29554	19512	2600
11	0	-29355	23739	2500
12	0	-27241	24008	2500
13	0	-23632	23970	2300
14	0	-23491	21144	2300
15	0	-16103	20969	2100
16	0	-15419	18164	2100
17	0	-15351	23788	2100
18	0	-10565	24022	1900
19	0	-11360	17923	1900
20	0	-7027	17953	1700
21	0	-3849	20946	1700
22	0	388	20491	1700
23	0	1238	18094	1700
24	0	12598	17011	1500
25	0	7740	17792	1500
26	0	7954	16849	1500
27	0	8024	18962	1500
28	0	10156	16675	1580
29	1	10213	17964	1600
30	0	11980	17994	1500
31	0	14369	17906	1500
32	0	14341	14755	1500
33	0	15290	12890	1500
34	0	19572	12968	1300
35	0	21650	12864	1300
36	0	22554	11454	1300
37	0	22346	7581	1100
38	0	35411	-4775	580
39	0	35989	-6254	580
40	0	36407	-7733	589
41	1	37347	-7040	599
42	0	35267	-7106	580
43	0	34037	-6326	589
44	0	32659	-6852	579
45	0	32073	-8118	579
46	0	30697	-8696	600
47	0	30683	-6300	600
48	0	31446	-6961	599
49	1	30606	-7524	600
50	0	29141	-7963	580
51	0	28636	-6501	580
52	0	27903	-7338	580
53	0	26226	-6891	580
54	0	25352	-7417	580
55	0	24460	-7784	580
56	1	23486	-6977	600
57	0	24886	-5934	580
58	0	26685	-5975	580
59	0	27371	-3115	880
60	0	25844	-3043	900
61	0	25535	211	880
62	0	26837	0	880
63	0	25690	-1554	880
64	0	26647	-2138	880
65	0	34194	331	879
66	0	34996	277	879
67	0	34184	-1382	879
68	0	35504	-3085	879
69	0	34425	-2403	879
70	0	32846	-3290	879
71	0	31494	-3641	879
72	0	30686	-4790	880
73	0	29268	-3413	880
74	0	30427	-2292	890
75	0	30417	341	780
76	0	30442	3302	900
77	0	29897	4987	900
78	0	28160	4991	900
79	0	25640	4953	1100
80	0	23630	4988	1100
81	0	21963	4966	1100
82	0	19946	4970	1100
83	0	16708	4950	1100
84	0	13726	4910	900
85	0	10598	4695	900
86	0	10540	2939	900
87	0	10480	-793	780
88	0	14062	-161	879
89	0	15350	-1868	879
90	0	14447	-2365	879
91	0	15591	-2998	879
92	0	15138	-3822	889
93	0	13648	-3293	879
94	0	12665	-4059	879
95	0	11722	-3630	879
96	0	5816	-105	880
97	0	6981	-305	880
98	0	5778	-2060	880
99	0	6611	-1995	880
100	0	5904	-3329	900
101	0	6881	-2908	880
102	0	6876	-3838	880
103	0	7977	-3268	880
104	0	8713	-4281	880
105	0	9439	-3707	880
106	0	10109	-4649	880
107	0	10945	-4546	879
108	0	12079	-8876	579
109	0	13137	-8872	579
110	0	13521	-7923	579
111	0	14755	-7761	580
112	0	15816	-7862	580
113	0	16355	-6999	589
114	1	17357	-6982	599
115	0	16152	-5762	580
116	0	15367	-6602	580
117	0	14168	-6250	580
118	0	13153	-6897	579
119	0	11248	-5634	599
120	0	9241	-5837	580
121	0	6989	-5989	590
122	0	5009	-5998	580
123	0	4190	-6319	580
124	0	4228	-8097	580
125	1	3562	-7145	600
126	0	5122	-6984	580
127	0	5443	-8213	580
128	0	6287	-6920	580
129	0	7606	-6927	580
130	0	6686	-8130	580
131	0	8136	-7883	580
132	0	8920	-6775	580
133	0	10324	-6505	600
134	0	11707	-6652	579
135	0	9429	-7820	610
136	0	12305	-7859	579
137	0	9874	-8616	600
138	0	11169	-8471	599
139	1	10566	-7731	600
140	0	10082	-9605	600
141	0	10934	-9692	600
142	0	9810	-11105	600
143	0	10901	-11056	600
144	0	10516	-12481	620
145	0	10945	-13978	600
146	0	12722	-14058	600
147	0	14710	-14010	400
148	0	16529	-14388	400
149	0	17219	-16978	400
150	0	18875	-17108	400
151	0	21965	-17131	200
152	0	23388	-17059	200
153	0	22510	-18732	200
154	0	21826	-19905	200
155	0	20493	-19888	200
156	0	18300	-19971	0
157	0	16774	-20075	0
158	0	14682	-20012	0
