ClassID	Division	PosX	PosY	PosZ
1	0	462	10764	410
2	0	-349	11319	372
3	0	442	11769	341
4	0	-412	12214	310
5	0	306	12669	279
6	0	-440	13231	240
7	0	348	13546	218
8	0	-414	13754	202
9	0	436	17186	-132
10	0	-489	17347	-148
11	0	293	18092	-231
12	0	-517	18127	-235
13	0	465	18896	-328
14	0	-402	18915	-331
15	0	-515	19637	-419
16	0	34	20448	-518
17	0	-538	20518	-526
18	0	362	21236	-614
19	0	-473	21332	-625
20	0	301	22151	-753
21	0	-487	22759	-864
22	0	305	23223	-948
23	0	-285	23627	-1021
24	0	199	24370	-1156
25	0	-501	24428	-1167
26	0	393	25238	-1314
27	0	-474	25516	-1365
28	0	313	26352	-1570
29	0	-586	26679	-1655
30	0	437	27500	-1869
31	0	-516	27448	-1855
32	0	383	28310	-2080
33	0	-489	28424	-2110
34	0	678	36025	-1974
35	0	1310	36288	-1974
36	0	1821	35899	-1974
37	0	1376	35411	-1974
38	0	608	35064	-1974
39	0	774	34147	-1974
40	1	1362	34398	-1974
41	0	1477	33178	-1974
42	0	774	33019	-1974
43	0	731	32240	-1974
44	0	1490	32022	-1974
45	0	2233	31938	-1974
46	0	-867	32026	-1974
47	0	-723	36105	-1974
48	0	-1028	35474	-1974
49	1	-1209	33659	-1974
50	0	-1214	34762	-1974
51	0	-1821	34203	-1974
52	0	-2166	32255	-1974
53	0	-1792	33063	-1974
54	0	-988	32674	-1974
55	0	-1492	32093	-1974
56	0	-2	35674	-1974
57	0	10	41051	-2174
58	2	-7	41023	-2174
59	2	3	39516	-2174
60	2	-1090	35204	-1974
61	2	976	35374	-1974
62	2	1022	32335	-1974
63	2	1075	33240	-1974
64	2	860	34491	-1974
65	2	-27	35805	-1974
66	2	-1037	34354	-1974
67	2	-1494	33215	-1974
68	2	-1385	32064	-1974
69	2	37	29845	-2464
70	2	33	28609	-2158
71	2	40	27367	-1834
72	2	25	26245	-1542
73	2	47	25189	-1305
74	2	50	24132	-1113
75	2	23	23112	-928
76	2	47	22184	-759
77	2	55	21233	-613
78	2	96	20243	-493
79	2	111	19172	-362
80	2	56	18173	-240
81	2	71	17566	-169
82	2	47	16528	-68
83	2	76	15446	15
84	2	36	13515	221
85	2	22	12509	290
86	2	34	11354	369
