ClassID	Division	PosX	PosY	PosZ
1	5	-12266	21445	-64
2	5	-12773	20806	-68
3	5	-13186	21406	-65
4	5	-13526	20686	-61
5	5	-14964	20820	-73
6	5	-13992	21073	-94
7	5	-14019	20132	-95
8	5	-14571	20386	-96
9	5	-15491	20295	-97
10	5	-14050	19350	-80
11	5	-14672	19604	-64
12	5	-15306	19258	-67
13	5	-14641	18817	-63
14	5	-14240	17813	-80
15	5	-14886	18206	-66
16	5	-15561	18142	-80
17	5	-15085	17555	-64
18	5	-14149	15801	-80
19	5	-13958	16199	-47
20	5	-14399	17094	-69
21	5	-15147	16900	-63
22	5	-15499	16135	-80
23	5	-14633	16279	-63
24	5	-15380	13770	-72
25	5	-15698	14643	-97
26	5	-15461	15312	-94
27	5	-14576	15593	-63
28	5	-13909	15385	-94
29	5	-14728	14774	-75
30	5	-14622	13520	-94
31	5	-13997	14254	-75
32	5	-13347	14645	-68
33	5	-13694	13432	-97
34	5	-13056	13931	-63
35	5	-12616	14556	-67
36	5	-12238	13902	-63
37	5	-9799	14880	-94
38	5	-11038	14399	-61
39	5	-11663	14278	-65
40	5	-11678	13408	-80
41	5	-11071	13682	-69
42	5	-10522	14571	-97
43	5	-10446	13800	-96
44	5	-9266	13266	-94
45	5	-9778	13542	-75
46	5	-10496	13052	-94
47	5	-9624	12644	-65
48	5	-9233	12151	-69
49	5	-10236	12331	-68
50	5	-10224	10892	-68
51	5	-9374	10909	-67
52	5	-9260	10137	-68
53	5	-10166	10233	-67
54	5	-9058	9283	-80
55	5	-9837	9540	-65
56	5	-10584	9223	-80
57	5	-9973	8759	-64
58	5	-9302	8707	-68
59	5	-8305	6839	-63
60	5	-8343	7615	-69
61	5	-7732	7809	-82
62	5	-7728	7260	-64
63	5	-7723	6628	-70
64	4	18826	6844	-67
65	4	18824	7427	-67
66	4	18336	7808	-85
67	4	18345	6479	-85
68	4	18280	7177	-70
69	4	17836	7534	-74
70	4	17879	6808	-71
71	4	19609	7536	-71
72	4	20803	6690	-65
73	4	20318	7132	-70
74	4	20128	7911	-84
75	4	22366	7959	-101
76	4	21224	8086	-99
77	4	21258	7329	-79
78	4	20898	7566	-98
79	4	20844	8107	-98
80	4	21635	8017	-99
81	4	21371	8671	-84
82	4	22813	8658	-84
83	4	22084	8689	-70
84	4	22439	9500	-71
85	4	22616	12738	-75
86	4	22240	10413	-68
87	4	22213	11306	-79
88	4	23374	12292	-65
89	4	22744	11761	-98
90	4	22813	11026	-84
91	4	23438	11505	-84
92	4	23793	13021	-84
93	4	24153	12151	-68
94	4	26034	12928	-84
95	4	25165	13035	-84
96	4	25797	11957	-66
97	4	25059	12113	-68
98	4	25231	11486	-84
99	4	26829	12574	-67
100	4	27710	12737	-72
101	4	28034	11505	-99
102	4	27555	11992	-67
103	4	26925	11866	-71
104	4	27338	11374	-52
105	4	28911	11851	-75
106	4	28361	12389	-79
107	4	28806	12928	-98
108	4	29887	12725	-99
109	4	29786	12017	-101
110	4	29289	11302	-79
111	4	29889	11289	-98
112	4	28650	11243	-98
113	4	28440	10124	-87
114	4	28981	10085	-68
115	4	29530	10115	-74
116	4	29980	10613	-84
117	4	29376	10606	-67
118	4	28884	10574	-67
119	4	28395	10600	-84
120	3	28710	-11655	-70
121	3	29599	-11808	-69
122	3	29669	-12690	-69
123	3	28899	-12416	-63
124	3	28820	-13487	-66
125	3	29614	-13595	-68
126	3	28733	-14494	-96
127	3	29601	-14684	-97
128	3	28958	-16232	-98
129	3	28058	-15182	-94
130	3	27826	-16060	-68
131	3	26938	-15448	-64
132	3	26081	-15913	-63
133	3	25497	-15248	-66
134	3	24800	-15790	-64
135	3	24010	-16174	-61
136	3	23956	-15330	-63
137	3	22025	-14219	-66
138	3	22793	-13925	-80
139	3	21463	-13705	-80
140	3	21725	-12008	-66
141	3	22385	-12247	-63
142	3	21582	-12583	-68
143	3	21469	-10433	-75
144	3	22934	-10685	-98
145	3	21996	-11118	-75
146	3	21991	-9766	-94
147	3	20596	-9686	-80
148	3	20590	-10420	-66
149	3	20563	-11031	-61
150	3	19126	-11145	-80
151	3	19113	-9822	-80
152	3	19089	-10457	-66
153	3	17611	-10524	-65
154	3	17627	-10137	-63
155	2	-74	-19843	-80
156	2	1575	-19943	-80
157	2	752	-19759	-66
158	2	1145	-19248	-68
159	2	382	-19189	-68
160	2	700	-20673	-66
161	2	399	-20400	-67
162	2	1058	-20406	-63
163	2	1306	-21090	-69
164	2	747	-21131	-66
165	2	130	-21142	-80
166	2	1484	-22250	-94
167	2	1578	-23197	-94
168	2	562	-22337	-97
169	2	652	-23585	-98
170	2	-79	-22919	-75
171	2	-1031	-22257	-80
172	2	-1050	-23487	-69
173	2	-2165	-23382	-68
174	2	-3092	-22311	-80
175	2	-3315	-23308	-67
176	2	-4178	-23854	-48
177	2	-4286	-22864	-65
178	2	-4866	-22110	-80
179	2	-5019	-23341	-67
180	2	-6881	-22484	-69
181	2	-7096	-23342	-69
182	100	32953	-3459	0
183	300	-32935	17255	-66
184	301	-32956	-16564	-66
185	302	-28697	-22966	-66
186	303	-28533	321	219
187	304	-26640	-6838	0
188	305	-34743	3965	0
189	306	3480	-5827	215
190	307	-1746	-9919	-4
191	308	12065	-13021	7
192	309	8102	6921	-4
193	310	202	6737	-4
194	311	6708	-370	455
195	400	-32016	22408	-80
196	401	-33509	22500	-80
197	402	-33859	21049	-80
