ClassID	Division	PosX	PosY	PosZ
1	0	464	3193	-29
2	0	432	5053	-29
3	0	2635	2846	-29
4	0	2462	5026	-29
5	0	-33050	-3439	-399
6	0	-34176	-3431	-213
7	0	33709	3934	0
8	0	37241	973	0
9	0	33302	1004	0
10	0	34406	4938	0
11	0	34384	3013	0
12	0	32834	3085	0
13	0	32773	4996	0
14	0	30704	1004	0
15	0	30314	-3925	0
16	0	25679	-2632	-200
17	0	24383	-2735	-200
18	0	22990	-2819	-191
19	0	21589	-2666	-200
20	0	21422	-5234	-199
21	0	22945	-5213	-199
22	0	25725	-5258	-199
23	0	24376	-4947	-199
24	0	16609	-3854	5
25	0	16407	983	0
26	0	16755	4008	0
27	0	21638	3177	0
28	0	21560	4813	0
29	0	22669	4818	0
30	0	22733	3332	0
31	0	23947	3253	0
32	0	23856	4797	0
33	0	25063	4545	0
34	0	25047	3332	0
35	0	30357	3884	0
36	0	14421	1914	0
37	0	13585	296	0
38	0	13361	1830	0
39	0	14529	165	0
40	0	12344	282	0
41	0	12205	2005	0
42	0	10819	2006	0
43	0	10734	312	0
44	0	6480	1009	0
45	0	6446	3910	0
46	0	6351	-4902	0
47	0	3436	-5872	-29
48	0	3409	-4125	-29
49	0	813	-4939	-29
50	0	70	-4163	-29
51	0	127	-5927	-29
52	0	1334	-6886	0
53	0	1395	-3067	0
54	0	4469	-3030	0
55	0	4442	-6973	0
56	0	-1484	-6999	0
57	0	-1455	-3033	0
58	0	2673	-5029	-29
59	0	-3314	-5005	5
60	0	-3412	4148	0
61	0	-1456	2079	0
62	0	-1437	6027	0
63	0	4461	1995	0
64	0	4505	5989	0
65	0	3413	4988	-29
66	0	3367	3071	-29
67	0	-289	4960	-29
68	0	-248	3150	-29
69	0	1564	6019	0
70	0	-3618	-1846	0
71	0	-8053	-3483	-194
72	0	-9395	-384	-200
73	0	-9617	-2985	-189
74	0	-10309	-472	-195
75	0	-11371	-726	-200
76	0	-11340	-3129	-199
77	0	-12578	-636	-200
78	0	-12497	-3276	-190
79	0	-15511	-2042	0
80	0	-15590	1045	0
81	0	-15511	-5006	0
82	0	-20323	-4924	0
83	0	-20431	1015	0
84	0	-20564	-2092	0
85	0	-24465	-1992	0
86	0	-29327	-2886	-200
87	0	-26522	-1965	0
88	0	6571	-2161	0
89	0	-3392	1288	5
90	7	464	3193	-29
91	7	432	5053	-29
92	7	2635	2846	-29
93	7	2462	5026	-29
94	7	-33050	-3439	-399
95	7	-34176	-3431	-213
96	7	33709	3934	0
97	7	37241	973	0
98	7	33302	1004	0
99	7	34406	4938	0
100	7	34384	3013	0
101	7	32834	3085	0
102	7	32773	4996	0
103	7	30704	1004	0
104	7	30314	-3925	0
105	7	25679	-2632	-200
106	7	24383	-2735	-200
107	7	22990	-2819	-191
108	7	21589	-2666	-200
109	7	21422	-5234	-199
110	7	22945	-5213	-199
111	7	25725	-5258	-199
112	7	24376	-4947	-199
113	7	16609	-3854	5
114	7	16407	983	0
115	7	16755	4008	0
116	7	21638	3177	0
117	7	21560	4813	0
118	7	22669	4818	0
119	7	22733	3332	0
120	7	23947	3253	0
121	7	23856	4797	0
122	7	25063	4545	0
123	7	25047	3332	0
124	7	30357	3884	0
125	7	14421	1914	0
126	7	13585	296	0
127	7	13361	1830	0
128	7	14529	165	0
129	7	12344	282	0
130	7	12205	2005	0
131	7	10819	2006	0
132	7	10734	312	0
133	7	6480	1009	0
134	7	6446	3910	0
135	7	6351	-4902	0
136	7	3436	-5872	-29
137	7	3409	-4125	-29
138	7	813	-4939	-29
139	7	70	-4163	-29
140	7	127	-5927	-29
141	7	1334	-6886	0
142	7	1395	-3067	0
143	7	4469	-3030	0
144	7	4442	-6973	0
145	7	-1484	-6999	0
146	7	-1455	-3033	0
147	7	2673	-5029	-29
148	7	-3314	-5005	5
149	7	-3412	4148	0
150	7	-1456	2079	0
151	7	-1437	6027	0
152	7	4461	1995	0
153	7	4505	5989	0
154	7	3413	4988	-29
155	7	3367	3071	-29
156	7	-289	4960	-29
157	7	-248	3150	-29
158	7	1564	6019	0
159	7	-3618	-1846	0
160	7	-8053	-3483	-194
161	7	-9395	-384	-200
162	7	-9617	-2985	-189
163	7	-10309	-472	-195
164	7	-11371	-726	-200
165	7	-11340	-3129	-199
166	7	-12578	-636	-200
167	7	-12497	-3276	-190
168	7	-15511	-2042	0
169	7	-15590	1045	0
170	7	-15511	-5006	0
171	7	-20323	-4924	0
172	7	-20431	1015	0
173	7	-20564	-2092	0
174	7	-24465	-1992	0
175	7	-29327	-2886	-200
176	7	-26522	-1965	0
177	7	6571	-2161	0
178	7	-3392	1288	5
