ClassID	Division	PosX	PosY	PosZ
1	9	-38	-13714	-5029
2	5	1824	9141	4491
3	4	85	7443	1272
4	4	1306	5531	1272
5	4	-1679	5836	1272
6	4	-30	4374	1272
7	4	2555	-4475	1271
8	4	2516	-2071	1271
9	4	1231	-412	1271
10	4	-1164	-310	1271
11	4	-2404	-1752	1271
12	4	-2734	-3800	1271
13	4	1011	-5556	1271
14	4	-1144	-5348	1271
15	3	-2045	-9051	-5028
16	3	-4058	-8393	-5028
17	3	-5416	-7644	-5028
18	3	-6803	-6293	-5028
19	3	-7889	-4741	-5028
20	3	-8937	-3340	-5028
21	3	-9342	-1150	-5028
22	3	-9046	1104	-5028
23	3	-8662	2972	-5028
24	3	-7937	4414	-5028
25	3	-7079	5802	-5028
26	3	-5959	7199	-5032
27	3	-4181	8307	-5028
28	3	-2321	9439	-5029
29	2	6626	-7110	-5029
30	2	5290	-7910	-5028
31	2	7357	-5751	-5028
32	2	8377	-4133	-5028
33	2	9010	-2044	-5028
34	2	9558	0	-5028
35	2	9078	1862	-5028
36	2	8473	3739	-5028
37	2	7584	5279	-5028
38	2	6434	6582	-5028
39	0	11166	-3026	-5029
40	0	12018	-5118	-5029
41	0	10284	-5574	-5029
42	0	10829	-7683	-5029
43	0	8393	-8066	-5030
44	0	8268	-9825	-5030
45	0	5837	-9932	-5029
46	0	5186	-11995	-5029
47	0	3617	-10865	-5029
48	0	2484	-12750	-5029
49	0	1408	-11407	-5029
50	0	-620	-12940	-5029
51	0	-1590	-11371	-5029
52	0	-3437	-12933	-5029
53	0	-3855	-11084	-5029
54	0	-6035	-11853	-5029
55	0	-6557	-10052	-5029
56	0	-8188	-10604	-5029
57	0	-8180	-8316	-5030
58	0	-10401	-8610	-5029
59	0	-9771	-6865	-5030
60	0	-11294	-7181	-5029
61	0	-10860	-5363	-5029
62	0	-12600	-4303	-5029
63	0	-11358	-3411	-5029
64	0	-13122	-2355	-5029
65	0	-11834	-1575	-5029
66	0	-13283	-436	-5029
67	0	-11780	461	-5029
68	0	-12947	1940	-5029
69	0	-11051	3143	-5029
70	0	-12346	4210	-5029
71	0	-10761	5138	-5029
72	0	-11225	6989	-5029
73	0	-9632	7028	-5029
74	0	-9808	9102	-5029
75	0	-7547	8719	-5029
76	0	-7436	10797	-5029
77	0	-5971	10103	-5029
78	0	-5064	12383	-5029
79	0	-4073	10989	-5029
80	0	-3610	12831	-5029
81	0	-2278	11903	-5029
82	0	-1393	13024	-5029
83	0	502	11606	-5029
84	0	1351	13031	-5029
85	0	2506	11825	-5029
86	0	4199	12704	-5029
87	0	4193	11137	-5029
88	0	6256	11681	-5029
89	0	6503	10077	-5029
90	0	8628	10188	-5029
91	0	8005	8887	-5029
92	0	9663	9110	-5029
93	0	8916	7811	-5029
94	0	10941	7538	-5029
95	0	10125	6459	-5029
96	0	11949	6011	-5029
97	0	10915	5096	-5029
98	0	12703	4290	-5029
99	0	11267	3527	-5030
100	0	13089	2187	-5029
101	0	11835	1351	-5030
102	0	13315	736	-5029
103	0	12093	-200	-5029
104	1	13327	-1548	-5029
105	1	11166	-3026	-5029
106	1	12018	-5118	-5029
107	1	10284	-5574	-5029
108	1	10829	-7683	-5029
109	1	8393	-8066	-5030
110	1	8268	-9825	-5030
111	1	5837	-9932	-5029
112	1	5186	-11995	-5029
113	1	3617	-10865	-5029
114	1	2484	-12750	-5029
115	1	1408	-11407	-5029
116	1	-620	-12940	-5029
117	1	-1590	-11371	-5029
118	1	-3437	-12933	-5029
119	1	-3855	-11084	-5029
120	1	-6035	-11853	-5029
121	1	-6557	-10052	-5029
122	1	-8188	-10604	-5029
123	1	-8180	-8316	-5030
124	1	-10401	-8610	-5029
125	1	-9771	-6865	-5030
126	1	-11294	-7181	-5029
127	1	-10860	-5363	-5029
128	1	-12600	-4303	-5029
129	1	-11358	-3411	-5029
130	1	-13122	-2355	-5029
131	1	-11834	-1575	-5029
132	1	-13283	-436	-5029
133	1	-11780	461	-5029
134	1	-12947	1940	-5029
135	1	-11051	3143	-5029
136	1	-12346	4210	-5029
137	1	-10761	5138	-5029
138	1	-11225	6989	-5029
139	1	-9632	7028	-5029
140	1	-9808	9102	-5029
141	1	-7547	8719	-5029
142	1	-7436	10797	-5029
143	1	-5971	10103	-5029
144	1	-5064	12383	-5029
145	1	-4073	10989	-5029
146	1	-3610	12831	-5029
147	1	-2278	11903	-5029
148	1	-1393	13024	-5029
149	1	502	11606	-5029
150	1	1351	13031	-5029
151	1	2506	11825	-5029
152	1	4199	12704	-5029
153	1	4193	11137	-5029
154	1	6256	11681	-5029
155	1	6503	10077	-5029
156	1	8628	10188	-5029
157	1	8005	8887	-5029
158	1	9663	9110	-5029
159	1	8916	7811	-5029
160	1	10941	7538	-5029
161	1	10125	6459	-5029
162	1	11949	6011	-5029
163	1	10915	5096	-5029
164	1	12703	4290	-5029
165	1	11267	3527	-5030
166	1	13089	2187	-5029
167	1	11835	1351	-5030
168	1	13315	736	-5029
169	1	12093	-200	-5029
170	2	13327	-1548	-5029
