ClassID	Division	PosX	PosY	PosZ
1	0	-2411	-16185	-175
2	0	9934	-2837	-80
3	0	-8070	4953	542
4	0	-11751	171	-114
5	0	-10798	-2013	-104
6	0	-9834	-5756	-139
7	0	-8020	-8548	-151
8	0	-6635	-11994	-83
9	0	-5236	-9402	-79
10	0	-3005	-8727	-35
11	0	-1505	-11707	-107
12	0	534	-12501	-105
13	0	-625	-9205	-100
14	0	-1232	-6678	-98
15	0	-476	-4010	-87
16	0	1600	-5243	-84
17	0	3489	-4274	-35
18	0	5894	-3195	-120
19	0	7721	-2136	-118
20	0	4595	-1888	-114
21	0	6588	-216	-70
22	0	4634	448	-137
23	0	4679	2386	-92
24	0	2823	5506	210
25	0	1421	6615	199
26	0	-161	7627	220
27	0	-2179	8194	147
28	0	-3470	10081	-107
29	0	-364	11034	-98
30	0	1682	11001	-73
31	0	3844	9387	-155
32	0	5569	5668	-89
33	0	4800	7164	-124
34	0	6698	8118	-130
35	9	-3592	1588	572
