ClassID	Division	PosX	PosY	PosZ
1	0	-7735	2266	113
2	0	-8352	1496	101
3	0	-7690	819	83
4	0	-6961	1705	63
5	0	-6885	741	93
6	0	-5542	-1290	94
7	0	-6517	-1420	88
8	0	-5613	-312	93
9	0	-6815	-367	86
10	0	-5681	611	119
11	0	-2705	-4095	165
12	0	-3677	-3883	167
13	0	-2586	-3195	164
14	0	-3459	-2949	160
15	0	-13997	14129	37
16	0	-13734	13142	19
17	0	-14894	13694	-6
18	0	-14648	12892	-7
19	0	-19317	18644	21
20	0	-17708	18693	19
21	0	-19411	17563	43
22	0	-18918	16422	61
23	0	-18520	15047	23
24	0	-17902	17730	46
25	0	-17582	16602	56
26	0	-19503	15313	3
27	0	-20295	16723	32
28	0	-17732	15638	14
29	0	-26542	12304	162
30	0	-25687	12629	163
31	0	-25211	11749	155
32	0	-26136	11521	160
33	0	-28053	7475	158
34	0	-28311	8427	159
35	0	-27084	7774	163
36	0	-27372	8670	153
37	0	-24377	2132	96
38	0	-23898	1260	115
39	0	-25435	1962	82
40	0	-24902	929	63
41	0	-28156	1135	90
42	0	-27968	1973	77
43	0	-26950	681	97
44	0	-26829	1727	76
45	0	-25721	627	104
46	0	-29631	-5351	81
47	0	-30070	-4472	68
48	0	-28517	-4947	81
49	0	-29005	-4042	90
50	0	-25210	-4260	129
51	0	-25806	-5121	95
52	0	-26421	-3893	66
53	0	-27055	-4975	82
54	0	-27683	-3400	80
55	0	-32435	-3979	157
56	0	-32937	-3127	159
57	0	-31649	-3356	160
58	0	-32173	-2641	152
59	0	-31368	1466	160
60	0	-32060	955	161
61	0	-30670	811	156
62	0	-31381	263	159
63	1	4134	1255	157
64	1	4053	2288	159
65	1	5105	1332	162
66	1	4987	2095	152
67	1	4002	-2023	157
68	1	3938	-1035	158
69	1	4929	-1686	155
70	1	4865	-908	153
71	1	12292	-3341	123
72	1	11269	-3858	136
73	1	11765	-2210	134
74	1	10685	-2940	151
75	1	10307	-1934	157
76	1	10430	893	124
77	1	11264	1460	144
78	1	10235	-251	123
79	1	11498	88	133
80	1	11483	-978	133
81	1	15108	13169	17
82	1	15317	14103	37
83	1	16044	13024	-15
84	1	16219	13949	18
85	1	19945	16352	66
86	1	20005	15015	18
87	1	20431	17783	26
88	1	19193	17551	56
89	1	18629	16458	38
90	1	20930	15990	6
91	1	19073	15417	15
92	1	19224	19143	43
93	1	20791	19049	23
94	1	21587	17265	36
95	1	27932	12181	160
96	1	27058	12478	161
97	1	26690	11673	155
98	1	27496	11416	162
99	1	29785	8509	161
100	1	29624	7599	160
101	1	28719	7795	159
102	1	28831	8668	153
103	1	25308	1279	108
104	1	25593	2154	95
105	1	26295	1123	59
106	1	26997	1993	74
107	1	29478	2276	77
108	1	29849	1566	86
109	1	28227	1854	79
110	1	28663	714	89
111	1	31309	-4456	69
112	1	30917	-5209	92
113	1	30423	-3907	81
114	1	29877	-4930	81
115	1	26949	-5158	92
116	1	26634	-4217	129
117	1	28010	-4893	72
118	1	27746	-3923	67
119	1	28756	-3891	97
120	1	34321	-3316	160
121	1	33784	-3942	157
122	1	33438	-2854	153
123	1	32925	-3455	162
124	1	32838	1587	163
125	1	33283	685	162
126	1	32207	880	156
127	1	32542	80	160
128	2	-14570	-10970	6
129	2	-14777	-12512	11
130	2	-15235	-11636	11
131	2	-14194	-11798	8
132	2	-6042	-11926	22
133	2	-9459	-9398	17
134	2	-7107	-12308	19
135	2	-8191	-9340	20
136	2	-5899	-10393	18
137	2	-7004	-9475	20
138	2	-7116	-10866	15
139	2	-8138	-11842	12
140	2	-8560	-10401	11
141	2	-25733	-9322	153
142	2	-26919	-9250	158
143	2	-26357	-8525	161
144	2	-26342	-10042	161
145	2	-29775	-11254	158
146	2	-29247	-10506	159
147	2	-28914	-11683	156
148	2	-28447	-10946	154
149	2	-29662	-14407	155
150	2	-31020	-15050	160
151	2	-30675	-14220	156
152	2	-30029	-15165	160
153	2	-26483	-18606	124
154	2	-27321	-18290	134
155	2	-25798	-17471	136
156	2	-26790	-17075	152
157	2	-23355	-14510	171
158	2	-23093	-15442	150
159	2	-24581	-14851	121
160	2	-24162	-16070	131
161	2	-25521	-15924	153
162	2	-27920	-22458	158
163	2	-27792	-21661	160
164	2	-26975	-22387	157
165	2	-26800	-21436	154
166	2	-26085	-22097	159
167	2	-25916	-26293	161
168	2	-26452	-25609	161
169	2	-25144	-25652	159
170	2	-25831	-24949	153
171	2	-24913	-24746	159
172	2	-14445	-21542	160
173	2	-14533	-22372	159
174	2	-15388	-21701	153
175	2	-15470	-22590	161
176	2	-15845	-26433	161
177	2	-14709	-25952	159
178	2	-14977	-26711	157
179	2	-15591	-25502	153
180	2	-17747	-28408	154
181	2	-17567	-29321	163
182	2	-18511	-29179	157
183	2	-18555	-28200	158
184	3	27030	-10083	157
185	3	28340	-9194	158
186	3	27715	-8737	160
187	3	27119	-9532	153
188	3	27811	-9969	160
189	3	30648	-10168	162
190	3	31326	-10804	160
191	3	29977	-10799	154
192	3	30612	-11403	155
193	3	30012	-11828	157
194	3	32478	-14753	162
195	3	30761	-14631	158
196	3	31580	-15139	158
197	3	31633	-14190	153
198	3	28637	-18600	125
199	3	27739	-17818	155
200	3	28761	-17474	145
201	3	26974	-17101	129
202	3	24381	-15405	150
203	3	24794	-14436	177
204	3	25547	-15826	125
205	3	25917	-14705	127
206	3	27936	-16813	154
207	3	26696	-15680	135
208	3	13661	-8255	-32
209	3	14435	-7708	-87
210	3	14118	-8896	-29
211	3	14839	-8730	-26
212	3	9923	-10310	-16
213	3	9250	-9659	2
214	3	10087	-9238	34
215	3	10708	-9850	23
216	3	12309	-12957	75
217	3	12887	-12266	78
218	3	13138	-13813	59
219	3	13973	-12327	49
220	3	16349	-15430	65
221	3	16057	-16353	43
222	3	14860	-16123	42
223	3	14878	-14881	59
224	3	16006	-14339	72
225	3	14317	-13636	64
226	3	10692	-18681	62
227	3	11741	-18008	60
228	3	12345	-16585	58
229	3	12126	-18912	85
230	3	12765	-17456	67
231	3	11061	-17217	72
232	3	11350	-19691	65
233	3	13078	-18532	80
234	3	10264	-18059	16
235	3	29183	-21768	160
236	3	29074	-22758	158
237	3	28331	-21516	153
238	3	28146	-22413	159
239	3	27606	-22155	158
240	3	27227	-24966	153
241	3	27719	-25833	162
242	3	26825	-25943	158
243	3	26357	-25145	158
244	3	26636	-24562	156
245	3	15852	-22397	159
246	3	16144	-21576	157
247	3	16831	-22523	160
248	3	17077	-21711	154
249	3	16315	-26604	158
250	3	16006	-25741	159
251	3	17154	-26237	157
252	3	16840	-25432	153
253	3	19710	-29353	159
254	3	18977	-28873	159
255	3	19039	-27963	152
256	3	19790	-27543	158
257	3	19906	-28369	157
258	4	20618	-15833	77
259	4	21288	-13484	67
260	4	20170	-11353	76
261	4	21851	-9160	73
262	4	20014	-6574	90
263	4	21580	-4205	78
264	4	19860	-1994	39
265	4	19264	1509	58
266	4	16027	2192	67
267	4	14588	5398	100
268	4	10516	5790	188
269	4	8532	8429	64
270	4	5468	7900	234
271	4	3789	10479	123
272	4	-2556	8727	229
273	4	-1898	10978	71
274	4	-5349	8114	106
275	4	-8050	8114	126
276	4	-9818	5152	186
277	4	-13453	5239	86
278	4	-15129	1954	63
279	4	-18729	836	76
280	4	-18371	-2486	64
281	4	-20319	-5082	85
282	4	-19047	-8105	52
283	4	-20291	-10933	53
284	4	-19323	-14495	35
285	5	804	27618	26
