ClassID	Division	PosX	PosY	PosZ
1	0	-8970	-6114	-10
2	0	-9023	-4305	-9
3	0	21127	2299	0
4	0	-1903	19105	0
5	0	-676	19019	0
6	0	1162	19106	0
7	0	-8622	7512	0
8	0	-8686	2776	0
9	0	-13098	7667	0
10	0	-13228	2872	0
11	0	-10507	7053	-10
12	0	-11385	7010	-10
13	0	-12392	6777	-10
14	0	-12821	5451	-10
15	0	-12723	4373	-10
16	0	-11355	3227	-10
17	0	-10400	3276	-10
18	0	-9458	3761	-10
19	0	-8820	4790	0
20	0	-8832	5635	0
21	0	-9542	6497	-10
22	0	-9217	6980	-10
23	0	-10394	4633	90
24	0	-10580	5787	90
25	0	-11601	5780	90
26	1	-10977	5189	90
27	0	3055	9105	-9
28	0	5783	7333	-9
29	0	5552	11059	-10
30	0	4240	11071	-9
31	0	3427	7503	-9
32	0	4950	7231	-9
33	0	5566	9861	90
34	0	5512	8673	90
35	0	4376	9772	90
36	0	4357	8510	90
37	1	4988	9182	90
38	0	6608	9245	-9
39	0	6646	7702	-10
40	0	6597	10722	-10
41	0	10543	13184	0
42	0	12855	13265	0
43	0	14861	13135	0
44	0	14781	11597	0
45	0	14827	9862	0
46	0	14943	8372	0
47	0	14897	6189	0
48	0	11140	-1941	60
49	0	11274	-5029	0
50	0	10433	1197	0
51	0	11972	1430	0
52	0	15163	717	0
53	0	14208	1110	0
54	0	12756	799	0
55	0	11534	-527	0
56	0	11232	-3185	0
57	0	9746	-2423	0
58	0	14769	4594	0
59	0	15169	3329	0
60	0	17016	3359	0
61	0	18297	3204	0
62	0	19975	3426	0
63	0	20844	1237	0
64	0	21278	-936	0
65	0	-5735	-5238	-10
66	0	-6271	-4523	89
67	0	-6392	-5810	90
68	0	-7682	-4465	89
69	1	-7161	-5212	90
70	0	-8471	-5115	-9
71	0	-9377	-5256	-10
72	0	-11660	-4552	89
73	0	-11698	-5760	90
74	0	-10387	-5732	90
75	0	-10403	-4592	89
76	1	-11191	-5233	90
77	0	-12354	-5190	-10
78	0	-11548	-3258	-10
79	0	-10772	-3472	-10
80	0	-9779	-3400	-9
81	0	-8817	-3470	-9
82	0	-7636	-3379	-9
83	0	-6420	-3097	0
84	0	-5433	-3832	-9
85	0	-4728	-2779	0
86	0	-4938	-4735	0
87	0	-4901	-5747	0
88	0	-5569	-6681	-10
89	0	-6550	-7082	-10
90	0	-7879	-7008	-10
91	0	-8910	-6944	-10
92	0	-10012	-6863	-9
93	0	-10992	-7558	0
94	0	-11657	-6941	-9
95	0	-13271	-7300	0
96	0	-13221	-5899	0
97	0	-13278	-4488	0
98	0	-13311	-2817	0
99	0	-12616	-3554	-10
100	0	-12496	-6693	-9
101	1	-2956	5252	100
102	0	612	922	0
103	0	1901	521	-10
104	0	4103	688	-9
105	0	3076	28	-9
106	0	6057	-1302	70
107	0	5627	-494	89
108	0	4425	-604	89
109	0	4327	-1799	90
110	1	5056	-1173	89
111	0	3453	-1144	-9
112	0	2492	-1233	-10
113	0	1669	-622	89
114	0	1668	-1817	90
115	1	1087	-1232	90
116	0	421	-827	89
117	0	416	-1865	90
118	0	-1338	1161	0
119	0	-646	345	-10
120	0	-735	-997	-9
121	0	-738	-2187	-9
122	0	461	-3300	0
123	0	1405	-2841	-9
124	0	2309	-3196	-10
125	0	2976	-2476	-10
126	0	3602	-3066	-10
127	0	7024	-3602	0
128	0	6768	-2304	-10
129	0	6953	-1053	-10
130	0	7450	1287	0
131	0	6661	91	-9
132	1	5088	-10074	90
133	0	6058	-13244	0
134	0	3297	-13752	0
135	0	3314	-15615	0
136	0	2422	-17181	0
137	0	2118	-19235	0
138	0	-144	-19307	0
139	0	-1989	-19136	0
140	0	-3079	-6949	0
141	0	-3017	-8879	0
142	0	-2943	-10162	0
143	0	-3043	-11750	0
144	0	-2877	-13474	0
145	0	-3034	-15184	0
146	0	-2976	-16520	0
147	0	-2824	-17903	0
148	0	-3390	-19264	0
149	0	-4771	-19221	0
150	0	-6361	-19059	0
151	0	-7765	-19594	0
152	0	-9142	-18657	0
153	0	-9090	-17078	0
154	0	-9086	-14954	0
155	0	-8961	-12582	0
156	0	-9185	-9950	0
157	0	-10484	-9079	0
158	0	-11543	-9601	0
159	0	-13226	-8863	0
160	0	-15006	-8674	0
161	0	-14944	-6977	0
162	0	-15278	-5617	0
163	0	-14753	-4543	0
164	0	-14846	-3025	0
165	0	-14854	2790	0
166	0	-15229	4070	0
167	0	-14934	6170	0
168	0	-15237	8331	0
169	0	-13718	9167	0
170	0	-10806	8951	0
171	0	-9056	8931	0
172	0	-8670	10446	0
173	0	-9197	12032	0
174	0	-9029	13641	0
175	0	-9175	15746	0
176	0	-9106	17747	0
177	0	-8168	18847	0
178	0	-5887	19212	0
179	0	-3071	18994	0
180	0	-2777	17833	0
181	0	-2859	15455	0
182	0	-2940	12098	0
183	0	-2803	13483	0
184	0	-2983	10239	0
185	0	-2733	9076	0
186	0	-1549	3818	0
187	0	-4228	4075	0
188	0	-1670	6006	0
189	0	-2398	7246	0
190	0	-3427	7076	0
191	0	-4539	7192	0
192	0	-1883	5087	60
193	0	-3784	5002	100
194	0	-2997	6309	100
195	0	-2984	4387	100
196	0	-2900	2913	0
197	0	-3917	2737	0
198	0	-2173	2872	0
199	0	-3112	1481	0
200	0	-3171	-479	0
201	0	-3054	-2443	0
202	0	-3025	-4110	0
203	0	-2928	-5699	0
204	0	-1696	-4915	0
205	0	340	-5152	0
206	0	3059	-5240	0
207	0	3149	-8930	-9
208	0	6865	-9130	-9
209	0	4949	-7192	0
210	0	5041	-11092	-9
211	0	5748	-9258	90
212	0	4628	-9356	90
213	0	4563	-8594	90
214	0	5488	-8600	90
215	0	6439	-7595	-10
216	0	3554	-7650	-10
217	0	3512	-10638	-9
218	0	6544	-10467	-10
219	0	9169	-7452	0
220	0	9143	-8949	0
221	0	8965	-11049	0
222	0	8174	-12689	0
223	0	10058	-12902	0
224	0	12201	-12789	0
225	0	14640	-13112	0
226	0	14900	-11318	0
227	0	14876	-9415	0
228	0	14689	-7045	0
229	0	15026	-5028	0
230	0	13816	-5000	0
231	0	12346	-4641	0
232	0	10150	-5186	0
233	0	9543	-3991	0
234	0	9752	-321	0
235	0	9002	738	0
236	0	9200	4722	0
237	0	9002	7229	0
238	0	9238	9206	0
239	0	9123	11383	0
240	0	9143	13220	0
241	0	7291	13160	0
242	0	4716	13100	0
243	0	2961	13517	0
244	0	3051	14927	0
245	0	3020	16320	0
246	0	2995	18403	0
247	0	2825	19258	0
