ClassID	Division	PosX	PosY	PosZ
1	1	-8645	9151	-14
2	2	-8623	8485	-14
3	3	-8582	7871	-14
4	2	-8258	7460	-6
5	3	-8624	7161	-14
6	1	-7228	7788	130
7	3	-9113	7167	-6
8	1	-8561	6629	-14
9	2	-7473	6462	82
10	3	-8369	5961	3
11	1	-7255	5691	136
12	2	-7378	4795	111
13	3	-8556	5060	-14
14	1	-8774	5568	-14
15	2	-9592	5932	0
16	3	-9897	3769	0
17	1	-10642	3691	73
18	2	-8603	4438	-14
19	3	-8692	3797	-14
20	1	-8604	2859	-14
21	2	-8624	3259	-14
22	3	-7863	3751	3
23	1	-7265	3628	136
24	2	-7292	2435	131
25	3	-8699	2022	-14
26	1	-7970	1462	0
27	2	-7285	1667	62
28	3	-8855	1242	-14
29	1	-9845	1590	0
30	2	-10497	1775	74
31	2	-9372	-75	9
32	2	-8369	800	-14
33	1	-7794	836	-6
34	2	-7931	224	-14
35	3	-7026	544	0
36	1	-7312	1123	0
37	2	-6608	2127	119
38	3	-6597	1211	0
39	1	-6116	1635	131
40	2	-6416	606	-7
41	3	-5878	917	-7
42	1	-5982	144	-7
43	2	-5435	1885	119
44	3	-5374	1308	23
45	1	-5552	411	-7
46	2	-4962	865	-16
47	3	-5476	-174	-7
48	1	-4778	-94	-16
49	3	-4489	1562	105
50	2	-5142	-873	-14
51	3	-4374	-976	-80
52	1	-6629	-655	-14
53	2	-5988	-872	-14
54	3	-6394	-192	0
55	1	-7075	-2	-14
56	2	-7122	-1038	-4
57	3	-7483	-395	-14
58	1	-7642	-1589	0
59	2	-6359	-3102	12
60	3	-6353	-1571	-4
61	1	-5774	-1697	6
62	2	-5332	-1398	-14
63	3	-5676	-2222	-10
64	1	-5074	-1924	-2
65	2	-5024	-2911	-10
66	3	-4512	-2900	-6
67	1	-4591	-2068	-10
68	3	-6441	-3804	74
69	1	-3216	871	-105
70	2	-3291	5	-203
71	3	-3578	-419	-194
72	1	-3244	-748	-203
73	2	-3707	-1294	-204
74	3	-3475	-1606	-203
75	1	-3740	-2208	-204
76	2	-3238	-2441	-203
77	3	-3001	-1817	-203
78	1	-2534	-1107	-202
79	2	-1871	-1950	11
80	3	-1591	-2723	11
81	1	-865	-2705	11
82	2	-741	-1897	0
83	3	-1023	-806	3
84	1	-1258	-1816	0
85	2	280	-1943	-18
86	3	-111	-2728	20
87	1	731	-2540	20
88	2	-211	-1675	-24
89	3	-562	-1046	-24
90	1	300	-1131	-24
91	2	-399	-206	-18
92	3	200	-504	-24
93	1	905	-793	-18
94	2	949	-1418	3
95	3	996	-1955	0
96	1	170	220	0
97	2	900	-116	0
98	3	1375	-644	0
99	2	1614	-1971	11
100	3	1511	-2789	11
101	1	869	-3661	-71
102	2	-57	-3791	-61
103	3	-938	-3882	-63
104	1	-65	-4697	-73
105	2	-3448	-3141	-316
106	3	-3072	-3209	-331
107	1	-2532	-3900	-403
108	2	-3324	-3879	-408
109	3	-3962	-3847	-408
110	1	-4232	-4303	-408
111	2	-4117	-5012	-408
112	3	-3031	-4591	-408
113	1	-2263	-4560	-408
114	3	-2274	-5304	-408
115	3	-4168	-5614	-410
116	3	-2647	-6542	-408
117	1	-3250	-6525	-408
118	2	-3987	-6530	-408
119	3	-3800	-7247	-408
120	1	-2797	-7274	-408
121	2	-3239	-7172	-408
122	3	-2298	-7075	-408
123	1	-4405	-4676	-408
124	2	-3648	-4481	-408
125	3	-2703	-4239	-408
126	2	724	-4732	-129
127	1	3079	-538	-203
128	2	3010	-1380	-203
129	3	3027	-2033	-203
130	1	3062	-2551	-203
131	2	3203	-3086	-300
132	3	2483	-3819	-408
133	1	3133	-3872	-408
134	2	3642	-3844	-408
135	3	4139	-3974	-408
136	1	4038	-4735	-408
137	2	3499	-4429	-408
138	3	3063	-4552	-408
139	1	2638	-4405	-408
140	2	2225	-4169	-408
141	3	2176	-4760	-408
142	3	2618	-6225	-408
143	1	2175	-5750	-398
144	2	2174	-5299	-398
145	3	4082	-6486	-408
146	1	3298	-6746	-408
147	2	2742	-6699	-408
148	3	43	-3379	0
149	1	2980	-85	-203
150	2	3514	-75	-185
151	3	2820	548	-194
152	1	3405	581	-202
153	2	2886	1000	-54
154	3	3532	1084	-25
155	1	3439	1536	105
156	2	2843	1621	137
157	3	1893	1613	116
158	1	2043	1999	255
159	2	-1236	23	20
160	3	-1609	608	11
161	1	-1735	3	11
162	2	-962	862	11
163	3	-1799	1483	77
164	1	-1752	2030	262
165	2	-2338	2756	286
166	3	-2709	2271	292
167	1	-2954	1576	105
168	1	-3703	1452	79
169	2	993	811	11
170	3	1460	523	11
171	1	2495	2837	286
172	2	2850	2241	298
173	3	3965	1803	119
174	1	4508	1163	0
175	2	4804	1670	131
176	3	4926	-1754	0
177	1	5086	-961	-14
178	2	5759	-1094	-14
179	3	5625	-1635	-4
180	1	6280	-1803	0
181	2	6324	-975	-14
182	3	5947	-357	0
183	1	5903	339	-7
184	2	6603	764	-7
185	3	6481	-18	0
186	1	7067	202	-4
187	2	6802	-530	-14
188	3	7472	-591	-6
189	1	7674	815	-4
190	2	7316	1779	79
191	3	8282	441	-14
192	1	7554	2448	57
