ClassID	Division	PosX	PosY	PosZ
1	0	-2420	-17107	479
2	0	-3707	-15504	513
3	0	-4635	-14372	578
4	0	-4759	-12686	647
5	0	-4962	-10905	711
6	0	-4864	-9313	776
7	0	-7973	-5026	631
8	0	-6934	-5112	641
9	0	-5528	-6026	663
10	0	-4345	-7985	837
11	0	-2737	-7061	1044
12	0	11522	-4065	1227
13	0	10784	-4866	1189
14	0	9646	-5951	1238
15	0	8896	-6695	1291
16	0	7219	-7109	1277
17	0	6031	-6852	1268
18	0	4687	-6331	1279
19	0	3562	-5929	1307
20	0	1688	-5356	1368
21	0	416	-5791	1258
22	0	-878	-5967	1171
23	0	-63	-4562	1267
24	0	1149	-2619	1591
25	0	1703	-619	1947
26	0	2009	1339	2355
27	0	2125	3590	2789
28	0	1682	5309	3065
29	0	3277	9860	3138
