ClassID	Division	PosX	PosY	PosZ
1	1	-1018	-197	109
2	1	120	-371	91
3	1	-16	380	83
4	1	-453	575	89
5	1	5029	1097	81
6	1	4729	986	58
7	1	4903	1521	99
8	1	4631	2211	124
9	1	4450	1787	89
10	1	202	2709	63
11	1	118	3327	71
12	1	89	3657	76
13	1	396	3836	79
14	1	973	3688	77
15	1	787	2728	64
16	1	553	2815	65
17	2	-926	216	102
18	2	-969	-442	112
19	2	-380	-608	104
20	2	118	117	85
21	2	4530	714	37
22	2	4971	1878	124
23	2	4318	2066	98
24	2	38	2958	66
25	2	649	3814	79
26	2	1129	3378	73
27	2	1041	2942	67
28	3	-1118	4472	86
29	4	3561	-1333	43
30	5	-2523	-855	146
