ClassID	Division	PosX	PosY	PosZ
1	0	14763	-3115	1097
2	0	16274	-1860	1115
3	0	15360	-175	1099
4	0	15518	569	1104
5	0	14108	605	1106
6	0	12190	1177	1059
7	0	11069	1888	847
8	0	11088	916	904
9	0	11348	-379	1103
10	0	10716	-285	1103
11	0	12723	-1419	1095
12	0	12700	-2243	1102
13	0	12712	-3026	1095
14	0	10588	-3400	1111
15	0	10870	-4103	1100
16	0	9307	-4911	1123
17	0	8786	-4582	1120
18	0	7800	-6453	544
19	0	6865	-6757	538
20	0	7445	-7864	521
21	0	7429	-8773	537
22	0	7325	-10716	543
23	0	9654	-11998	556
24	0	8792	-12027	556
25	0	8053	-11985	554
26	0	6628	-12711	560
27	0	7619	-13658	540
28	0	8158	-15881	563
29	0	8176	-15018	541
30	0	7258	-17370	550
31	0	9305	-17154	556
32	0	9968	-17129	553
33	0	10727	-17092	536
34	0	9703	-14949	534
35	0	10962	-14929	531
36	0	12271	-13811	559
37	0	12267	-14530	537
38	0	12239	-15174	537
39	0	10639	-11412	554
40	0	11557	-11580	567
41	0	11429	-10843	558
42	0	11019	-10405	555
43	0	11766	-10103	582
44	0	12085	-10775	572
45	0	11404	-8532	567
46	0	10884	-8030	550
47	0	13812	-9227	555
48	0	12944	-8584	572
49	0	13835	-8385	572
50	0	14489	-8542	572
51	0	16279	-8079	575
52	0	16883	-8415	572
53	0	16265	-8842	576
54	0	15524	-9260	572
55	0	16668	-9515	575
56	0	15949	-10192	572
57	0	15894	-11229	572
58	0	16601	-12060	576
59	0	16184	-14999	524
60	0	16721	-16188	530
61	0	13825	-16704	514
62	0	13905	-17669	554
63	0	13221	-17209	508
64	0	14494	-17162	508
65	0	13318	-18185	607
66	0	14431	-18239	607
