ClassID	Division	PosX	PosY	PosZ
62	0	3240	545	-50
63	0	346	1133	-50
64	0	-3030	-1045	-50
65	0	-1998	-866	-50
66	0	-1561	-2734	-50
67	0	-1138	-1041	-50
68	0	-782	-1953	-50
69	0	-467	-2966	-50
70	0	-28	-1090	-50
71	0	1504	-2802	-50
72	0	601	-3009	-50
73	0	1035	-2019	-50
74	0	966	-1027	-50
75	0	2755	-1330	-50
76	0	1940	-629	-50
77	0	3001	-293	-50
78	0	2363	630	-50
79	0	2871	1485	-50
80	0	1407	253	-50
81	0	1528	1184	-50
82	0	796	1761	-50
83	0	1557	2670	-50
84	0	653	2972	-50
85	0	-417	2941	-50
86	0	-1267	2240	-50
87	0	-695	1240	-50
88	0	-1658	947	-50
89	0	-2682	953	-50
