ClassID	Division	PosX	PosY	PosZ
1	0	-124	-7100	-788
2	0	-148	-8175	-578
3	0	-319	-9954	-223
4	0	-10932	369	-2
5	0	-6940	10749	0
6	0	-8172	9636	0
7	0	-9695	8107	0
8	0	-10940	6900	0
9	0	-11710	5711	0
10	0	-12520	4709	0
11	0	-12820	3086	0
12	0	-12891	1042	0
13	0	-12988	-317	0
14	0	-12886	-1630	0
15	0	-12867	-3411	0
16	0	-12136	-5418	0
17	0	-10391	-7180	0
18	0	-9326	-8369	0
19	0	-8423	-9439	0
20	0	-7114	-10845	0
21	0	-5840	-12007	0
22	0	-4585	-12666	0
23	0	-428	-11787	0
24	0	1197	-11740	0
25	0	12286	-5470	0
26	0	11000	104	-1
27	0	6707	11064	0
28	0	7787	9987	0
29	0	9484	8387	0
30	0	10960	6997	0
31	0	12464	5353	0
32	0	12896	3759	0
33	0	12740	1865	0
34	0	12673	-13	0
35	0	12666	-1844	0
36	0	12699	-3428	0
37	0	12668	-4484	0
38	0	11702	-6009	0
39	0	10758	-7510	0
40	0	9651	-8306	0
41	0	8509	-9288	0
42	0	7303	-10427	0
43	0	7303	-10427	0
44	0	6341	-11544	0
45	0	5034	-12490	0
46	0	2677	-12108	0
47	0	-3078	-12081	0
48	0	-6	-13629	0
49	2	2713	1773	-2009
50	2	-1253	1879	-2020
51	2	585	2004	-2045
52	1	-2385	275	-1960
53	1	-3423	1940	-1951
54	1	-3138	3113	-1956
55	1	-2730	4005	-2003
56	1	3201	4091	-2004
57	1	4422	3610	-2003
58	1	4871	1856	-1952
59	1	3979	579	-1952
