ClassID	Division	PosX	PosY	PosZ
1	3	6073	39707	-9
2	0	15	-27636	0
3	0	139	-29968	0
4	0	-2096	-21237	0
5	0	2221	-23051	0
6	0	2916	-23161	0
7	0	3326	-16198	0
8	0	6015	-17761	0
9	0	-4985	-16228	0
10	0	-6082	-16052	0
11	0	-4913	-15084	0
12	0	750	-12855	0
13	0	-1	-12895	49
14	0	-7249	-7015	0
15	0	-6418	-8816	0
16	0	7728	-7279	0
17	0	8756	1964	0
18	0	7600	1008	0
19	0	6061	-685	0
20	0	6121	858	0
21	0	-13162	270	0
22	0	-15755	2957	0
23	0	-13862	5208	0
24	0	-13885	7751	0
25	0	-13115	7390	0
26	0	-7476	5225	16
27	0	-6716	3897	43
28	0	-7852	4631	15
29	0	5943	13711	0
30	0	5918	13023	0
31	0	5924	13280	0
32	0	-356	9597	0
33	0	-542	8408	0
34	0	-979	-28670	0
35	0	931	-28751	0
36	0	82	-29865	0
37	0	45	-29018	0
38	0	55	-28070	0
39	0	4043	-15364	0
40	0	5901	-15551	0
41	0	4224	-16738	0
42	0	5896	-16828	0
43	0	3840	-18307	0
44	0	5955	-18452	0
45	0	-3887	-15497	0
46	0	-5765	-17041	0
47	0	-4106	-16958	0
48	0	-5972	-18658	0
49	0	-4132	-18747	0
50	0	-2069	-21932	0
51	0	-3170	-22888	0
52	0	-2007	-23190	0
53	0	1892	-23539	0
54	0	3031	-23784	0
55	0	2048	-22503	0
56	0	2966	-21614	0
57	0	2120	-21447	0
58	0	4955	-14932	0
59	0	-1087	-12749	0
60	0	1058	-12820	0
61	0	-110	-11985	0
62	0	-6009	-7219	0
63	0	-5977	-8675	0
64	0	-7748	-6879	0
65	0	-7817	-8821	0
66	0	-7965	-7894	0
67	0	-6714	-7081	0
68	0	-6777	-8799	0
69	0	-5807	-7922	0
70	0	7912	-7045	0
71	0	5964	-8710	0
72	0	7922	-8716	0
73	0	6993	-9248	0
74	0	6117	-7771	0
75	0	7981	-7798	0
76	0	7061	-6925	0
77	0	5912	77	0
78	0	6981	-937	0
79	0	8012	63	0
80	0	6928	1067	0
81	0	-7159	-1	0
82	0	-6695	487	0
83	0	-7757	-638	0
84	0	-6519	-709	0
85	0	-7714	688	0
86	0	-12089	35	0
87	0	-15748	2156	0
88	0	-13897	679	0
89	0	-12914	771	0
90	0	-12855	2197	0
91	0	-13475	3549	0
92	0	-14557	3890	0
93	0	-15515	3863	0
94	0	-15448	7117	0
95	0	-14092	7154	0
96	0	-15870	5871	0
97	0	-15171	4862	0
98	0	-14174	5830	0
99	0	-13004	5307	0
100	0	-12933	6342	0
101	0	-13819	8371	0
102	0	-6876	9003	0
103	0	-7513	9069	0
104	0	-6243	9036	0
105	0	523	9901	12
106	0	504	8233	32
107	0	1692	8993	0
108	0	5964	13844	0
109	0	3647	17575	0
110	0	4653	17537	0
111	0	6285	17619	0
112	0	5748	17577	0
113	0	7540	17531	0
114	0	-13187	8153	0
115	0	-13637	9052	0
116	0	-6872	9604	0
117	0	-6879	8424	0
118	0	1321	9486	5
119	0	555	9121	48
120	0	1360	8303	0
121	0	5405	13298	0
122	0	6455	13235	0
123	0	4035	17611	0
124	0	6012	17585	0
125	0	8592	17494	0
126	0	8042	21895	1000
127	0	4111	21973	1000
128	0	5310	22151	1000
129	0	6613	22147	1000
130	0	5691	22914	1000
131	0	5951	22330	1000
132	0	6279	22938	1000
133	0	11005	21269	0
134	0	12059	21267	0
135	0	10910	22282	0
136	0	12080	22305	0
137	0	12011	23380	0
138	0	11001	23345	0
139	0	10935	24447	0
140	0	12071	24425	0
141	0	10993	25577	0
142	0	12062	25523	0
143	0	12006	26421	0
144	0	10997	26543	0
145	0	938	20595	0
146	0	992	21414	0
147	0	-154	22719	0
148	0	1029	22581	0
149	0	-173	23859	0
150	0	1028	23969	0
151	0	-34	25134	0
152	0	1018	25133	0
153	0	93	26259	0
154	0	979	26280	0
155	0	5676	27589	-249
156	0	6297	27564	-249
157	0	4008	29739	0
158	0	4588	28081	0
159	0	7745	28135	0
160	0	8114	29646	0
161	0	5969	30260	-218
162	0	5910	29061	-201
163	0	5357	29790	-211
164	0	6623	29730	-206
165	0	7654	31165	0
166	0	4472	31339	0
167	0	5965	31520	0
168	7	15	-27636	0
169	7	139	-29968	0
170	7	-2096	-21237	0
171	7	2221	-23051	0
172	7	2916	-23161	0
173	7	3326	-16198	0
174	7	6015	-17761	0
175	7	-4985	-16228	0
176	7	-6082	-16052	0
177	7	-4913	-15084	0
178	7	750	-12855	0
179	7	-1	-12895	49
180	7	-7249	-7015	0
181	7	-6418	-8816	0
182	7	7728	-7279	0
183	7	8756	1964	0
184	7	7600	1008	0
185	7	6061	-685	0
186	7	6121	858	0
187	7	-13162	270	0
188	7	-15755	2957	0
189	7	-13862	5208	0
190	7	-13885	7751	0
191	7	-13115	7390	0
192	7	-7476	5225	16
193	7	-6716	3897	43
194	7	-7852	4631	15
195	7	5943	13711	0
196	7	5918	13023	0
197	7	5924	13280	0
198	7	-356	9597	0
199	7	-542	8408	0
200	7	-979	-28670	0
201	7	931	-28751	0
202	7	82	-29865	0
203	7	45	-29018	0
204	7	55	-28070	0
205	7	4043	-15364	0
206	7	5901	-15551	0
207	7	4224	-16738	0
208	7	5896	-16828	0
209	7	3840	-18307	0
210	7	5955	-18452	0
211	7	-3887	-15497	0
212	7	-5765	-17041	0
213	7	-4106	-16958	0
214	7	-5972	-18658	0
215	7	-4132	-18747	0
216	7	-2069	-21932	0
217	7	-3170	-22888	0
218	7	-2007	-23190	0
219	7	1892	-23539	0
220	7	3031	-23784	0
221	7	2048	-22503	0
