ClassID	Division	PosX	PosY	PosZ
190	2	19984	8917	-100
191	2	20668	7861	0
192	2	19263	7729	0
193	2	19995	6611	-100
194	2	20623	5483	3
195	2	19328	5407	0
196	2	19974	4375	0
197	2	20667	3225	0
198	2	19269	3174	0
199	2	20559	1462	0
200	2	19321	1367	0
201	2	21895	-7834	-400
202	2	23010	-9658	-200
203	2	23221	-8275	-366
204	2	24363	-7531	-200
205	2	22873	-6986	-400
206	2	24228	-5730	-200
207	2	22997	-5844	-400
208	2	24341	-4066	-200
209	2	23199	-4582	-400
210	2	23874	-2871	-200
211	2	22819	-3132	-295
212	2	22106	-1783	-200
213	2	22018	-3919	-400
214	2	19794	-3372	-400
215	2	17085	-2281	-200
216	2	17906	-3469	-400
217	2	15912	-3524	-180
218	2	17100	-4605	-400
219	2	15646	-4986	-200
220	2	16797	-5851	-400
221	2	15664	-6867	-200
222	2	16573	-7487	-380
223	2	15751	-8754	-200
224	2	17194	-8642	-337
225	2	18250	-9446	-287
226	2	16821	-9873	-200
227	2	18231	-10818	-200
228	2	20597	-18126	-2
229	2	19362	-18317	0
230	2	20046	-19274	-100
231	2	19432	-20996	0
232	2	20531	-21180	-3
233	1	20033	-22197	-100
234	1	19366	-23533	3
235	2	20564	-23691	-35
236	2	19341	-24907	0
237	2	20422	-26527	-73
238	2	18843	-26008	-100
239	2	16993	-26542	-58
240	2	16838	-25381	0
241	2	15658	-25960	-100
242	2	14807	-26782	0
243	2	14578	-25085	0
244	2	13772	-26013	-100
245	1	12630	-26881	0
246	2	12624	-25012	0
247	2	11890	-25891	-100
248	2	11025	-26697	0
249	2	10805	-25292	0
250	2	10028	-25945	-100
251	2	8159	-26736	0
252	2	8836	-26024	-100
253	2	7112	-25294	0
254	2	6929	-26681	0
255	2	5768	-25819	78
256	1	3255	24772	0
257	1	2418	25715	0
258	1	4115	25773	0
259	1	2530	27314	0
260	1	4244	27511	0
261	1	3751	29159	-240
262	1	3766	31126	-500
263	1	3505	33082	-190
264	1	2716	34663	0
265	1	3414	36677	0
266	1	1782	36132	0
267	1	1950	37512	19
268	1	-21	33795	-500
269	1	-2466	37358	19
270	1	-3849	36602	0
271	1	-2225	36016	0
272	1	-2504	34651	0
273	1	-3894	34694	0
274	1	-3659	32840	-240
275	1	-3835	30981	-500
276	1	-3810	28870	-190
277	1	-3891	25432	0
278	1	-4216	27188	0
279	1	-2656	27521	0
280	1	-1878	26269	0
281	1	-118	26848	-249
282	1	-1	25516	5
283	1	-2466	25104	0
284	1	-2544	23751	0
285	1	-1232	24931	20
286	1	36	24174	5
287	1	1153	23353	0
288	1	-1053	23222	0
289	1	-31	22131	-99
290	1	-17	20488	90
291	1	738	19518	0
292	1	-697	19281	0
293	1	0	18422	-100
294	1	687	17333	0
295	1	-643	17219	0
296	1	33	15877	-100
297	1	734	14922	0
298	1	-697	14811	0
299	1	37	13538	-100
300	1	647	12577	0
301	1	-665	12494	0
302	1	-13	11332	-100
303	1	-740	9574	0
304	1	797	9466	0
305	1	577	7517	0
306	1	-838	7575	0
307	1	3176	-3770	-200
308	1	1963	-1898	-400
309	1	3039	-2496	-342
310	1	4402	-2397	-200
311	1	4566	503	-200
312	1	3799	-577	-267
313	1	2815	-930	-400
314	1	3019	748	-400
315	1	4481	1620	-200
316	1	3360	2608	-293
317	1	2856	3923	-199
318	1	2188	1883	-400
319	1	-3670	3483	-200
320	1	-2781	2780	-314
321	1	-2718	1500	-400
322	1	-4368	1781	-200
323	1	-4297	-43	-200
324	1	-2640	200	-400
325	1	-3456	-1241	-381
326	1	-4385	-2220	-200
327	1	-2954	-2633	-325
328	1	-3671	-3586	-200
329	1	-1879	-3233	-314
330	1	-2214	-4433	-200
331	1	41	-11559	-100
332	1	721	-12594	0
333	1	-681	-12764	0
334	1	29	-13739	-100
335	1	649	-15064	0
336	1	-595	-15222	0
337	1	-3	-16566	-100
338	1	655	-17794	0
339	1	-824	-17803	0
340	1	726	-20505	0
341	1	-796	-20346	0
342	1	16	-21554	-100
343	1	644	-22611	0
344	1	-635	-22815	3
345	0	-17484	-10274	-199
346	0	-16873	-8753	-287
347	0	-15457	-7698	-199
348	0	-16307	-6682	-302
349	0	-17389	-7615	-399
350	0	-17250	-5821	-399
351	0	-15532	-5245	-199
352	0	-16462	-4045	-354
353	0	-16704	-2561	-199
354	0	-17761	-4059	-399
355	0	-22618	-2511	-179
356	0	-21428	-3750	-399
357	0	-24243	-3246	-199
358	0	-22971	-4400	-399
359	0	-24263	-5792	-199
360	0	-23103	-6039	-399
361	0	-24317	-7216	-199
362	0	-22960	-7223	-399
363	0	-24066	-8940	-199
364	0	-22408	-8815	-341
365	0	-22826	-9982	-199
366	0	-19265	-18666	0
367	0	-20705	-18821	0
368	0	-19906	-19640	-100
369	0	-20695	-21006	0
370	0	-19224	-21145	0
371	0	-19891	-22497	-99
372	0	-19273	-23651	0
373	0	-20599	-23765	0
374	0	-20097	-26284	-99
375	0	-19307	-25019	0
376	0	-18283	-25952	-95
377	0	-17378	-25164	0
378	0	-17156	-26722	0
379	0	-16251	-25952	-99
380	0	-15280	-25222	0
381	0	-15151	-26767	0
382	0	-14203	-25942	-100
383	0	-12681	-26756	0
384	0	-12676	-25129	0
385	0	-11281	-25224	0
386	0	-11239	-26659	0
387	0	-10244	-25884	-95
388	0	-9028	-26560	0
389	0	-9004	-25227	0
390	0	-7887	-25767	-100
391	0	-7584	-26829	0
392	0	-6296	-26023	-100
393	0	-5388	-25213	0
394	0	-5219	-26831	0
