ClassID	Division	PosX	PosY	PosZ
1	0	-2910	8415	0
2	0	-4301	7507	0
3	0	-6077	5560	0
4	0	-7480	4311	0
5	0	-8272	3360	0
6	0	-8487	1993	0
7	0	-8545	275	0
8	0	-8683	-907	0
9	0	-8701	-2310	0
10	0	-8356	-3767	0
11	0	-6969	-5260	0
12	0	-5314	-6958	0
13	0	-4054	-7998	0
14	0	-2497	-8611	0
15	0	2017	-8471	0
16	0	3211	-8135	0
17	0	4235	-7456	0
18	0	5243	-6524	0
19	0	6352	-5637	0
20	0	7677	-4347	0
21	0	8371	-2818	0
22	0	8461	-761	0
23	0	8404	815	0
24	0	8447	2007	0
25	0	8217	3354	0
26	0	7201	4508	0
27	0	6253	5421	0
28	0	5531	6264	0
29	0	4801	7044	0
30	0	3554	7895	0
31	0	2349	8341	0
32	2	2136	5656	0
33	1	1490	6166	0
34	1	2599	6446	0
35	1	1812	4828	0
36	1	3017	4915	0
37	1	4814	1855	0
38	2	5548	2489	0
39	1	5911	1306	0
40	1	4960	3174	0
41	1	6367	2692	0
42	4	2174	-5252	0
43	3	1734	-4591	0
45	3	3053	-4894	0
46	3	2623	-6283	0
47	4	5496	-2124	0
48	3	4738	-1756	0
50	3	4919	-2976	0
51	3	6587	-2614	0
52	6	-5451	-2321	0
53	5	-4470	-1980	0
54	5	-5647	-1563	0
55	5	-4880	-3078	0
56	5	-6501	-2707	0
57	6	-2271	-5351	0
58	5	-1945	-4687	0
59	5	-1558	-5782	0
60	5	-2954	-4812	0
61	5	-2645	-6264	0
62	8	-2082	5305	0
63	7	-1771	4494	0
65	7	-2889	4683	0
66	7	-2592	6479	0
67	8	-5247	2177	0
68	7	-4476	1773	0
70	7	-4914	2765	0
71	7	-6303	2610	0
72	9	1445	-2210	0
73	9	-2288	-1720	0
74	9	1757	1627	0
75	9	2543	-329	0
76	9	-602	-2679	0
77	9	-2524	517	0
78	9	-791	2205	0
