ClassID	Division	PosX	PosY	PosZ
36	0	34	-31437	0
34	0	-1382	-29993	0
32	0	30	-28557	0
30	0	10000	-29251	0
29	0	9991	-30753	0
28	0	12241	-30001	0
27	0	11496	-29253	0
26	0	11487	-30759	0
25	0	10736	-29998	0
24	0	7747	-30015	0
23	0	8481	-29254	0
22	0	8500	-30747	0
21	0	9248	-30008	0
132	0	20022	-18544	0
131	0	7747	-19998	0
130	0	8500	-20748	0
129	0	8494	-19247	0
128	0	9253	-20000	0
126	0	10003	-20746	0
125	0	10013	-19249	0
124	0	11505	-20751	0
123	0	12247	-20007	0
122	0	11492	-19239	0
121	0	10746	-19994	0
118	0	-1541	-20024	0
116	0	7	-18541	0
72	0	-39981	-21475	0
70	0	-28502	-29256	0
69	0	-27755	-30007	0
68	0	-28511	-30754	0
67	0	-29255	-29992	0
66	0	-30000	-29252	0
65	0	-30001	-30753	0
64	0	-32249	-30006	0
63	0	-31500	-30757	0
62	0	-31507	-29254	0
61	0	-30751	-30006	0
58	0	-18499	-29973	0
18	0	21515	-29986	0
1	0	29240	-30007	0
2	0	27753	-30006	0
3	0	28495	-30746	0
4	0	28494	-29249	0
5	0	30004	-30747	0
6	0	29999	-29250	0
8	0	30738	-30001	0
9	0	31496	-30760	0
10	0	32239	-30001	0
11	0	31495	-29256	0
13	0	18560	-29979	0
15	0	19989	-28468	0
16	0	20027	-31440	0
76	0	-40003	-18568	0
112	0	17	-21460	0
110	0	-10000	-20755	0
109	0	-9982	-19245	0
108	0	-12245	-19998	0
107	0	-11491	-20757	0
106	0	-11495	-19246	0
105	0	-10739	-19988	0
104	0	-8495	-20745	0
103	0	-8507	-19241	0
102	0	-7749	-20005	0
101	0	-9247	-19997	0
98	0	-21491	-20011	0
96	0	-20012	-18525	0
483	0	-30742	29996	0
482	0	-29991	30759	0
481	0	-29996	29251	0
480	0	-29247	30001	0
479	0	-27736	29994	0
478	0	-28495	30756	0
477	0	-28492	29250	0
474	0	-41460	29996	0
472	0	-39991	31437	0
470	0	-38592	30000	0
114	0	1391	-20027	0
150	0	27751	-19997	0
149	0	28499	-20737	0
148	0	28510	-19242	0
147	0	29251	-19995	0
146	0	30011	-20746	0
145	0	30009	-19238	0
143	0	31501	-19243	0
142	0	30757	-19998	0
141	0	32247	-20002	0
137	0	21477	-19978	0
135	0	18621	-19971	0
78	0	-41491	-19998	0
81	0	-27766	-20007	0
82	0	-28512	-19244	0
83	0	-28499	-20749	0
84	0	-29244	-19988	0
85	0	-30741	-19992	0
86	0	-31515	-19239	0
87	0	-31502	-20751	0
88	0	-32243	-20000	0
89	0	-29996	-19255	0
90	0	-30000	-20752	0
92	0	-19985	-21478	0
94	0	-18552	-20038	0
133	0	20023	-21472	0
163	0	38581	-9972	0
165	0	40017	-11465	0
167	0	41567	-9975	0
156	0	39995	-18555	0
267	0	-21511	-6	0
170	0	29249	-9993	0
171	0	27746	-10001	0
172	0	28492	-10749	0
173	0	28496	-9263	0
174	0	29991	-10747	0
175	0	29999	-9245	0
265	0	-19992	1475	0
177	0	30738	-10000	0
218	0	-18497	-9991	0
250	0	-29251	11	0
221	0	-30755	-10000	0
222	0	-32247	-9995	0
223	0	-31501	-10762	0
224	0	-31511	-9251	0
225	0	-30001	-10753	0
226	0	-29998	-9249	0
247	0	-38484	17	0
228	0	-29255	-10001	0
185	0	20011	-11481	0
152	0	39999	-21429	0
183	0	18589	-10006	0
181	0	20019	-8484	0
180	0	32243	-10005	0
179	0	31491	-9257	0
178	0	31483	-10764	0
154	0	41367	-20018	0
262	0	-18603	8	0
187	0	21459	-10015	0
161	0	40010	-8512	0
158	0	38507	-20016	0
271	0	20040	1484	0
259	0	-31481	-744	0
193	0	8493	-9255	0
274	0	20012	-1467	0
192	0	7753	-10005	0
191	0	8502	-10754	0
190	0	9240	-10004	0
260	0	-32245	-5	0
261	0	-19975	-1495	0
273	0	18713	9	0
253	0	-28498	-749	0
208	0	-9259	-10002	0
209	0	-8506	-10755	0
210	0	-8498	-9248	0
211	0	-7757	-10004	0
212	0	-19954	-11470	0
214	0	-21354	-10023	0
252	0	-28503	751	0
216	0	-19985	-8577	0
251	0	-27756	-6	0
56	0	-20005	-31456	0
54	0	-21402	-30011	0
52	0	-19990	-28510	0
50	0	-10003	-29250	0
49	0	-10013	-30756	0
48	0	-7747	-30007	0
47	0	-8509	-29248	0
46	0	-8505	-30755	0
45	0	-9266	-29998	0
44	0	-12250	-30000	0
43	0	-11504	-29254	0
42	0	-11501	-30761	0
41	0	-10761	-30009	0
38	0	1531	-29984	0
74	0	-38613	-20023	0
229	0	-28506	-10749	0
230	0	-28506	-9248	0
231	0	-27757	-10005	0
232	0	-39974	-11498	0
234	0	-38591	-10009	0
245	0	-39972	-1426	0
236	0	-39990	-8524	0
238	0	-41561	-10016	0
243	0	-41404	-15	0
241	0	-39997	1466	0
254	0	-30006	744	0
255	0	-29991	-740	0
206	0	-10001	-9256	0
205	0	-9996	-10744	0
204	0	-11510	-9254	0
203	0	-11500	-10755	0
202	0	-12252	-10007	0
201	0	-10755	-10007	0
200	0	12253	-10005	0
257	0	-30739	4	0
199	0	11497	-9250	0
258	0	-31491	748	0
198	0	11489	-10762	0
197	0	10737	-10002	0
195	0	9994	-9249	0
194	0	9991	-10754	0
288	0	28504	-744	0
287	0	28502	752	0
286	0	29250	4	0
284	0	30011	-746	0
283	0	30012	754	0
282	0	31500	-743	0
281	0	32251	-4	0
280	0	31502	757	0
279	0	30746	5	0
276	0	21515	-5	0
312	0	30002	9249	0
311	0	28500	9254	0
310	0	27749	9999	0
309	0	29243	10003	0
308	0	28494	10745	0
305	0	41504	9993	0
303	0	39991	8527	0
301	0	38528	10032	0
299	0	40011	11500	0
296	0	38466	-14	0
294	0	40012	1490	0
405	0	18518	20027	0
323	0	20024	8512	0
321	0	18490	10003	0
319	0	20018	11492	0
317	0	32242	9999	0
316	0	31499	9251	0
315	0	30746	9998	0
314	0	31493	10752	0
313	0	29997	10747	0
350	0	-19968	11466	0
348	0	-7753	10000	0
347	0	-8507	9248	0
346	0	-8504	10760	0
345	0	-9255	10000	0
289	0	27750	5	0
290	0	39987	-1501	0
292	0	41330	-29	0
332	0	9991	9249	0
333	0	9995	10750	0
334	0	11494	10753	0
335	0	10744	10000	0
336	0	11492	9245	0
337	0	12250	9995	0
339	0	-11502	10750	0
340	0	-10759	10003	0
341	0	-11506	9244	0
342	0	-12260	9998	0
343	0	-10008	9262	0
344	0	-10003	10752	0
366	0	-28507	10754	0
365	0	-29254	10000	0
364	0	-29999	9249	0
363	0	-30008	10752	0
362	0	-30754	10003	0
361	0	-31502	9251	0
360	0	-31501	10748	0
359	0	-32256	10000	0
356	0	-18490	9989	0
354	0	-20002	8460	0
352	0	-21518	10009	0
387	0	40011	18502	0
385	0	38475	20012	0
383	0	40009	21434	0
382	0	10003	20752	0
381	0	10009	19255	0
380	0	-10000	20744	0
379	0	-9998	19246	0
376	0	-38530	9990	0
374	0	-40008	8507	0
372	0	-41507	10013	0
370	0	-39992	11462	0
403	0	20012	21413	0
401	0	30738	20001	0
400	0	31500	19248	0
399	0	32251	19996	0
398	0	31494	20755	0
397	0	29992	20758	0
396	0	29988	19257	0
395	0	29255	20009	0
394	0	27747	20001	0
393	0	28496	19251	0
392	0	28500	20753	0
389	0	41484	20012	0
425	0	-5	18507	0
367	0	-28511	9252	0
368	0	-27750	9999	0
407	0	20028	18510	0
409	0	21498	19995	0
412	0	8500	20752	0
413	0	7742	20002	0
414	0	8487	19249	0
415	0	9241	20005	0
416	0	10739	19998	0
417	0	11496	20760	0
418	0	11496	19241	0
419	0	12247	19996	0
421	0	29	21515	0
423	0	-1492	20005	0
432	0	-11510	19255	0
431	0	-12256	19993	0
430	0	-11502	20755	0
427	0	1480	20006	0
463	0	-41500	20015	0
461	0	-39982	21460	0
459	0	-38550	19992	0
457	0	-27762	20006	0
456	0	-28516	19256	0
455	0	-28498	20768	0
454	0	-29251	20000	0
453	0	-30004	19257	0
452	0	-30001	20751	0
451	0	-31502	19248	0
450	0	-32255	19994	0
449	0	-31504	20753	0
448	0	-30754	20005	0
445	0	-18566	20004	0
559	0	-1490	-1994	0
558	0	1490	-2008	0
557	0	1502	1987	0
555	0	41433	30014	0
552	0	40008	31486	0
550	0	38558	30009	0
468	0	-40008	28541	0
465	0	-40001	18507	0
502	0	-10004	30753	0
501	0	-10006	29253	0
500	0	-11505	29241	0
499	0	-11502	30754	0
498	0	-12255	29995	0
497	0	-10755	30006	0
494	0	-19981	28507	0
492	0	-21467	30019	0
433	0	-10760	20004	0
434	0	-9254	20010	0
435	0	-8511	20762	0
436	0	-8532	19252	0
437	0	-7760	20012	0
439	0	-19972	21406	0
441	0	-21485	19999	0
443	0	-19970	18511	0
484	0	-31498	29246	0
485	0	-31498	30752	0
486	0	-32242	29993	0
488	0	-18557	29992	0
489	0	-19972	31493	0
512	0	42	31472	0
510	0	1490	29999	0
508	0	-22	28555	0
506	0	-7753	30000	0
505	0	-8504	29250	0
504	0	-9253	29999	0
503	0	-8504	30760	0
540	0	31501	29242	0
539	0	30763	29989	0
538	0	30002	29248	0
537	0	30007	30755	0
535	0	18556	30015	0
531	0	20003	28556	0
529	0	21453	30002	0
528	0	19996	31478	0
526	0	7754	29993	0
525	0	8506	30740	0
524	0	9257	30002	0
523	0	8505	29245	0
522	0	10008	29247	0
331	0	9246	9999	0
330	0	8492	9246	0
329	0	7747	9996	0
328	0	8496	10748	0
325	0	21490	10030	0
548	0	40015	28622	0
546	0	28502	30741	0
545	0	27760	29994	0
544	0	29243	30004	0
543	0	28497	29243	0
542	0	31503	30754	0
541	0	32254	30001	0
576	0	-1	-1001	0
575	0	3	1003	0
574	0	-742	2	0
573	0	761	2	0
572	0	5	-2997	0
571	0	10	-3739	0
570	0	14	-2240	0
569	0	752	-2997	0
515	0	-1450	30046	0
517	0	10754	29994	0
518	0	11501	29243	0
519	0	11504	30753	0
520	0	12252	29996	0
521	0	10009	30743	0
560	0	-1489	2007	0
561	0	1758	-7	0
562	0	-1753	-3	0
563	0	751	2998	0
564	0	-757	2995	0
565	0	-8	2241	0
566	0	-14	3739	0
567	0	-3	2993	0
568	0	-742	-2995	0
71	2	-29998	-30008	0
60	3	-19586	-29517	0
51	4	-10000	-30005	0
40	5	488	-29572	0
31	6	10000	-30000	0
20	7	20320	-29376	0
7	8	29997	-29996	0
80	10	-39546	-20401	0
91	11	-29998	-19995	0
100	12	-20495	-20414	0
111	13	-9989	-19999	0
120	14	-406	-19557	0
127	15	10001	-19997	0
140	16	19598	-20352	0
151	17	30006	-19999	0
160	18	40474	-19775	0
240	19	-39509	-9522	0
227	20	-30004	-9989	0
220	21	-19521	-10416	0
207	22	-9999	-10009	0
196	23	9992	-10001	0
189	24	19605	-9432	0
176	25	29989	-9998	0
169	26	40562	-9584	0
249	27	-39503	496	0
256	28	-30003	0	0
269	29	-19543	-434	0
278	30	20452	428	0
285	31	30003	5	0
298	32	40559	-357	0
378	33	-39483	10422	0
369	34	-30011	9995	0
358	35	-20461	9616	0
349	36	-10003	10004	0
338	37	9997	10000	0
327	38	20521	9592	0
318	39	29999	9999	0
307	40	40597	9345	0
467	41	-39453	20514	0
458	42	-30002	19996	0
447	43	-20500	19591	0
438	44	-10003	20002	0
429	45	508	20520	0
420	46	9992	19996	0
411	47	20540	19550	0
402	48	29996	20000	0
391	49	40642	19631	0
476	50	-39516	29504	0
487	51	-29999	29993	0
496	52	-19495	29515	0
507	53	-10005	30007	0
516	54	-479	30441	0
527	55	10003	29995	0
536	56	20523	29467	0
547	58	30003	29994	0
556	59	39552	29453	0
577	60	5	1	0
