ClassID	Division	PosX	PosY	PosZ
1	0	348	-8179	1104
2	0	397	-6492	863
3	0	278	6795	141
4	0	215	5690	98
5	0	311	3403	148
6	0	290	1173	124
7	0	-1114	1376	-3
8	0	1746	1308	38
9	0	-188	31	148
10	0	830	96	161
11	0	348	-939	194
12	0	455	-2166	325
13	0	516	-3866	567
14	0	713	-5141	719
15	0	-945	-9860	1353
16	0	-2380	-10952	1656
17	0	-3142	-12038	1788
18	0	-3274	-13018	1765
19	0	-2885	-13923	1666
20	0	-2587	-14724	1588
21	0	-1927	-15397	1461
22	0	-1205	-15606	1362
23	0	-324	-16067	1167
24	0	497	-16637	938
25	0	1727	-17510	849
26	0	2501	-18859	973
27	0	2820	-19979	1063
