ClassID	Division	PosX	PosY	PosZ
1	3	-6857	20025	-635
2	3	-7252	19127	-698
3	3	-7623	19140	-730
4	3	-8051	19241	-733
5	3	-8269	19686	-732
6	3	-7025	19391	-680
7	3	-6832	19513	-632
8	3	-6988	19772	-668
9	4	-7133	19239	-690
10	3	-7403	19210	-722
11	3	-7744	19194	-733
12	3	-8049	19432	-736
13	3	-7219	19378	-724
14	3	-7099	19538	-701
15	3	-7096	20286	-685
16	3	-7749	20275	-725
17	3	-7161	19949	-712
18	3	-7436	20280	-714
19	3	-8113	19889	-735
20	3	-8093	20154	-729
21	3	-6950	18002	-615
22	3	-7023	18149	-633
23	3	-7460	18413	-680
24	3	-7922	18468	-717
25	3	-7670	18239	-661
26	3	-7191	18312	-655
27	3	-7313	17992	-622
28	3	-7592	17983	-620
29	3	-7880	17996	-629
30	3	-8209	18266	-649
31	3	-8119	17955	-619
32	3	-8388	18049	-632
33	4	-7709	17644	-609
34	3	-7474	15772	-433
35	3	-7799	15790	-486
36	3	-7239	15734	-411
37	3	-7637	15565	-465
38	3	-8193	15766	-522
39	3	-8535	15734	-534
40	3	-7012	15546	-416
41	3	-7384	15491	-427
42	3	-7355	15261	-429
43	4	-7619	15308	-470
44	3	-7984	15486	-523
45	3	-7981	15294	-530
46	3	-8269	15460	-525
