ClassID	Division	PosX	PosY	PosZ
1	0	-24686	-7836	289
2	0	-24766	-8768	-19
3	0	-22690	-8781	40
4	0	-21561	-8809	40
5	0	-20039	-8780	280
6	0	-17508	-8935	-20
7	0	-18583	-8806	39
8	0	-15461	-8610	-19
9	0	-14774	-9640	-20
10	0	-16271	-9657	-19
11	0	-17173	-9712	-20
12	0	-18994	-9942	-20
13	0	-20105	-9960	0
14	0	-21227	-9985	-19
15	0	-23637	-9993	-9
16	0	-25620	-9979	-19
17	0	-24885	-11058	-19
18	0	-23412	-10906	-19
19	0	-24542	-7044	300
20	0	-23765	-5767	280
21	0	-25089	-5876	280
22	0	-25097	-4119	280
23	0	-23604	-4270	280
24	0	-16469	-4111	279
25	0	-15249	-4071	279
26	0	-15372	-5567	279
27	0	-16221	-5627	279
28	0	-15282	-7488	309
29	0	-15313	-6397	279
30	0	-16374	-6474	279
31	0	-16432	-7531	279
32	0	-17485	-7559	279
33	0	-18332	-7639	279
34	0	-19207	-7638	279
35	0	-21195	-7688	280
36	0	-22188	-7631	280
37	0	-23398	-7658	280
38	0	-21162	-11749	10
39	0	-22174	-12037	-19
40	0	-23101	-12082	-19
41	0	-23976	-12107	-19
42	0	-24711	-12100	-19
43	0	-25479	-12127	-19
44	0	-22088	-12720	-19
45	0	-21304	-12599	-19
46	0	-20532	-12557	0
47	0	-19632	-12498	0
48	0	-19711	-13372	0
49	0	-20444	-13362	0
50	0	-19619	-14354	0
51	0	-20582	-14375	0
52	0	-19638	-15116	0
53	0	-20508	-15230	0
54	0	-19638	-15866	0
55	0	-20496	-15863	0
56	0	-22184	-10832	-19
57	0	-20983	-10759	0
58	0	-19794	-10687	0
59	0	-18612	-10673	-20
60	0	-16861	-10449	-20
61	0	-15638	-10349	-19
62	0	-14588	-10220	-20
63	0	-14650	-12304	-20
64	0	-14507	-11256	-20
65	0	-20273	-11730	0
66	0	-19345	-11663	0
67	0	-18421	-11618	-20
68	0	-18525	-12382	-20
69	0	-17467	-12333	-20
70	0	-17436	-11516	-20
71	0	-16324	-11390	-19
72	0	-16492	-12253	-20
73	0	-15570	-12270	-20
74	0	-15543	-11401	-20
75	1	5599	15672	280
76	1	5108	15115	280
77	1	3754	15268	280
78	1	3235	16049	280
79	1	4031	16429	280
80	1	4836	16499	280
81	1	5838	16452	280
82	1	6709	16440	280
83	1	7604	16449	280
84	1	7862	17651	280
85	1	6902	17521	280
86	1	6796	18470	280
87	1	7531	18867	280
88	1	8270	18669	289
89	1	6279	15169	280
90	1	6859	15680	300
91	1	7529	15076	280
92	1	8540	15327	-19
93	1	9657	14538	-19
94	1	11140	13850	-19
95	1	10747	14949	-19
96	1	11667	16079	-19
97	1	10579	16522	-9
98	1	11701	14694	-19
99	1	11476	17326	-19
100	1	11822	18082	-19
101	1	10344	17675	-19
102	1	9594	16861	-19
103	1	6910	20999	279
104	1	7775	20981	279
105	1	7610	21734	279
106	1	6826	21661	279
107	1	6755	22332	279
108	1	7664	22588	279
109	1	7543	23332	279
110	1	6641	22977	279
111	1	6727	23868	279
112	1	7508	24288	279
113	1	7386	25062	279
114	1	6635	24771	299
115	1	8444	24759	-19
116	1	9447	25359	-20
117	1	10338	25422	-20
118	1	11335	25421	-20
119	1	11470	24214	-20
120	1	10277	24372	-19
121	1	11515	23184	-20
122	1	10101	23388	-20
123	1	9173	22982	-20
124	1	10459	22339	-20
125	1	11739	22025	-20
126	1	10368	21165	-20
127	1	8829	21345	9
128	1	8433	20042	280
129	1	9800	19981	0
130	1	9802	19033	0
