ClassID	Division	PosX	PosY	PosZ
1	0	-1302	13448	0
2	0	-1334	15143	0
3	0	-1318	16775	0
4	0	1416	16937	0
5	0	1511	16088	0
6	0	1596	14918	0
7	0	1540	13381	0
8	0	-19	7119	0
9	0	-1897	-10881	0
10	0	-2043	-8971	0
11	0	-5856	-10422	30
12	0	-5819	-9295	30
13	0	-4410	-9869	0
14	0	-3798	-9901	0
15	0	-2698	-9826	0
16	0	-1866	-9899	0
17	0	-1059	-9345	0
18	0	-89	-10272	0
19	0	-233	-9426	0
20	0	-941	-10322	0
21	0	-662	-9231	0
22	0	-1184	-9845	0
23	0	-519	-10598	0
24	0	-60	-9888	0
25	0	530	-9890	0
26	0	1125	-9903	0
27	0	2767	-9916	0
28	0	3673	-9943	0
29	0	4233	-9529	0
30	0	4272	-8361	0
31	0	4284	-7294	0
32	0	4285	-6361	0
33	0	4317	-5663	0
34	0	4282	-4960	0
35	0	3430	-4906	0
36	0	2543	-4892	0
37	0	-1040	-4906	0
38	0	-1063	-3797	0
39	0	-1099	-2605	0
40	0	-1107	-1625	0
41	0	1174	-1480	0
42	0	1156	-2759	0
43	0	1138	-4183	0
44	0	1	-5536	0
45	0	-16	-4813	0
46	0	-24	-3756	0
47	0	-32	-3151	0
48	0	-31	-2524	0
49	0	30	-1884	0
50	0	-18	-1166	0
51	0	-87	490	0
52	0	-57	1089	0
53	0	377	5036	0
54	0	-285	5028	0
55	0	471	4343	0
56	0	-369	4307	0
57	0	26	2735	0
58	0	33	5178	0
59	0	42	3938	0
60	0	-405	4746	0
61	0	472	4732	0
62	0	12	5827	0
63	0	-18	9393	0
64	0	-68	7902	0
65	0	-29	8885	0
66	0	-8	9883	0
67	0	830	17557	0
68	0	-970	17597	0
69	0	379	18805	0
70	0	-339	18699	0
71	0	397	11793	0
72	0	-345	12064	0
73	0	366	13153	0
74	0	-381	14181	0
75	0	365	15167	0
76	0	-377	16003	0
77	0	251	16944	-20
78	0	-162	17566	0
79	0	-633	18283	0
80	0	495	18328	0
81	0	60	18300	0
