ClassID	Division	PosX	PosY	PosZ
1	0	-1211	-184	-708
2	0	1628	-4160	-1968
3	0	2555	3472	-1950
4	0	1516	-6540	-2099
5	0	-941	-2910	-1255
6	0	-2391	-202	-726
7	0	-264	3203	-1503
8	0	516	3740	-1627
9	0	2122	4498	-1915
10	0	3838	5112	-1757
11	0	3631	3621	-2007
12	0	2138	2315	-2020
13	0	1513	1261	-1965
14	0	830	-2307	-2003
15	0	1011	-403	-1934
16	0	802	-1195	-1998
17	0	5808	-7626	-2085
18	0	3589	-7737	-2060
19	0	3856	-6701	-2101
20	0	2025	-5841	-2082
21	0	-627	-4244	-1604
22	0	-15	-3857	-1614
23	0	-1847	-970	-723
24	0	-3737	1246	-833
25	0	-3030	504	-758
