ClassID	Division	PosX	PosY	PosZ
12	2	12288	11447	0
13	2	12917	11972	0
14	2	13680	11384	0
15	2	14106	12047	0
16	2	14831	11287	0
17	2	15351	11968	0
18	2	16049	11379	0
19	2	16692	12022	0
20	2	17279	11428	2
21	2	13522	10558	0
22	2	12608	10590	0
23	2	12032	9712	0
24	2	12291	9336	0
25	2	13484	9690	0
26	2	14076	8961	0
27	2	14597	9791	0
28	2	15154	9032	0
29	2	15866	9629	2
30	2	16538	9072	0
31	2	17212	9520	0
32	2	15413	10561	0
33	2	16423	10552	0
34	2	17407	10554	0
35	2	25344	322	0
36	2	24573	360	0
37	2	23605	382	0
38	2	25386	-632	0
39	2	24285	-449	0
40	2	23601	-577	0
41	2	25372	-1628	0
42	2	24483	-1592	4
43	2	23559	-1578	0
44	1	23643	-2500	0
45	2	24465	-2493	0
46	1	25312	-2487	0
47	2	25308	-3393	0
48	1	24521	-3434	0
49	2	23615	-3469	0
50	2	19221	357	0
51	2	18498	421	0
52	2	17631	414	0
53	2	19327	-559	0
54	2	18253	-412	0
55	2	17625	-538	0
56	2	19269	-1533	0
57	2	18443	-1549	0
58	2	17570	-1544	0
59	1	17650	-2437	0
60	2	18479	-2488	0
61	1	19338	-2450	0
62	1	19339	-3401	0
63	2	18502	-3402	0
64	1	17755	-3401	0
65	1	14451	-9624	0
66	1	14473	-10381	0
67	1	14508	-11262	0
68	1	13645	-9515	0
69	1	13609	-10378	0
70	1	13617	-11225	0
71	1	12610	-9493	0
72	1	12619	-10395	4
73	1	12618	-11265	0
74	1	11638	-9659	0
75	1	11601	-10438	0
76	1	11594	-11220	0
77	1	10614	-9612	0
78	1	10573	-10411	0
79	1	10599	-11253	0
80	1	3520	-6151	0
81	1	2547	-6238	0
82	1	1534	-6247	0
83	1	1539	-5191	0
84	1	1530	-4204	0
85	1	2552	-5147	-29
86	1	2525	-4349	-29
87	1	3519	-5074	-29
88	1	3497	-4155	-29
89	1	4446	-6290	0
90	1	4479	-5235	-29
91	1	4446	-4365	-29
92	1	5423	-6282	0
93	1	5473	-5357	0
94	1	5458	-4388	0
95	1	2360	-3250	-29
96	1	3388	-3302	-29
97	1	4409	-3357	-29
98	1	5421	-3357	0
99	1	5369	-2491	5
100	1	4418	-2412	-29
101	1	3390	-2431	-29
102	1	2545	-2330	-29
103	1	1496	-3224	0
104	1	1516	-2382	0
105	1	1516	-1461	0
106	1	5424	-1505	0
107	0	4492	-1461	-29
108	1	3535	-1456	-29
109	0	2544	-1375	-30
110	0	1750	-506	4
111	0	5395	-533	0
112	1	4423	-490	0
113	1	2620	-501	0
114	0	3496	-520	0
115	0	-848	3596	0
116	0	-1826	3584	7
117	0	-2688	3576	0
118	0	-3742	3612	-190
119	0	-5223	3584	-200
120	0	-2306	2018	-199
121	0	-3140	2021	-199
122	0	-3928	1984	-199
123	0	-2329	2699	-199
124	0	-3212	2753	-199
125	0	-4076	2738	-199
126	0	-4679	1782	-199
127	0	-4978	2710	-199
128	0	-1998	4549	-200
129	0	-2434	5196	-200
130	0	-3020	4563	-200
131	0	-3547	5182	-200
132	0	-4044	4507	-200
133	0	-4923	4410	-200
134	0	-4548	5465	-200
135	0	-5659	2003	-199
136	0	-5931	2591	-189
137	0	-6501	2034	-190
138	0	-6825	2677	-199
139	0	-5554	5169	-200
140	0	-5813	4564	-200
141	0	-6579	5207	-200
142	0	-6825	4530	-200
143	0	-6568	3623	7
144	0	-7508	3596	7
145	0	-12400	3465	0
146	0	-13603	3628	0
147	0	-14616	3635	0
148	0	-15629	3640	0
149	0	-15481	1911	-200
150	0	-14740	2684	-200
151	0	-15717	2787	-200
152	0	-16237	2290	-200
153	0	-16811	3013	-200
154	0	-14526	4445	-199
155	0	-15508	5342	-200
156	0	-15417	4513	-200
157	0	-16263	4813	-200
158	0	-16765	4206	-200
159	0	-17398	3618	-200
160	0	-18170	3581	-280
161	0	-19104	3927	-400
162	0	-20243	3635	-400
163	0	-21270	3596	-399
