ClassID	Division	PosX	PosY	PosZ
1	2	-104	5499	0
3	2	2209	3647	0
4	2	1877	4576	0
5	2	1171	3926	0
6	2	712	4644	0
7	2	-524	4549	0
8	2	-1490	4608	0
9	2	11	3595	88
11	2	-1878	3745	0
12	2	-2602	4223	0
14	2	-2621	3195	0
15	2	-1481	2500	86
16	2	-595	1803	93
17	2	-288	2511	86
18	2	559	2845	86
19	2	528	1708	93
20	2	1625	2821	86
21	2	1489	1825	86
22	2	2366	1053	86
23	2	3206	186	86
24	1	2598	2006	86
25	1	1453	506	93
26	1	349	730	93
27	1	-701	916	93
28	1	-1549	1486	86
29	1	-2372	2026	86
30	1	-3167	2541	0
31	1	-4105	2514	0
32	1	-3945	1489	0
33	1	-4827	887	4
34	1	-4099	-7	0
35	1	-4956	-217	0
36	1	-4409	-1093	0
37	1	-4443	-2011	0
38	1	-3613	-1679	0
39	1	3138	291	86
40	1	3807	1129	0
41	1	4676	1267	0
42	1	4204	141	0
43	1	4999	268	0
44	1	2281	-246	86
45	1	1534	-462	93
46	1	591	-434	93
47	1	128	-1239	93
48	1	-257	-142	93
49	1	-827	-1113	93
50	1	-1283	42	93
51	1	-3058	1289	86
52	1	-2125	628	86
53	1	-3046	220	86
54	1	-1961	-493	86
55	1	-3166	-685	86
56	1	-2267	-1296	86
57	1	-1473	-1723	86
58	1	-507	-2093	86
59	1	737	-2086	86
60	1	1610	-1392	86
61	1	2788	-1145	86
62	1	2368	-2005	86
63	1	4825	-699	0
64	1	3882	-985	0
65	1	4624	-1821	0
66	1	3682	-1845	0
67	0	3899	-2807	0
68	0	-2778	-1983	86
69	0	-1848	-2622	86
70	0	-4012	-3057	0
71	0	-2984	-3003	0
72	0	-3007	-3975	0
73	0	-2045	-3615	0
74	0	1706	-2707	86
75	0	767	-3093	86
76	0	3018	-2648	0
77	0	3211	-3596	0
78	0	2251	-3451	0
79	0	2136	-4552	0
80	0	1288	-4039	0
81	0	-336	-3090	86
83	0	203	-3922	0
84	0	-1654	-4593	0
85	0	-710	-4264	0
