ClassID	Division	PosX	PosY	PosZ
1	1	-1333	4531	-119
2	1	475	4628	-160
3	1	2554	7149	-160
4	1	1801	7187	-200
5	1	880	9842	-119
6	0	790	7888	-400
7	0	841	6893	-400
8	1	994	5879	-240
9	1	-1317	5756	-200
10	1	-191	5510	-200
11	0	-820	6488	-400
12	0	-805	7664	-399
13	0	-165	7084	-400
14	0	-130	8242	-359
15	1	-123	9551	-199
16	0	-1383	9937	-79
17	1	-1183	8412	-279
18	0	-1500	7272	-200
19	0	-2403	7197	-200
20	2	15902	15856	0
21	2	16491	16927	0
22	2	15735	16724	0
23	2	14722	16693	0
24	2	13663	16826	0
25	2	13867	15914	0
26	2	13975	14931	0
27	2	15183	14927	0
28	2	16211	14855	0
29	2	16102	14084	0
30	2	15261	14094	0
31	2	14370	14080	0
32	2	13535	14028	0
33	2	15566	10806	0
34	2	16486	11151	0
35	2	16227	10205	0
36	2	15147	9978	0
37	2	15771	9227	0
38	2	14945	9201	0
39	2	14538	10408	0
40	2	14124	9722	0
41	2	13955	10973	0
42	2	13435	10351	0
43	2	15677	8305	0
44	2	14843	8372	0
45	2	13813	8820	0
46	2	13051	9542	0
47	2	12997	8270	0
48	2	13920	7884	0
49	2	13116	7195	0
50	2	14775	7391	0
51	2	14012	6858	0
52	2	13256	6342	0
53	2	12307	8888	0
54	2	12340	7842	0
55	2	12412	6895	0
56	2	12381	6010	0
57	2	11458	8489	0
58	2	11453	7618	0
59	2	11563	6736	0
60	2	11493	5751	0
61	2	8045	7442	0
62	2	7529	6815	0
63	2	8401	5763	0
64	2	7519	5808	0
65	2	8434	4694	0
66	2	7422	4779	0
67	2	5755	4602	0
68	2	4728	4734	0
69	2	6568	5134	0
70	2	6549	6106	0
71	2	6500	6856	0
72	2	6398	7750	0
73	2	6229	8636	0
74	2	5500	7878	0
75	2	4544	7649	0
76	2	4409	6782	0
77	2	5083	6986	0
78	2	5147	5889	0
79	2	4228	5803	0
80	2	3293	5791	0
81	2	3303	6513	0
82	2	3344	7656	0
83	2	3345	8769	0
84	2	3309	5018	0
85	2	3179	4084	0
86	2	2372	2810	0
87	2	2408	3623	0
88	2	1555	3660	0
89	2	1555	2807	0
90	2	608	2750	0
91	2	661	3655	0
92	1	7696	8866	0
93	1	8410	8805	0
94	1	8382	9692	0
95	1	7751	9703	0
96	1	6733	9787	0
97	1	5778	9717	0
98	1	4649	9690	0
99	1	4255	8770	0
100	1	8966	17812	1000
101	1	8857	16870	1000
102	1	8902	15963	1000
103	1	8906	14995	1000
104	1	8036	15450	1000
105	1	8000	16413	1000
106	1	7949	17338	1000
107	1	7123	17180	1000
108	1	7108	16153	1000
109	1	7132	15189	1000
110	1	6299	15003	1000
111	1	6275	15912	1000
112	1	6264	16900	1000
113	1	6185	17843	1000
114	1	3388	9945	0
115	1	2780	10597	0
116	1	2533	11622	0
117	1	1886	10667	0
118	1	1550	11611	0
119	1	957	10658	0
120	1	709	11568	0
121	1	-928	29173	-1000
122	1	-923	28198	-1000
123	1	-852	27322	-1000
124	1	-407	26540	-1000
125	1	-1077	26316	-1000
126	1	-1707	26973	-1000
127	1	-1714	27957	-1000
128	1	-1825	28707	-1000
129	1	-2654	28949	-1000
130	1	-2604	28104	-1000
131	1	-2559	27388	-1000
132	1	-2711	26486	-1000
133	1	-3470	26326	-1000
134	1	-3444	27185	-1000
135	1	-3476	28139	-1000
136	1	-3434	29144	-1000
137	1	-7913	28816	-1000
138	1	-8919	28568	-1000
139	1	-8393	27751	-1000
140	1	-7517	27918	-1000
141	1	-7517	27082	-1000
142	1	-8245	26907	-1000
143	1	-9285	27561	-1000
144	1	-9808	28298	-1000
145	1	-10543	27891	-1000
146	1	-7615	26174	-1000
147	1	-8477	25928	-1000
148	1	-9028	26644	-1000
149	1	-9730	26220	-1000
150	1	-10009	27071	-1000
151	1	-10594	26403	-1000
152	1	-11114	27170	-1000
153	1	-11649	26422	-1000
154	1	-9265	25414	-1000
155	1	-10230	25547	-1000
156	1	-11157	25672	-1000
157	1	-11983	25618	-1000
158	1	-12337	25002	-1000
159	1	-11482	24817	-1000
160	1	-10635	24784	-1000
161	1	-9625	24594	-1000
162	1	-9893	23896	-1000
163	0	-10797	23893	-1000
164	1	-11569	23915	-1000
165	0	-12408	24017	-1000
166	0	-11362	19646	-1000
167	1	-12171	19215	-1000
168	1	-11943	18301	-1000
169	0	-11030	18754	-1000
170	1	-10722	17862	-1000
171	1	-11571	17580	-1000
172	0	-10974	16860	-1000
173	1	-10974	16860	-1000
