ClassID	Division	PosX	PosY	PosZ
2	2	13939	9720	-923
3	2	13809	7908	-1120
4	2	16458	7611	-1181
5	2	16092	8316	-1265
6	2	16177	9251	-1262
7	2	16199	10102	-1113
8	2	15512	9692	-1141
9	2	15463	8811	-1281
10	2	15731	7710	-1155
11	2	14947	8134	-1181
12	2	14706	8840	-1308
13	2	13913	8822	-1335
14	2	12666	9803	-1038
15	2	13104	8999	-1240
16	2	12870	8032	-1153
17	2	11789	8475	-1012
18	2	11829	9638	-930
19	2	10909	9730	-788
20	2	10527	9176	-896
21	2	10907	7712	-776
22	2	9987	8057	-837
23	2	9826	9573	-775
24	2	9339	8739	-913
25	2	8262	8828	-764
26	2	6820	8865	-630
27	2	5724	8879	-629
28	2	4426	8710	-628
29	2	3224	8537	-630
30	2	2169	8377	-629
31	2	895	8340	-624
32	2	-622	8516	-626
33	2	-1511	7892	-621
34	2	-1850	7264	-605
35	1	-1893	6127	-440
36	1	-1397	5050	-249
37	1	-1289	3847	-274
47	1	-1879	3260	-418
48	1	-2515	2805	-585
49	1	-2533	2046	-792
50	1	-3178	2381	-728
51	1	-3412	1473	-901
52	1	-2417	1284	-845
53	1	-4116	730	-946
54	1	-3015	631	-1036
55	1	-2191	440	-919
56	1	-3166	-110	-1184
57	1	-2195	-402	-1123
58	1	-2824	-966	-1173
59	1	-1907	-1259	-1099
60	1	-1096	-291	-928
61	1	-812	-980	-859
62	1	-84	-125	-715
63	1	594	334	-628
64	1	704	-482	-600
65	1	1404	-18	-627
66	1	1415	765	-610
67	1	2235	589	-618
68	1	2218	-232	-613
69	1	3053	213	-647
70	1	3745	-255	-646
71	1	3794	742	-675
72	1	4521	333	-939
73	1	4866	1191	-932
74	1	5891	1389	-770
75	1	6443	568	-1075
76	1	6364	-605	-645
77	1	7391	-85	-724
78	1	8088	1298	-578
79	1	8172	468	-730
80	1	8498	-385	-659
81	1	9505	-481	-637
82	1	9939	741	-680
83	1	10457	-475	-649
84	1	10765	679	-684
85	1	11399	-144	-619
86	1	12464	150	-629
87	1	13598	131	-630
88	1	14455	-394	-619
89	1	15414	-667	-618
90	1	15105	-1452	-620
91	1	15756	-2362	-581
92	1	16676	-2849	-591
93	1	17659	-3174	-605
94	1	18632	-3056	-630
95	1	19854	-3006	-630
96	1	20979	-3189	-630
97	1	22151	-3406	-617
98	1	23481	-3460	-611
99	1	24266	-4450	-602
100	1	24756	-5406	-602
101	1	24936	-6281	-730
102	1	24970	-7392	-923
103	1	24664	-8640	-937
122	0	23488	-9387	-862
123	0	22756	-9988	-807
124	0	21971	-9585	-544
125	0	21209	-9640	-543
126	0	21335	-10403	-497
127	0	20425	-10366	-576
128	0	20440	-9409	-578
129	0	19494	-9125	-617
130	0	19629	-9966	-645
131	0	19613	-10846	-578
132	0	19196	-10305	-655
133	0	18773	-9748	-713
134	0	18821	-8880	-651
135	0	17940	-10386	-756
136	0	17973	-9663	-797
137	0	17888	-8934	-762
138	0	17217	-8883	-796
139	0	17096	-9744	-894
140	0	17033	-10634	-820
141	0	16272	-10169	-974
142	0	16152	-9512	-991
143	0	16240	-8741	-852
144	0	14456	-8021	-1025
145	0	15304	-8712	-1018
146	0	15040	-9480	-1170
147	0	15541	-10310	-1075
148	0	15605	-11062	-937
149	0	14571	-10630	-1178
150	0	14655	-11508	-988
151	0	13732	-11506	-1077
152	0	13635	-10624	-1170
153	0	13227	-9828	-1145
154	0	12237	-9851	-1105
155	0	12162	-8904	-1098
156	0	12000	-7927	-1076
157	0	11121	-7981	-1125
158	0	11164	-8721	-1147
159	0	11214	-9617	-1164
160	0	11275	-10440	-1157
161	0	11439	-11279	-1125
162	0	10372	-11088	-1126
163	0	10264	-9976	-1148
164	0	10247	-9067	-1139
165	0	9220	-9330	-1214
166	0	9330	-10221	-1204
167	0	9434	-11320	-1165
168	0	7553	-8555	-1178
