ClassID	Division	PosX	PosY	PosZ
1	1	12412	-8187	5245
2	1	13197	-7477	5245
3	1	13863	-8230	5245
4	1	16878	-10692	5245
5	1	17462	-9309	5245
6	1	17582	-7510	5245
7	1	14144	-12618	5237
8	1	10753	-11743	5245
9	1	9399	-10466	5245
10	1	8848	-8924	5245
11	1	8870	-6856	5245
12	1	9834	-5347	5245
13	1	11067	-4255	5245
14	1	12563	-3820	5245
15	1	14465	-3931	5245
16	1	15987	-4771	5245
17	1	17076	-5946	5245
18	0	13163	-8128	5245
19	0	10002	-11097	5245
20	0	8892	-9842	5245
21	0	8817	-8032	5245
22	0	9036	-6142	5245
23	0	10367	-4846	5245
24	0	11611	-3873	5245
25	0	13401	-3826	5245
26	0	15341	-4177	5245
27	0	16536	-5250	5245
28	0	11829	-12601	5237
29	0	17468	-6502	5245
30	0	17575	-8315	5245
31	0	17301	-10118	5245
32	0	16215	-11225	5245
33	0	15323	-12136	5245
34	0	13205	-12789	5237
