ClassID	Division	PosX	PosY	PosZ
1	0	-897	-132	0
2	0	-618	-139	0
3	0	-866	92	0
4	0	-697	171	0
5	0	-223	533	0
6	0	-220	718	0
7	0	133	632	0
9	0	562	-124	0
10	0	626	168	0
11	0	213	-700	0
12	0	-616	94	0
13	0	-793	-19	0
14	0	-667	-43	0
15	0	-675	-242	0
16	0	-639	-341	0
17	0	-759	-134	0
19	0	-739	92	0
21	0	-659	289	0
22	0	-622	226	0
23	0	-622	379	0
24	0	-363	595	0
26	0	-259	647	0
27	0	-139	650	0
29	0	-88	746	0
30	0	17	580	0
31	0	49	706	0
33	0	286	737	0
34	0	245	641	0
35	0	299	546	0
36	0	549	388	0
37	0	524	376	0
38	0	475	289	0
39	0	713	165	0
40	0	481	106	0
41	0	531	58	0
42	0	693	20	0
43	0	427	-112	0
44	0	721	-115	0
45	0	636	-230	0
46	0	534	-271	0
47	0	535	-364	0
48	0	341	-463	0
49	0	346	-714	0
50	0	197	-491	0
51	0	132	-492	0
52	0	105	-707	0
53	0	21	-533	0
54	0	-75	-492	0
55	0	-76	-679	0
56	0	-128	-597	0
57	0	-253	-482	0
58	0	-189	-697	0
59	0	-329	-479	0
60	0	-326	-647	0
