ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	FALSE	0	135	70	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
2	FALSE	0	135	70	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
3	FALSE	0	135	70	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
4	FALSE	0	135	70	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
5	FALSE	0	135	70	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
6	FALSE	1	135	40	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
7	FALSE	1	135	40	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
8	FALSE	1	135	40	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
9	FALSE	1	135	40	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
10	FALSE	1	135	40	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
11	FALSE	2	135	40	0	22533	Monster_Demoniac _Koboldchief_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
12	FALSE	2	135	40	0	22534	Monster_Demoniac _Dullahanlanceman_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
13	FALSE	2	135	40	0	22535	Monster_Demoniac _Dullahangunner_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
14	FALSE	2	135	40	0	22536	Monster_Demoniac _Dullahanguardian_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
15	FALSE	2	135	40	0	22537	Monster_Demoniac _Dullahanattacker_01	500	5000	MON_MISSION_MASUNG_HARD_NOR
