ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	69	80	72	10361	Monster_DandSwampMon	500	5000	None
2	TRUE	0	70	121	109	11251	Monster_RogueBombAgent	500	5000	None
3	TRUE	0	71	101	91	11271	Monster_RogueSlashAgent	500	5000	None
4	TRUE	0	72	101	91	11261	Monster_RogueHammerAgent	500	5000	None
5	FALSE	0	73	2	1	11262	Monster_RogueHammerAgent_Elite	500	900000	None
6	FALSE	0	73	2	1	11272	Monster_RogueSlashAgent_Elite	500	900000	None
7	FALSE	0	73	2	1	11252	Monster_RogueBombAgent_Elite	500	900000	None
8	FALSE	0	73	2	1	10362	Monster_DandSwampMon_Elite	500	900000	None
9	FALSE	0	69	1	0	60120	Trigger_Largestone	50	15000	None
10	FALSE	0	75	1	0	20452	Monster_SunflaswampmonMboss	500	1800000	MON_FIELD_SBOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
