ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	108	176	167	12551	Monster_spidercrab	500	4000	None
2	TRUE	0	109	147	139	12561	Monster_Ghouloftreasure	500	4000	None
3	TRUE	0	110	176	167	12571	Monster_Taurus	500	4000	None
4	TRUE	0	109	88	83	12581	Monster_Gigantosnail	500	4000	None
5	FALSE	0	109	1	0	12552	Monster_spidercrab_Elite	50	400000	None
6	FALSE	0	110	1	0	12562	Monster_Ghouloftreasure_Elite	500	400000	None
7	FALSE	0	110	1	0	12572	Monster_Taurus_Elite	500	400000	None
8	FALSE	0	108	1	0	60120	Trigger_Largestone	500	10000	None
9	FALSE	0	110	1	0	20841	Monster_spidercrab_Leader	500	1800000	MON_FIELD_SBOSS
10	FALSE	0	110	1	0	70190	Mission_CatherineEvent2	500	1000	MON_SUMMON_BOSS2
11	FALSE	0	108	1	0	70180	Mission_CatherineEvent	50	1000	MON_SUMMON_BOSS
12	TRUE	0	108	30	20	12783	monster_taurusegg_small	50	1000	MON_ILLIER_EGG
13	TRUE	0	108	30	20	12783	monster_taurusegg_small	50	1000	MON_ILLIER_EGG
14	TRUE	0	108	30	20	12783	monster_taurusegg_small	50	1000	MON_ILLIER_EGG
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
