ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	100	283	226	12831	Monster_cursed_undead	500	5000	None
2	TRUE	0	100	283	226	12831	Monster_cursed_undead	500	5000	None
3	TRUE	0	100	283	226	12831	Monster_cursed_undead	500	5000	None
4	TRUE	0	100	67	54	12841	Monster_cursed_undead2	500	5000	None
5	TRUE	0	101	135	108	12851	Monster_muertos_fgt_f	500	5000	None
6	TRUE	0	101	135	108	12861	Monster_muertos_fgt_m	500	5000	None
7	TRUE	0	101	34	27	12871	Monster_muertos_mus_f	500	5000	None
8	TRUE	0	101	34	27	12881	Monster_muertos_mus_m	500	5000	None
9	TRUE	0	102	14	11	12891	Monster_muertos_war_f	500	5000	None
10	TRUE	0	102	14	11	12901	Monster_muertos_war_m	500	5000	None
11	TRUE	0	103	14	11	12911	Monster_muertos_wiz_f	500	5000	None
12	TRUE	0	103	14	11	12921	Monster_muertos_wiz_m	500	5000	None
13	TRUE	0	104	7	6	12852	monster_elitemuertos_fgt_f_Elite	500	5000	None
14	TRUE	0	104	7	6	12862	Monster_muertos_fgt_m_Elite	500	5000	None
15	TRUE	0	105	3	2	12872	monster_elitemuertos_mus_f_Elite	500	5000	None
16	TRUE	0	105	3	2	12882	Monster_muertos_mus_m_Elite	500	5000	None
17	TRUE	0	107	3	2	12892	Monster_muertos_war_f_Elite	500	5000	None
18	TRUE	0	107	3	2	12902	Monster_muertos_war_m_Elite	500	5000	None
19	TRUE	0	106	3	2	12912	Monster_muertos_wiz_f_Elite	500	5000	None
20	TRUE	0	106	3	2	12922	Monster_muertos_wiz_m_Elite	500	5000	None
21	TRUE	0	105	3	2	12931	Monster_muertos_sct_f_Elite	500	5000	None
22	TRUE	0	105	3	2	12941	Monster_muertos_sct_m_Elite	500	5000	None
23	FALSE	9	106	1	1	20661	Monster_muertos_Chieftain	500	1800000	MON_FIELD_SBOSS
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
