ClassID	DirectRespawn	Division	Lv	MaxPop	MinPop	MonsterID	MonsterName	Range	RespawnTime	Tactics
1	TRUE	0	100	76	68	11291	Monster_dingo	500	5000	None
2	TRUE	0	100	152	137	11281	Monster_arop	500	5000	None
3	TRUE	0	101	76	68	11391	Monster_gimlet	500	5000	None
4	TRUE	0	101	203	183	11311	Monster_velocirapter1	500	5000	None
5	FALSE	0	100	1	0	60120	Trigger_Largestone	50	12000	None
6	FALSE	0	101	2	1	11292	Monster_dingo_Elite	500	900000	None
7	FALSE	0	101	2	1	11282	Monster_arop_Elite	500	900000	None
8	FALSE	0	101	2	1	11392	Monster_gimlet_Elite	500	900000	None
9	FALSE	0	103	1	0	20261	Monster_sabertiger	1000	1800000	MON_FIELD_SBOSS
10	TRUE	0	101	20	10	12636	Monster_Farm_Honeybee	500	5000	None
500	TRUE	0	100	1	1	99997	Monster_Object_count	500	1260000	MON_EVENT_FLD_MANAGER
